node_id,cell_type,layer,soma_x_um,soma_y_um,soma_z_um
30049,vip,L2/3,43.9,215.3,194.4
30050,L23_pyr,L2/3,64.4,178.8,210.2
30051,L23_pyr,L2/3,293.6,310.8,159.4
30052,L4_exc,L4,55.4,403.5,328.1
30053,L4_exc,L4,241.4,404.0,325.2
30054,L23_pyr,L2/3,90.8,251.0,320.7
30055,L4_exc,L4,338.9,390.7,256.9
30056,basket,L4,232.7,459.0,150.2
30057,basket,L2/3,324.4,333.8,325.7
30058,L23_pyr,L2/3,173.6,312.1,50.7
30059,L23_pyr,L2/3,391.8,196.7,206.3
30060,L4_exc,L4,114.7,468.2,378.8
30061,L23_pyr,L2/3,0.6,242.0,58.8
30062,L23_pyr,L2/3,138.9,106.2,173.3
30063,L4_exc,L4,166.1,367.8,208.7
30064,L23_pyr,L2/3,24.0,173.2,150.5
30065,L4_exc,L4,143.7,354.1,51.3
30066,martinotti,L4,213.6,410.4,11.9
30067,L23_pyr,L2/3,215.5,243.3,281.3
30068,L4_exc,L4,19.9,359.9,12.3
30069,basket,L4,364.3,377.5,363.6
30070,basket,L4,206.3,423.5,13.0
30071,L23_pyr,L2/3,160.6,111.6,171.2
30072,martinotti,L4,65.9,429.0,335.6
30073,L23_pyr,L2/3,196.9,111.5,147.0
30074,L23_pyr,L2/3,27.6,142.8,50.9
30075,L23_pyr,L2/3,16.8,267.5,348.7
30076,L23_pyr,L2/3,15.1,230.0,181.8
30077,L23_pyr,L2/3,362.3,254.2,321.5
30078,L23_pyr,L2/3,103.5,131.1,354.3
30079,L4_exc,L4,100.8,365.3,217.5
30080,martinotti,L2/3,158.7,278.9,216.9
30081,L23_pyr,L2/3,156.5,103.2,19.9
30082,L4_exc,L4,40.5,463.8,352.0
30083,L23_pyr,L2/3,95.1,284.0,198.2
30084,L4_exc,L4,361.2,435.3,121.7
30085,L4_exc,L4,172.3,373.7,320.2
30086,L23_pyr,L2/3,97.5,196.0,335.4
30087,L23_pyr,L2/3,196.0,226.8,151.0
30088,L23_pyr,L2/3,299.7,229.3,49.7
30089,L23_pyr,L2/3,76.1,166.2,244.3
30090,L23_pyr,L2/3,232.1,183.3,318.6
30091,L23_pyr,L2/3,108.9,158.1,384.0
30092,L23_pyr,L2/3,349.7,188.4,321.8
30093,L23_pyr,L2/3,248.9,290.0,2.8
30094,L23_pyr,L2/3,231.4,169.1,252.7
30095,L23_pyr,L2/3,86.3,109.0,187.0
30096,L4_exc,L4,280.9,375.4,370.3
30097,basket,L4,4.1,373.6,192.6
30098,basket,L4,191.9,452.5,24.7
30099,L23_pyr,L2/3,273.0,117.9,135.2
30100,L23_pyr,L2/3,52.3,175.1,128.9
30101,L4_exc,L4,2.3,375.1,73.0
30102,basket,L2/3,145.6,298.9,224.5
30103,L4_exc,L4,48.5,454.9,340.0
30104,L23_pyr,L2/3,238.2,213.2,200.7
30105,L4_exc,L4,358.4,352.8,139.8
30106,L4_exc,L4,50.6,494.9,383.2
30107,L23_pyr,L2/3,258.3,287.7,22.4
30108,L4_exc,L4,231.4,382.0,37.8
30109,L23_pyr,L2/3,327.2,121.1,208.9
30110,basket,L2/3,313.4,242.6,276.3
30111,vip,L4,222.1,377.7,50.9
30112,L23_pyr,L2/3,262.1,137.1,255.7
30113,martinotti,L2/3,230.8,138.5,367.9
30114,L4_exc,L4,89.9,432.2,134.8
30115,L4_exc,L4,286.1,488.5,58.0
30116,L23_pyr,L2/3,332.4,129.4,63.7
30117,L23_pyr,L2/3,186.4,159.3,174.1
30118,vip,L2/3,242.2,276.7,398.2
30119,L4_exc,L4,50.6,482.3,206.9
30120,L23_pyr,L2/3,346.1,325.8,15.7
30121,L4_exc,L4,318.7,371.1,247.9
30122,vip,L4,141.1,442.4,74.1
30123,L4_exc,L4,317.5,430.7,356.0
30124,martinotti,L2/3,363.9,130.1,151.9
30125,L4_exc,L4,294.3,430.6,344.3
30126,L4_exc,L4,171.7,363.7,65.7
30127,L23_pyr,L2/3,159.8,201.9,57.4
30128,vip,L4,158.0,491.7,103.8
30129,L23_pyr,L2/3,118.4,305.1,128.9
30130,L4_exc,L4,89.4,431.9,251.1
30131,L23_pyr,L2/3,205.1,299.2,53.2
30132,basket,L4,74.2,363.8,55.0
30133,L23_pyr,L2/3,10.3,345.4,260.6
30134,vip,L2/3,342.8,312.5,157.0
30135,L23_pyr,L2/3,158.4,100.7,36.3
30136,L4_exc,L4,312.2,376.6,72.0
30137,martinotti,L2/3,90.3,172.5,42.4
30138,L23_pyr,L2/3,279.5,141.0,383.9
30139,L4_exc,L4,2.6,370.4,106.1
30140,martinotti,L2/3,39.2,310.4,372.3
30141,L23_pyr,L2/3,244.4,245.7,350.3
30142,basket,L4,72.8,367.7,230.0
30143,L23_pyr,L2/3,326.6,292.4,34.2
30144,L23_pyr,L2/3,155.7,241.9,138.6
30145,L4_exc,L4,227.2,464.2,197.9
30146,basket,L4,108.5,474.5,358.0
30147,basket,L4,85.6,398.5,146.7
30148,L23_pyr,L2/3,313.8,131.6,242.7
30149,L23_pyr,L2/3,379.7,223.3,134.2
30150,L23_pyr,L2/3,353.6,269.2,174.3
30151,L4_exc,L4,346.3,397.1,253.5
30152,L23_pyr,L2/3,398.8,330.6,278.1
30153,L23_pyr,L2/3,107.2,160.8,315.7
30154,L23_pyr,L2/3,110.8,251.7,323.1
30155,L23_pyr,L2/3,124.2,100.5,94.2
30156,L4_exc,L4,194.3,468.5,143.4
30157,martinotti,L4,327.7,473.7,222.5
30158,L4_exc,L4,348.3,402.2,293.9
30159,martinotti,L4,34.7,453.6,22.9
30160,basket,L4,320.3,379.7,156.3
30161,L23_pyr,L2/3,320.1,223.3,277.2
30162,L23_pyr,L2/3,157.5,194.8,197.7
30163,vip,L2/3,80.2,316.8,297.6
30164,L23_pyr,L2/3,318.3,329.3,108.4
30165,L4_exc,L4,346.7,381.3,46.0
30166,L23_pyr,L2/3,151.2,298.6,346.9
30167,L23_pyr,L2/3,319.1,321.7,175.0
30168,martinotti,L4,206.1,443.4,82.6
30169,vip,L2/3,30.5,277.2,196.2
30170,L23_pyr,L2/3,83.8,331.9,17.6
30171,L4_exc,L4,381.7,387.3,377.9
30172,L23_pyr,L2/3,368.5,349.8,218.3
30173,L23_pyr,L2/3,169.1,182.8,333.7
30174,L4_exc,L4,378.4,396.1,243.6
30175,L23_pyr,L2/3,34.6,300.8,304.8
30176,L23_pyr,L2/3,254.9,252.7,372.0
30177,L4_exc,L4,206.7,385.2,273.1
30178,L4_exc,L4,235.5,457.8,259.5
30179,basket,L4,381.3,389.8,132.5
30180,L4_exc,L4,349.8,469.5,178.4
30181,L4_exc,L4,178.2,456.0,68.4
30182,L23_pyr,L2/3,182.1,256.6,3.6
30183,L23_pyr,L2/3,139.5,209.3,302.3
30184,basket,L2/3,92.0,244.2,163.5
30185,L4_exc,L4,128.3,465.2,93.0
30186,L4_exc,L4,203.3,361.5,41.7
30187,basket,L2/3,222.1,153.7,175.4
30188,L4_exc,L4,288.9,431.5,8.4
30189,L23_pyr,L2/3,96.5,135.1,254.3
30190,L23_pyr,L2/3,241.8,340.7,128.9
30191,L4_exc,L4,177.1,458.3,291.7
30192,L23_pyr,L2/3,398.9,297.6,71.4
30193,L4_exc,L4,75.7,462.5,377.4
30194,basket,L4,26.4,417.3,255.1
30195,L4_exc,L4,293.7,391.3,12.3
30196,vip,L4,58.9,376.4,225.0
30197,L4_exc,L4,366.4,364.3,176.8
30198,L23_pyr,L2/3,3.1,241.1,191.6
30199,L23_pyr,L2/3,196.6,262.3,108.3
30200,L23_pyr,L2/3,375.0,127.6,32.9
