synapse_id,pre_id,post_id,compartment,gray_type,x_um,y_um,z_um
41,30002,30083,soma,symmetric,41.7,259.0,198.3
42,30002,30094,soma,symmetric,230.6,291.8,298.0
43,30002,30108,proximal_dendrite,symmetric,232.1,402.6,74.1
44,30002,30123,soma,symmetric,296.7,383.4,388.5
45,30002,30123,proximal_dendrite,symmetric,343.3,486.3,358.3
46,30002,30129,soma,symmetric,89.8,309.5,102.6
47,30002,30129,soma,symmetric,171.5,298.4,93.0
48,30002,30143,soma,uncertain,297.9,342.3,15.1
49,30002,30158,distal_dendrite,symmetric,316.6,451.2,311.6
50,30002,30158,soma,symmetric,354.3,398.7,301.0
51,30002,30158,soma,symmetric,311.0,391.8,310.5
52,30002,30158,uncertain,uncertain,347.1,421.0,309.1
53,30002,30158,soma,symmetric,364.8,414.4,291.8
54,30002,30158,proximal_dendrite,symmetric,384.1,474.5,256.7
55,30002,30158,soma,symmetric,369.9,364.5,279.7
56,30002,30164,distal_dendrite,symmetric,276.7,347.2,139.5
57,30002,30164,soma,symmetric,276.8,317.0,109.1
58,30002,30174,soma,symmetric,411.3,418.7,227.6
59,30002,30174,proximal_dendrite,symmetric,342.0,455.6,265.5
60,30002,30185,proximal_dendrite,symmetric,127.0,393.5,63.5
61,30002,30186,distal_dendrite,symmetric,173.8,379.7,9.6
62,30002,30186,soma,symmetric,260.4,379.2,77.8
63,30002,30190,proximal_dendrite,symmetric,208.0,237.6,123.7
64,30002,30190,soma,symmetric,237.2,394.8,133.8
65,30002,30190,proximal_dendrite,symmetric,258.6,313.4,91.2
66,30002,30190,soma,symmetric,244.8,328.7,95.7
67,30002,30191,soma,uncertain,170.2,467.3,303.3
68,30002,30191,soma,symmetric,171.3,463.7,310.7
69,30002,30192,soma,symmetric,329.0,269.2,59.6
70,30002,30192,proximal_dendrite,symmetric,371.9,299.5,12.0
71,30003,30028,spine,uncertain,393.5,163.2,259.8
72,30003,30028,proximal_dendrite,asymmetric,381.8,150.1,246.5
73,30003,30028,spine,asymmetric,376.9,138.7,220.7
74,30003,30028,spine,asymmetric,421.3,182.4,247.3
75,30003,30029,spine,asymmetric,272.0,296.7,29.1
76,30003,30032,proximal_dendrite,asymmetric,52.5,396.0,202.2
77,30003,30049,distal_dendrite,asymmetric,89.7,182.4,177.2
78,30003,30049,distal_dendrite,asymmetric,81.6,207.5,144.1
79,30003,30049,proximal_dendrite,asymmetric,33.9,186.5,203.2
80,30003,30049,proximal_dendrite,asymmetric,33.1,227.0,187.3
81,30003,30049,soma,asymmetric,3.6,279.9,265.4
82,30003,30049,distal_dendrite,asymmetric,49.7,235.3,184.7
83,30003,30097,proximal_dendrite,uncertain,17.9,378.6,205.7
84,30003,30097,proximal_dendrite,asymmetric,-14.8,388.5,212.2
85,30003,30127,spine,asymmetric,158.5,170.9,55.3
86,30003,30169,proximal_dendrite,asymmetric,-2.3,272.6,228.4
87,30003,30169,proximal_dendrite,asymmetric,-0.2,278.3,226.4
88,30003,30169,proximal_dendrite,asymmetric,11.4,276.9,166.4
89,30003,30169,proximal_dendrite,asymmetric,58.3,273.2,218.6
90,30003,30169,soma,asymmetric,48.6,305.9,254.3
91,30003,30170,spine,asymmetric,120.9,363.9,23.6
92,30003,30198,spine,asymmetric,15.4,234.1,226.8
93,30004,30020,distal_dendrite,asymmetric,171.5,211.9,340.8
94,30004,30044,spine,asymmetric,317.9,491.7,384.5
95,30004,30049,soma,asymmetric,61.7,189.0,203.3
96,30004,30049,proximal_dendrite,asymmetric,85.0,203.4,171.0
97,30004,30049,distal_dendrite,asymmetric,35.3,166.6,272.8
98,30004,30049,proximal_dendrite,asymmetric,50.9,233.2,236.8
99,30004,30050,spine,asymmetric,65.1,185.2,241.4
100,30004,30066,proximal_dendrite,asymmetric,200.8,393.8,20.5
101,30004,30066,proximal_dendrite,asymmetric,204.0,429.6,-34.4
102,30004,30066,soma,uncertain,147.7,432.9,79.7
103,30004,30072,proximal_dendrite,asymmetric,86.8,409.1,388.7
104,30004,30093,spine,uncertain,235.9,299.4,6.6
105,30004,30093,distal_dendrite,asymmetric,240.0,318.6,25.4
106,30004,30093,spine,uncertain,219.5,319.1,-42.8
107,30004,30093,spine,asymmetric,270.6,298.4,50.1
108,30004,30142,proximal_dendrite,asymmetric,38.9,393.2,196.9
109,30004,30142,proximal_dendrite,asymmetric,6.7,345.2,302.7
110,30004,30145,spine,asymmetric,225.5,458.1,172.0
111,30004,30145,spine,uncertain,247.8,449.3,170.2
112,30004,30145,spine,asymmetric,248.1,481.0,144.6
113,30004,30145,spine,asymmetric,262.8,456.6,210.5
114,30004,30145,spine,asymmetric,212.5,440.4,151.0
115,30004,30196,proximal_dendrite,asymmetric,68.8,341.2,198.0
116,30004,30197,proximal_dendrite,asymmetric,382.2,400.6,239.5
117,30005,30134,proximal_dendrite,asymmetric,359.5,320.5,137.1
118,30005,30151,distal_dendrite,asymmetric,306.1,371.4,297.5
119,30005,30151,proximal_dendrite,asymmetric,360.0,389.7,233.3
120,30005,30151,spine,asymmetric,320.0,375.2,233.8
121,30005,30151,distal_dendrite,asymmetric,382.7,400.0,284.7
122,30005,30151,spine,asymmetric,370.3,392.7,271.7
123,30006,30118,distal_dendrite,uncertain,279.8,202.6,429.6
124,30006,30118,soma,asymmetric,258.5,229.0,419.3
125,30006,30200,spine,asymmetric,366.1,30.8,81.5
126,30007,30015,spine,asymmetric,129.1,475.8,232.9
127,30007,30054,distal_dendrite,asymmetric,55.6,242.7,320.1
128,30007,30074,spine,uncertain,19.2,111.7,55.2
129,30007,30074,spine,asymmetric,34.6,178.2,75.7
130,30007,30074,spine,asymmetric,29.3,142.2,71.0
131,30007,30163,distal_dendrite,asymmetric,33.7,299.1,281.6
132,30007,30163,soma,uncertain,81.3,365.5,339.0
133,30007,30169,distal_dendrite,asymmetric,32.2,266.9,226.3
134,30008,30034,proximal_dendrite,asymmetric,81.7,316.3,257.3
135,30008,30034,soma,asymmetric,123.1,301.7,312.0
136,30008,30034,proximal_dendrite,asymmetric,89.9,297.6,299.2
137,30008,30064,spine,asymmetric,39.6,210.3,159.8
138,30008,30079,distal_dendrite,asymmetric,83.7,368.7,247.5
139,30008,30079,spine,asymmetric,142.0,317.7,220.4
140,30008,30079,spine,asymmetric,126.0,355.5,206.1
141,30008,30097,proximal_dendrite,asymmetric,-9.5,401.1,153.1
142,30008,30097,distal_dendrite,asymmetric,-16.2,330.1,193.2
143,30008,30100,spine,asymmetric,36.1,222.0,86.5
144,30008,30100,spine,asymmetric,24.8,187.3,120.6
145,30008,30100,spine,asymmetric,36.9,174.8,148.4
146,30008,30100,spine,asymmetric,87.1,142.2,135.8
147,30008,30100,spine,asymmetric,55.2,205.3,127.9
148,30008,30100,spine,asymmetric,70.7,189.7,113.0
149,30009,30012,distal_dendrite,symmetric,410.2,452.3,297.2
150,30009,30012,spine,symmetric,345.8,481.5,388.4
151,30009,30040,distal_dendrite,symmetric,270.7,451.2,275.5
152,30009,30040,uncertain,uncertain,252.2,421.5,214.9
153,30009,30040,spine,symmetric,259.1,432.9,279.0
154,30009,30045,uncertain,uncertain,328.4,263.5,131.9
155,30009,30046,distal_dendrite,symmetric,310.7,401.5,191.2
156,30009,30065,spine,symmetric,162.8,409.3,94.8
157,30009,30104,distal_dendrite,symmetric,202.3,266.9,191.4
158,30009,30104,distal_dendrite,symmetric,234.3,255.1,218.8
159,30009,30131,distal_dendrite,symmetric,148.0,303.3,30.1
160,30009,30131,distal_dendrite,symmetric,234.4,290.5,84.5
161,30009,30131,distal_dendrite,symmetric,246.5,299.1,16.1
162,30009,30131,spine,symmetric,202.9,292.1,30.5
163,30009,30151,distal_dendrite,symmetric,332.1,349.9,291.9
164,30009,30151,distal_dendrite,uncertain,376.8,337.9,262.3
165,30009,30151,distal_dendrite,symmetric,342.8,413.8,236.5
166,30009,30151,spine,uncertain,324.8,384.1,238.8
167,30009,30151,distal_dendrite,symmetric,352.6,352.5,240.2
168,30009,30159,distal_dendrite,symmetric,18.6,495.3,48.3
169,30009,30165,distal_dendrite,symmetric,344.6,366.1,86.1
170,30010,30005,proximal_dendrite,symmetric,306.4,111.3,-8.7
171,30010,30005,distal_dendrite,symmetric,383.7,127.3,78.5
172,30010,30017,proximal_dendrite,symmetric,82.2,283.0,194.3
173,30010,30026,proximal_dendrite,symmetric,269.4,94.1,261.3
174,30010,30026,soma,symmetric,252.5,126.4,241.6
175,30010,30029,soma,symmetric,297.0,290.6,35.6
176,30010,30029,soma,symmetric,266.6,228.7,-2.4
177,30010,30030,proximal_dendrite,symmetric,320.9,196.2,2.7
178,30010,30048,soma,symmetric,128.9,249.4,279.6
179,30010,30061,proximal_dendrite,symmetric,19.8,259.5,56.8
180,30010,30076,soma,symmetric,31.1,218.5,231.9
181,30010,30081,soma,symmetric,139.5,109.1,26.4
182,30010,30081,uncertain,uncertain,151.8,118.5,2.9
183,30010,30081,proximal_dendrite,symmetric,150.2,87.4,-47.5
184,30010,30081,soma,symmetric,150.8,146.7,20.8
185,30010,30081,proximal_dendrite,symmetric,188.2,103.2,-19.7
186,30010,30088,soma,symmetric,261.1,233.6,62.3
187,30010,30088,soma,symmetric,274.3,250.2,99.8
188,30010,30088,soma,symmetric,340.7,223.2,16.2
189,30010,30088,proximal_dendrite,symmetric,331.6,267.0,49.0
190,30010,30094,soma,symmetric,219.0,190.7,276.5
191,30010,30094,soma,uncertain,256.9,150.1,281.1
192,30010,30094,uncertain,uncertain,212.3,116.3,206.0
193,30010,30094,soma,symmetric,237.1,238.6,256.0
194,30010,30094,soma,symmetric,240.9,121.1,216.0
195,30010,30094,soma,symmetric,248.2,162.2,221.2
196,30010,30129,proximal_dendrite,symmetric,122.2,302.5,106.2
197,30010,30129,proximal_dendrite,symmetric,176.5,273.4,91.1
198,30010,30135,soma,uncertain,132.5,134.1,-38.1
199,30010,30155,soma,symmetric,107.8,141.4,99.3
200,30010,30155,proximal_dendrite,symmetric,72.0,57.7,96.9
201,30010,30170,soma,symmetric,89.6,323.6,-28.2
202,30010,30170,distal_dendrite,symmetric,77.4,346.6,41.6
203,30010,30186,soma,symmetric,226.9,373.6,82.5
204,30010,30198,distal_dendrite,symmetric,19.1,226.4,212.6
205,30010,30199,soma,symmetric,236.2,282.6,123.1
206,30010,30199,soma,symmetric,204.7,268.1,100.4
207,30010,30200,soma,symmetric,380.8,135.2,36.6
208,30010,30200,soma,uncertain,410.6,112.8,46.5
209,30010,30200,proximal_dendrite,symmetric,329.5,139.7,56.4
210,30010,30200,soma,symmetric,361.0,147.0,141.7
211,30010,30200,soma,symmetric,373.7,180.5,53.4
212,30011,30012,proximal_dendrite,uncertain,439.6,483.9,311.7
213,30011,30030,soma,asymmetric,364.5,194.5,116.9
214,30011,30030,distal_dendrite,asymmetric,305.8,148.7,80.6
215,30011,30030,distal_dendrite,asymmetric,341.7,132.7,73.8
216,30011,30110,proximal_dendrite,asymmetric,290.6,262.9,255.0
217,30011,30111,proximal_dendrite,asymmetric,213.7,395.4,107.5
218,30011,30111,proximal_dendrite,asymmetric,236.4,364.0,32.0
219,30011,30129,spine,asymmetric,113.2,257.6,197.0
220,30011,30129,proximal_dendrite,asymmetric,140.5,324.4,167.0
221,30011,30129,spine,asymmetric,83.8,325.6,111.5
222,30011,30144,proximal_dendrite,asymmetric,172.9,270.9,123.8
223,30011,30144,spine,asymmetric,167.3,217.9,142.6
224,30011,30157,proximal_dendrite,asymmetric,309.0,519.1,176.1
225,30011,30187,soma,asymmetric,184.8,217.9,170.4
226,30012,30033,distal_dendrite,symmetric,370.9,423.8,329.0
227,30012,30033,distal_dendrite,uncertain,405.3,319.7,403.8
228,30012,30053,uncertain,uncertain,206.5,391.1,338.9
229,30012,30053,spine,uncertain,255.7,445.3,319.4
230,30012,30053,distal_dendrite,symmetric,245.6,403.5,307.0
231,30012,30053,distal_dendrite,symmetric,304.3,428.0,356.5
232,30012,30053,uncertain,uncertain,210.0,471.3,305.5
233,30012,30053,distal_dendrite,symmetric,249.4,373.8,308.6
234,30012,30144,distal_dendrite,symmetric,155.3,223.3,214.8
235,30012,30157,distal_dendrite,symmetric,322.6,520.8,220.9
236,30012,30172,uncertain,uncertain,374.3,377.7,259.8
237,30013,30005,spine,asymmetric,360.8,143.3,17.3
238,30013,30028,spine,asymmetric,428.8,102.9,192.1
239,30013,30028,spine,asymmetric,404.8,135.9,214.5
240,30013,30043,spine,asymmetric,246.4,271.2,350.7
241,30013,30187,distal_dendrite,asymmetric,193.1,167.9,247.1
242,30013,30189,spine,asymmetric,130.6,171.6,267.7
243,30013,30189,distal_dendrite,asymmetric,43.1,151.1,273.8
244,30013,30189,spine,asymmetric,119.5,127.0,296.1
245,30013,30192,spine,asymmetric,408.3,312.8,84.3
246,30013,30192,spine,asymmetric,415.5,323.6,30.5
247,30014,30020,proximal_dendrite,asymmetric,212.2,227.1,284.1
248,30014,30026,spine,asymmetric,300.5,192.0,251.1
249,30014,30110,soma,asymmetric,323.7,237.7,228.9
250,30014,30152,spine,asymmetric,322.3,341.2,247.5
251,30014,30152,spine,asymmetric,390.0,324.8,254.8
252,30014,30152,spine,asymmetric,410.6,370.2,223.0
253,30014,30184,proximal_dendrite,asymmetric,145.8,266.4,197.5
254,30014,30184,proximal_dendrite,asymmetric,76.4,261.3,136.0
255,30015,30097,proximal_dendrite,asymmetric,-30.2,335.0,157.8
256,30015,30111,proximal_dendrite,asymmetric,255.8,366.0,50.2
257,30015,30142,distal_dendrite,asymmetric,62.4,376.0,168.9
258,30015,30147,proximal_dendrite,asymmetric,120.8,380.3,177.0
259,30015,30147,distal_dendrite,asymmetric,86.4,464.4,118.7
260,30015,30192,spine,asymmetric,364.6,295.9,92.8
261,30016,30014,distal_dendrite,asymmetric,268.2,88.7,244.9
262,30016,30020,proximal_dendrite,asymmetric,199.1,241.4,348.8
263,30016,30020,proximal_dendrite,asymmetric,188.3,236.2,305.9
264,30016,30032,distal_dendrite,asymmetric,41.5,423.9,219.3
265,30016,30032,proximal_dendrite,asymmetric,67.4,336.6,262.0
266,30016,30032,proximal_dendrite,asymmetric,87.5,350.0,244.2
267,30016,30032,soma,asymmetric,87.4,391.4,216.5
268,30016,30032,proximal_dendrite,asymmetric,16.4,354.5,232.2
269,30016,30032,proximal_dendrite,asymmetric,48.1,427.9,208.2
270,30016,30032,proximal_dendrite,asymmetric,74.4,418.0,168.2
271,30016,30032,distal_dendrite,asymmetric,83.2,369.7,240.1
272,30016,30064,spine,asymmetric,-2.9,176.5,170.9
273,30016,30080,proximal_dendrite,asymmetric,169.2,197.8,208.2
274,30016,30080,distal_dendrite,asymmetric,97.1,291.1,240.4
275,30016,30080,proximal_dendrite,asymmetric,129.4,292.8,218.3
276,30016,30080,proximal_dendrite,uncertain,183.5,281.2,241.6
277,30016,30080,distal_dendrite,asymmetric,156.3,241.3,175.7
278,30016,30131,spine,asymmetric,229.0,316.2,64.1
279,30016,30131,spine,asymmetric,217.9,319.5,81.5
280,30016,30131,distal_dendrite,asymmetric,209.8,333.6,59.4
281,30016,30157,proximal_dendrite,asymmetric,335.2,504.0,249.9
282,30016,30157,proximal_dendrite,asymmetric,306.6,468.7,265.3
283,30017,30040,spine,asymmetric,237.7,408.5,245.5
284,30017,30040,spine,asymmetric,211.8,392.2,234.4
285,30017,30040,proximal_dendrite,asymmetric,186.2,458.9,265.4
286,30017,30040,spine,asymmetric,216.6,400.9,247.3
287,30017,30048,proximal_dendrite,asymmetric,102.3,263.7,185.0
288,30017,30078,spine,asymmetric,135.9,131.5,378.5
289,30017,30078,spine,asymmetric,125.0,184.4,341.5
290,30017,30078,spine,asymmetric,133.1,108.1,395.1
291,30017,30078,spine,asymmetric,91.6,85.2,387.7
292,30017,30102,proximal_dendrite,asymmetric,136.2,354.9,226.9
293,30017,30102,distal_dendrite,asymmetric,139.1,273.4,258.1
294,30017,30168,proximal_dendrite,asymmetric,228.5,474.4,106.2
295,30017,30194,proximal_dendrite,asymmetric,-5.6,442.4,273.1
296,30017,30198,spine,asymmetric,6.0,279.2,191.3
297,30018,30012,proximal_dendrite,asymmetric,366.3,475.0,450.6
298,30018,30024,proximal_dendrite,asymmetric,430.8,369.2,200.8
299,30018,30044,spine,asymmetric,294.0,484.9,341.0
300,30018,30108,spine,asymmetric,238.6,395.8,55.0
301,30018,30111,proximal_dendrite,asymmetric,203.9,362.1,50.6
302,30018,30174,spine,asymmetric,369.7,425.2,259.3
303,30018,30176,spine,asymmetric,193.0,239.6,346.3
304,30018,30176,spine,asymmetric,252.3,339.8,400.3
305,30018,30176,spine,asymmetric,285.3,225.3,392.8
306,30018,30176,spine,asymmetric,297.2,233.6,329.4
307,30019,30070,distal_dendrite,asymmetric,201.0,362.9,17.3
308,30020,30006,distal_dendrite,symmetric,363.1,276.1,349.3
309,30020,30018,uncertain,uncertain,391.0,379.7,228.2
310,30020,30021,distal_dendrite,uncertain,-22.2,484.2,228.6
311,30020,30021,distal_dendrite,symmetric,8.2,481.7,238.8
312,30020,30024,distal_dendrite,symmetric,398.4,434.4,181.0
313,30020,30024,distal_dendrite,symmetric,365.5,427.7,228.0
314,30020,30026,distal_dendrite,symmetric,304.2,134.5,236.1
315,30020,30053,distal_dendrite,symmetric,250.7,390.6,294.5
316,30020,30055,distal_dendrite,symmetric,278.4,404.6,305.0
317,30020,30055,distal_dendrite,symmetric,321.3,416.4,274.5
318,30020,30055,distal_dendrite,symmetric,324.1,365.0,254.9
319,30020,30055,uncertain,uncertain,343.0,360.7,266.4
320,30020,30055,spine,symmetric,364.5,443.5,270.5
321,30020,30056,distal_dendrite,symmetric,238.4,505.2,212.0
322,30020,30056,distal_dendrite,symmetric,195.5,454.9,193.7
323,30020,30067,distal_dendrite,symmetric,188.0,225.5,221.7
324,30020,30089,uncertain,uncertain,117.4,212.3,254.7
325,30020,30089,distal_dendrite,symmetric,111.4,183.9,245.3
326,30020,30089,distal_dendrite,symmetric,68.9,123.7,210.7
327,30020,30091,uncertain,uncertain,84.4,164.0,402.9
328,30020,30123,distal_dendrite,symmetric,324.8,393.6,360.7
329,30020,30127,distal_dendrite,symmetric,201.4,187.8,43.5
330,30020,30129,distal_dendrite,symmetric,134.9,270.4,83.1
331,30020,30157,distal_dendrite,symmetric,321.5,489.2,223.3
332,30020,30157,distal_dendrite,symmetric,298.9,464.7,220.0
333,30020,30157,distal_dendrite,symmetric,315.1,470.5,248.7
334,30020,30157,distal_dendrite,symmetric,341.4,467.5,208.2
335,30020,30157,distal_dendrite,uncertain,331.6,482.5,262.7
336,30020,30164,distal_dendrite,symmetric,322.5,353.3,128.3
337,30020,30172,distal_dendrite,uncertain,408.2,358.3,238.3
338,30020,30173,distal_dendrite,symmetric,167.8,180.7,310.5
339,30020,30183,distal_dendrite,uncertain,151.4,183.2,241.4
340,30020,30183,spine,symmetric,134.6,168.8,299.7
341,30020,30187,uncertain,uncertain,158.8,144.6,160.8
342,30021,30126,spine,asymmetric,184.8,312.4,52.0
343,30021,30126,spine,asymmetric,124.7,335.0,108.4
344,30021,30133,spine,asymmetric,12.0,345.3,241.1
345,30021,30163,proximal_dendrite,asymmetric,80.3,323.4,299.1
346,30021,30169,proximal_dendrite,asymmetric,33.1,298.1,173.4
347,30021,30169,distal_dendrite,asymmetric,55.7,273.7,169.9
348,30021,30191,spine,asymmetric,176.9,491.5,290.3
349,30021,30191,distal_dendrite,asymmetric,136.6,454.7,262.5
350,30021,30191,spine,asymmetric,158.6,411.5,255.1
351,30021,30194,proximal_dendrite,asymmetric,22.5,427.9,192.0
352,30021,30194,soma,asymmetric,-34.8,398.4,274.4
353,30021,30194,proximal_dendrite,asymmetric,49.6,443.8,236.3
354,30021,30194,proximal_dendrite,asymmetric,64.3,426.0,226.3
355,30021,30194,proximal_dendrite,asymmetric,77.4,412.5,297.4
356,30022,30012,distal_dendrite,symmetric,410.5,431.8,366.5
357,30022,30046,proximal_dendrite,symmetric,244.4,448.2,169.5
358,30022,30046,distal_dendrite,symmetric,242.4,485.9,189.1
359,30022,30056,proximal_dendrite,symmetric,253.0,477.5,129.0
360,30022,30056,distal_dendrite,uncertain,247.1,468.6,156.2
361,30022,30056,distal_dendrite,symmetric,227.1,423.1,164.4
362,30022,30056,proximal_dendrite,symmetric,250.3,450.0,175.6
363,30022,30110,proximal_dendrite,symmetric,375.9,280.0,271.0
364,30022,30134,proximal_dendrite,symmetric,371.3,328.7,171.6
365,30022,30134,proximal_dendrite,symmetric,330.1,321.6,131.0
366,30022,30160,proximal_dendrite,symmetric,362.4,411.7,228.3
367,30023,30005,distal_dendrite,asymmetric,358.3,125.9,47.8
368,30023,30005,spine,asymmetric,363.1,158.7,1.4
369,30023,30005,distal_dendrite,uncertain,361.7,127.8,51.3
370,30023,30005,proximal_dendrite,asymmetric,418.2,148.5,75.9
371,30023,30080,distal_dendrite,asymmetric,178.0,245.4,192.2
372,30023,30132,proximal_dendrite,asymmetric,82.6,386.4,82.0
373,30023,30132,distal_dendrite,asymmetric,86.3,419.9,104.0
374,30023,30132,distal_dendrite,asymmetric,81.9,337.6,39.5
375,30023,30157,soma,asymmetric,335.5,477.4,224.4
376,30023,30157,proximal_dendrite,asymmetric,305.8,509.4,233.0
377,30023,30157,proximal_dendrite,asymmetric,321.7,485.2,190.6
378,30023,30173,spine,asymmetric,125.1,127.0,315.6
379,30023,30173,spine,uncertain,207.2,140.5,330.8
380,30023,30182,spine,asymmetric,141.2,247.3,14.1
381,30024,30009,soma,symmetric,238.2,402.7,153.8
382,30024,30027,proximal_dendrite,symmetric,295.9,240.0,233.7
383,30024,30031,soma,symmetric,429.6,366.5,23.5
384,30024,30031,proximal_dendrite,symmetric,429.0,317.2,24.4
385,30024,30031,proximal_dendrite,symmetric,428.4,370.4,34.3
386,30024,30031,soma,symmetric,373.8,363.6,52.4
387,30024,30136,soma,symmetric,299.4,397.6,-13.5
388,30024,30136,proximal_dendrite,symmetric,319.5,371.0,95.6
389,30024,30163,soma,uncertain,136.2,332.1,382.8
390,30024,30172,soma,symmetric,361.3,359.8,261.3
391,30024,30172,proximal_dendrite,uncertain,365.3,301.3,256.6
392,30024,30175,soma,uncertain,77.8,323.1,349.7
393,30024,30188,soma,symmetric,311.1,449.4,8.2
394,30024,30188,soma,symmetric,277.6,467.6,-15.6
395,30024,30188,distal_dendrite,symmetric,261.3,407.4,19.5
396,30024,30197,proximal_dendrite,symmetric,356.7,318.1,161.2
397,30024,30197,distal_dendrite,symmetric,324.1,408.7,175.7
398,30024,30197,soma,symmetric,363.8,358.5,126.5
399,30025,30001,proximal_dendrite,asymmetric,113.5,525.8,245.6
400,30025,30034,proximal_dendrite,asymmetric,143.9,323.2,307.5
401,30025,30034,soma,asymmetric,67.8,348.4,280.4
402,30025,30034,soma,asymmetric,104.8,325.1,275.0
403,30025,30071,proximal_dendrite,asymmetric,142.0,66.6,187.5
404,30025,30110,proximal_dendrite,asymmetric,355.1,271.6,268.3
405,30025,30111,distal_dendrite,asymmetric,260.7,427.5,16.6
406,30025,30111,proximal_dendrite,asymmetric,277.7,387.0,118.1
407,30025,30177,spine,asymmetric,222.2,396.5,259.4
408,30025,30186,distal_dendrite,asymmetric,270.5,335.7,49.8
409,30025,30186,spine,asymmetric,154.5,360.6,64.3
410,30025,30186,spine,asymmetric,234.4,354.4,106.1
411,30025,30190,distal_dendrite,asymmetric,260.5,287.8,147.7
412,30026,30009,proximal_dendrite,asymmetric,235.8,391.9,205.0
413,30026,30034,proximal_dendrite,asymmetric,151.7,362.5,276.2
414,30026,30034,proximal_dendrite,asymmetric,116.1,295.8,310.6
415,30026,30034,proximal_dendrite,asymmetric,135.0,296.5,240.1
416,30026,30034,proximal_dendrite,asymmetric,127.9,352.5,268.3
417,30026,30162,spine,asymmetric,125.1,158.7,174.9
418,30026,30162,proximal_dendrite,asymmetric,155.0,176.2,201.0
419,30026,30183,proximal_dendrite,asymmetric,149.2,202.8,325.0
420,30026,30183,spine,asymmetric,144.3,158.9,337.8
421,30026,30183,spine,asymmetric,128.7,216.5,296.3
422,30027,30054,spine,uncertain,66.9,238.7,361.7
423,30027,30140,proximal_dendrite,asymmetric,56.7,312.0,397.9
424,30027,30168,distal_dendrite,asymmetric,225.6,413.4,99.2
425,30027,30168,proximal_dendrite,asymmetric,183.9,438.6,20.3
426,30028,30001,proximal_dendrite,asymmetric,146.8,505.9,248.6
427,30028,30071,spine,asymmetric,188.3,131.7,235.5
428,30028,30071,spine,asymmetric,147.1,106.6,207.0
429,30028,30071,distal_dendrite,asymmetric,193.2,134.4,155.2
430,30028,30071,spine,asymmetric,99.6,118.3,240.7
431,30028,30071,spine,asymmetric,85.8,102.4,161.6
432,30028,30071,proximal_dendrite,asymmetric,156.8,45.5,161.7
433,30028,30071,spine,asymmetric,138.1,102.1,165.5
434,30028,30149,spine,asymmetric,381.7,234.8,130.5
435,30028,30149,spine,asymmetric,349.4,208.4,144.8
436,30028,30149,spine,asymmetric,392.8,195.6,133.1
437,30028,30149,spine,asymmetric,386.3,247.5,122.1
438,30028,30149,spine,asymmetric,385.7,210.5,97.6
439,30029,30184,proximal_dendrite,asymmetric,28.4,222.5,188.0
440,30029,30192,spine,asymmetric,340.5,330.1,0.9
441,30029,30192,distal_dendrite,asymmetric,354.0,301.0,66.0
