fragment_id,parent_neuron_id,block_100um,proofread_batch,x_um,y_um,path_length_um,caliber_mean_um,caliber_var,branch_count,tortuosity,pre_synapses,post_synapses,mito_volume_fraction,mean_intensity,label,contains_error
H0025,90027,domain2,D2,,,48.3,0.87,0.041,4,1.295,1,13,0.05,108.0,spiny_dendrite,0
H0026,90144,domain2,D2,,,58.8,0.28,0.0248,2,1.099,3,1,0.077,99.2,axon,0
H0027,90023,domain2,D2,,,26.1,0.355,0.0183,12,3.873,1,5,0.079,102.3,spiny_dendrite,1
H0028,90023,domain2,D2,,,52.6,0.264,0.072,2,1.406,0,2,0.049,94.0,smooth_dendrite,0
H0029,90003,domain2,D2,,,41.7,0.248,0.0332,3,2.475,0,5,0.057,87.7,spiny_dendrite,0
H0030,90087,domain2,D2,,,14.7,0.151,0.0661,6,1.288,0,0,0.028,103.3,glia_process,0
H0031,90070,domain2,D2,,,30.1,0.443,0.065,2,1.792,5,2,0.037,87.5,axon,1
H0032,90101,domain2,D2,,,38.8,1.456,0.0769,6,0.327,1,3,0.078,94.1,spiny_dendrite,0
H0033,90036,domain2,D2,,,17.1,0.689,0.1038,0,0.868,1,2,0.036,91.4,axon,0
H0034,90053,domain2,D2,,,20.8,0.499,0.0889,4,1.142,1,2,0.17,98.7,smooth_dendrite,0
H0035,90145,domain2,D2,,,15.3,0.099,0.0388,3,2.446,2,2,0.039,98.4,axon,0
H0036,90118,domain2,D2,,,14.4,0.341,0.0225,7,1.175,0,1,0.036,93.3,smooth_dendrite,1
H0037,90111,domain2,D2,,,54.6,0.384,0.0138,2,2.137,6,1,0.023,83.9,axon,0
H0038,90116,domain2,D2,,,45.0,0.302,0.0593,2,0.992,0,1,0.018,102.4,glia_process,0
H0039,90120,domain2,D2,,,53.3,0.164,0.0097,3,1.361,2,1,0.026,96.6,axon,1
H0040,90145,domain2,D2,,,29.7,0.891,0.0571,4,1.757,0,4,0.072,102.5,spiny_dendrite,0
H0041,90063,domain2,D2,,,29.6,0.183,0.1013,4,0.603,2,3,0.099,102.7,spiny_dendrite,0
H0042,90008,domain2,D2,,,63.8,0.398,0.127,4,0.739,0,2,0.08,88.4,spiny_dendrite,0
H0043,90093,domain2,D2,,,40.9,0.395,0.0279,3,0.7,0,2,0.078,92.4,smooth_dendrite,0
H0044,90069,domain2,D2,,,35.7,0.269,0.0127,6,2.634,3,0,0.02,90.5,axon,0
H0045,90009,domain2,D2,,,20.9,0.26,0.0155,3,0.933,1,0,0.07,107.8,axon,1
H0046,90077,domain2,D2,,,44.8,0.11,0.0286,2,1.016,1,1,0.073,100.3,axon,0
H0047,90066,domain2,D2,,,32.2,0.177,0.0067,2,0.705,4,1,0.036,92.7,axon,0
H0048,90097,domain2,D2,,,25.4,0.327,0.0239,2,1.214,2,1,0.057,95.1,axon,0
H0049,90019,domain2,D2,,,16.0,0.409,0.0459,1,0.755,6,1,0.032,92.1,axon,0
H0050,90037,domain2,D2,,,29.6,0.441,0.0183,3,1.816,1,8,0.059,110.3,spiny_dendrite,1
H0051,90078,domain2,D2,,,24.6,0.547,0.043,3,0.748,1,2,0.071,97.1,smooth_dendrite,0
H0052,90007,domain2,D2,,,18.8,0.543,0.0203,4,0.741,5,1,0.046,92.1,axon,0
H0053,90116,domain2,D2,,,30.4,0.715,0.0146,3,1.852,3,1,0.043,89.3,axon,0
H0054,90121,domain2,D2,,,25.8,1.153,0.0745,1,0.449,0,3,0.051,91.6,spiny_dendrite,0
H0055,90066,domain2,D2,,,16.6,1.148,0.0546,1,0.954,2,2,0.033,87.2,axon,0
H0056,90132,domain2,D2,,,32.9,0.83,0.0493,3,0.908,0,1,0.024,101.0,glia_process,0
H0057,90003,domain2,D2,,,34.4,1.32,0.0454,10,0.531,1,4,0.119,93.8,spiny_dendrite,0
H0058,90148,domain2,D2,,,51.4,0.996,0.1229,3,2.203,1,6,0.049,98.7,spiny_dendrite,0
H0059,90089,domain2,D2,,,26.2,0.431,0.0265,1,0.829,5,0,0.03,93.3,axon,0
H0060,90072,domain2,D2,,,12.6,0.438,0.1029,1,0.745,0,3,0.089,100.6,spiny_dendrite,0
H0061,90122,domain2,D2,,,20.5,0.22,0.0725,5,1.067,1,1,0.033,87.9,glia_process,0
H0062,90085,domain2,D2,,,25.5,0.724,0.0743,2,1.001,0,0,0.015,102.5,glia_process,0
H0063,90042,domain2,D2,,,24.0,0.37,0.0595,2,0.723,3,0,0.048,96.0,axon,1
H0064,90091,domain2,D2,,,30.6,0.254,0.052,2,0.728,7,1,0.046,97.5,axon,0
H0065,90132,domain2,D2,,,48.0,0.342,0.0122,7,3.03,4,1,0.048,103.4,axon,1
H0066,90005,domain2,D2,,,33.7,0.3,0.0429,9,0.346,0,2,0.043,77.1,smooth_dendrite,0
H0067,90075,domain2,D2,,,23.8,0.492,0.0753,5,1.757,0,1,0.055,90.7,glia_process,1
H0068,90116,domain2,D2,,,121.2,0.562,0.027,2,1.107,3,2,0.073,115.1,axon,0
H0069,90056,domain2,D2,,,26.5,0.436,0.0345,6,0.527,0,3,0.036,102.5,spiny_dendrite,0
H0070,90053,domain2,D2,,,23.2,0.2,0.027,2,0.724,6,1,0.042,94.8,axon,0
H0071,90055,domain2,D2,,,38.3,0.404,0.0545,2,0.897,0,0,0.03,90.3,glia_process,0
H0072,90150,domain2,D2,,,25.8,0.325,0.0374,2,1.827,5,0,0.118,87.5,axon,0
H0073,90095,domain2,D2,,,40.9,0.316,0.0157,4,1.203,4,2,0.073,91.7,axon,0
H0074,90002,domain2,D2,,,19.2,0.216,0.1143,4,3.773,1,2,0.132,103.8,spiny_dendrite,0
H0075,90003,domain2,D2,,,30.5,0.28,0.0193,3,2.868,1,1,0.029,86.5,axon,1
H0076,90082,domain2,D2,,,16.4,0.19,0.019,1,0.723,6,1,0.037,98.2,axon,0
H0077,90004,domain2,D2,,,21.9,1.721,0.0608,2,2.288,0,8,0.093,97.1,spiny_dendrite,0
H0078,90063,domain2,D2,,,35.0,0.5,0.0376,1,1.386,0,3,0.085,92.9,smooth_dendrite,0
H0079,90058,domain2,D2,,,53.4,1.598,0.0368,2,1.795,1,9,0.137,94.3,spiny_dendrite,1
H0080,90111,domain2,D2,,,39.4,0.512,0.0538,4,1.508,0,1,0.026,95.2,glia_process,0
H0081,90065,domain2,D2,,,55.2,0.311,0.0238,1,0.545,7,0,0.02,100.5,axon,1
H0082,90032,domain2,D2,,,104.5,0.179,0.0223,2,2.246,2,1,0.016,99.2,axon,0
H0083,90057,domain2,D2,,,27.3,0.431,0.0397,1,0.913,3,1,0.043,91.5,axon,0
H0084,90023,domain2,D2,,,34.3,0.356,0.0317,2,0.932,3,1,0.055,76.5,axon,0
H0085,90006,domain2,D2,,,31.0,0.245,0.0418,3,0.985,3,1,0.08,87.4,axon,0
H0086,90128,domain2,D2,,,50.7,1.774,0.0258,2,1.172,1,4,0.057,89.3,spiny_dendrite,0
H0087,90113,domain2,D2,,,12.9,0.351,0.0295,4,1.947,4,1,0.058,104.4,axon,0
H0088,90033,domain2,D2,,,10.9,0.278,0.0444,3,1.509,1,4,0.046,77.8,smooth_dendrite,0
H0089,90026,domain2,D2,,,66.1,0.334,0.0346,3,0.797,4,2,0.083,99.7,axon,1
H0090,90131,domain2,D2,,,22.0,0.526,0.0278,2,0.803,4,1,0.035,102.1,axon,0
H0091,90060,domain2,D2,,,20.1,0.399,0.0247,5,1.523,2,1,0.061,107.5,axon,0
H0092,90094,domain2,D2,,,41.8,0.319,0.0386,2,3.441,0,1,0.029,89.6,glia_process,0
H0093,90061,domain2,D2,,,16.5,0.061,0.0265,2,0.653,0,2,0.04,102.3,smooth_dendrite,0
H0094,90002,domain2,D2,,,22.1,0.797,0.0375,2,0.945,1,12,0.016,84.7,spiny_dendrite,0
H0095,90102,domain2,D2,,,20.5,0.573,0.0325,4,1.057,0,17,0.021,100.7,spiny_dendrite,1
H0096,90038,domain2,D2,,,42.1,0.119,0.0161,2,0.768,1,1,0.029,108.7,axon,1
H0097,90066,domain2,D2,,,34.1,0.755,0.0417,2,0.772,0,1,0.01,109.1,glia_process,0
H0098,90001,domain2,D2,,,36.1,0.517,0.0234,2,1.387,1,3,0.116,95.5,spiny_dendrite,0
H0099,90140,domain2,D2,,,27.8,0.473,0.197,9,0.35,2,2,0.104,104.1,merged_object,1
H0100,90077,domain2,D2,,,28.4,0.369,0.0629,2,1.799,0,4,0.073,91.2,spiny_dendrite,0
H0101,90071,domain2,D2,,,17.6,0.24,0.0289,2,1.869,3,1,0.013,111.6,axon,0
H0102,90053,domain2,D2,,,29.9,0.589,0.0323,1,0.991,3,1,0.032,101.2,axon,0
H0103,90095,domain2,D2,,,12.8,0.452,0.0743,1,0.781,0,0,0.033,103.8,glia_process,0
H0104,90016,domain2,D2,,,13.4,0.292,0.0288,7,1.291,0,1,0.057,93.6,smooth_dendrite,0
H0105,90074,domain2,D2,,,42.3,0.435,0.0468,4,3.33,0,1,0.076,89.4,smooth_dendrite,0
H0106,90121,domain2,D2,,,30.6,0.285,0.2069,4,0.391,0,1,0.028,92.5,glia_process,0
H0107,90148,domain2,D2,,,16.4,0.903,0.0394,2,0.681,2,2,0.038,96.4,smooth_dendrite,0
H0108,90039,domain2,D2,,,57.2,0.313,0.0922,4,2.805,0,17,0.066,112.0,spiny_dendrite,0
H0109,90077,domain2,D2,,,21.2,0.177,0.0391,1,0.659,1,2,0.051,82.8,smooth_dendrite,0
H0110,90072,domain2,D2,,,12.1,0.169,0.0473,7,2.187,0,2,0.062,112.5,smooth_dendrite,0
H0111,90138,domain2,D2,,,16.9,0.297,0.0459,3,0.854,0,1,0.023,96.2,smooth_dendrite,0
H0112,90044,domain2,D2,,,14.6,0.375,0.0571,4,1.207,1,0,0.021,94.3,glia_process,0
H0113,90045,domain2,D2,,,12.3,0.69,0.0136,2,0.486,3,1,0.031,91.2,axon,0
H0114,90077,domain2,D2,,,22.2,0.499,0.0378,2,1.08,2,1,0.09,104.0,axon,0
H0115,90070,domain2,D2,,,38.9,0.481,0.0631,1,1.246,0,2,0.032,91.3,spiny_dendrite,0
H0116,90048,domain2,D2,,,20.2,0.428,0.0461,4,2.96,1,15,0.03,93.6,spiny_dendrite,0
H0117,90011,domain2,D2,,,24.6,0.49,0.0757,4,1.073,1,1,0.046,94.0,glia_process,0
H0118,90087,domain2,D2,,,23.1,1.264,0.0303,5,1.749,2,1,0.038,96.7,axon,0
H0119,90014,domain2,D2,,,23.2,0.843,0.0695,3,1.053,1,6,0.061,101.8,spiny_dendrite,1
H0120,90105,domain2,D2,,,29.8,1.277,0.0126,1,0.92,2,1,0.026,85.3,axon,0
H0121,90150,domain2,D2,,,21.2,0.869,0.0368,7,2.051,0,2,0.062,91.6,spiny_dendrite,0
H0122,90024,domain2,D2,,,30.1,0.3,0.0127,2,1.633,2,2,0.039,98.6,axon,0
H0123,90024,domain2,D2,,,37.0,0.376,0.0218,2,1.029,3,1,0.021,90.9,axon,0
H0124,90107,domain2,D2,,,69.5,0.447,0.0741,3,1.582,1,3,0.046,94.0,spiny_dendrite,1
H0125,90052,domain2,D2,,,50.2,0.647,0.0089,2,3.25,3,1,0.095,92.5,axon,0
H0126,90132,domain2,D2,,,58.9,0.445,0.0459,1,2.268,4,1,0.022,96.4,axon,0
H0127,90089,domain2,D2,,,89.6,0.291,0.0194,2,0.693,3,1,0.018,95.4,axon,0
H0128,90022,domain2,D2,,,50.5,0.666,0.1108,9,1.2,3,4,0.056,88.1,merged_object,1
H0129,90006,domain2,D2,,,18.1,0.435,0.0802,4,1.193,0,0,0.04,100.5,glia_process,0
H0130,90031,domain2,D2,,,91.1,0.371,0.024,8,2.705,0,9,0.043,87.9,spiny_dendrite,1
H0131,90041,domain2,D2,,,26.8,0.573,0.031,3,1.607,4,1,0.066,93.4,axon,1
H0132,90070,domain2,D2,,,28.3,0.428,0.0165,9,0.902,2,1,0.038,97.5,axon,0
H0133,90030,domain2,D2,,,20.1,0.199,0.0332,2,0.802,6,1,0.022,83.3,axon,0
H0134,90037,domain2,D2,,,53.4,0.407,0.0176,3,3.064,3,2,0.039,85.5,axon,1
H0135,90093,domain2,D2,,,13.9,0.293,0.0305,3,1.024,2,2,0.116,92.3,smooth_dendrite,1
H0136,90137,domain2,D2,,,43.9,0.871,0.0675,2,0.742,0,3,0.034,92.2,spiny_dendrite,0
H0137,90001,domain2,D2,,,34.4,0.334,0.019,5,1.308,2,1,0.054,87.5,axon,0
H0138,90077,domain2,D2,,,20.2,0.64,0.0178,2,1.293,2,1,0.036,106.7,axon,0
H0139,90096,domain2,D2,,,39.6,0.529,0.03,2,2.835,3,1,0.067,92.8,axon,0
H0140,90118,domain2,D2,,,20.6,0.197,0.1062,7,1.353,0,0,0.01,100.2,glia_process,0
H0141,90022,domain2,D2,,,25.5,0.475,0.0837,2,1.769,0,1,0.022,85.3,glia_process,0
H0142,90150,domain2,D2,,,26.2,0.488,0.0667,2,1.213,0,5,0.043,93.9,smooth_dendrite,0
H0143,90076,domain2,D2,,,7.6,0.512,0.0391,5,1.87,0,2,0.158,102.4,smooth_dendrite,0
H0144,90099,domain2,D2,,,64.5,0.674,0.025,3,0.796,3,2,0.028,88.6,axon,1
H0145,90083,domain2,D2,,,59.6,0.126,0.0567,2,5.254,1,9,0.048,97.4,spiny_dendrite,0
H0146,90106,domain2,D2,,,16.2,1.034,0.0309,3,0.602,7,1,0.033,82.5,axon,0
H0147,90109,domain2,D2,,,15.5,0.53,0.0516,3,0.995,0,1,0.088,95.2,smooth_dendrite,0
H0148,90133,domain2,D2,,,34.0,1.777,0.0279,5,2.567,3,1,0.141,88.3,axon,0
H0149,90106,domain2,D2,,,34.2,0.439,0.0281,3,0.786,1,1,0.069,88.6,smooth_dendrite,0
H0150,90002,domain2,D2,,,52.1,0.547,0.034,3,0.623,2,1,0.013,88.6,axon,0
H0151,90079,domain2,D2,,,11.5,0.232,0.0383,1,1.438,0,1,0.019,103.4,glia_process,0
H0152,90144,domain2,D2,,,28.5,0.28,0.0388,2,1.861,1,1,0.037,96.2,glia_process,0
H0153,90132,domain2,D2,,,41.0,0.221,0.0103,2,1.323,0,2,0.019,86.5,smooth_dendrite,0
H0154,90123,domain2,D2,,,22.6,0.459,0.0525,1,0.441,7,1,0.026,89.8,axon,0
H0155,90091,domain2,D2,,,45.0,0.751,0.0441,7,1.282,0,13,0.043,100.7,spiny_dendrite,1
H0156,90140,domain2,D2,,,41.4,0.398,0.2535,5,0.448,1,6,0.028,96.1,spiny_dendrite,0
H0157,90029,domain2,D2,,,31.3,1.188,0.0388,3,0.891,0,4,0.084,100.8,spiny_dendrite,1
H0158,90029,domain2,D2,,,47.2,0.323,0.0205,1,1.495,10,0,0.053,103.1,axon,0
H0159,90099,domain2,D2,,,10.3,0.646,0.0955,7,1.189,3,4,0.076,101.6,merged_object,1
H0160,90006,domain2,D2,,,41.8,0.637,0.0166,5,1.427,4,1,0.023,74.9,axon,1
H0161,90003,domain2,D2,,,14.8,0.359,0.028,3,2.108,3,0,0.053,92.2,axon,0
H0162,90135,domain2,D2,,,23.2,0.273,0.0373,2,1.884,2,1,0.195,92.2,axon,0
H0163,90130,domain2,D2,,,42.5,0.219,0.0148,7,1.409,0,2,0.065,103.7,smooth_dendrite,0
H0164,90022,domain2,D2,,,66.6,0.643,0.0954,8,0.408,0,5,0.041,98.4,spiny_dendrite,1
H0165,90091,domain2,D2,,,54.1,0.193,0.0091,10,0.592,3,1,0.051,79.8,axon,0
H0166,90121,domain2,D2,,,46.1,0.688,0.0183,2,2.214,1,5,0.048,98.3,spiny_dendrite,0
H0167,90116,domain2,D2,,,55.4,0.19,0.0324,2,1.517,2,1,0.043,91.8,axon,0
H0168,90034,domain2,D2,,,32.0,0.218,0.0063,3,1.08,2,1,0.036,89.6,axon,0
H0169,90030,domain2,D2,,,30.3,0.242,0.0229,2,1.098,0,2,0.073,106.0,smooth_dendrite,0
H0170,90114,domain2,D2,,,21.2,0.428,0.0103,5,1.928,4,1,0.132,87.4,axon,0
H0171,90094,domain2,D2,,,150.2,0.811,0.0248,7,0.464,1,9,0.081,80.2,spiny_dendrite,1
H0172,90122,domain2,D2,,,33.2,0.187,0.0213,5,1.331,3,1,0.044,107.6,axon,0
H0173,90001,domain2,D2,,,35.6,0.413,0.031,6,0.682,5,2,0.027,89.2,axon,0
H0174,90124,domain2,D2,,,26.3,0.855,0.0344,4,0.866,0,1,0.089,100.8,smooth_dendrite,1
H0175,90010,domain2,D2,,,21.7,0.581,0.0952,11,0.816,3,9,0.04,101.6,merged_object,1
H0176,90086,domain2,D2,,,36.5,0.551,0.1033,4,1.221,0,10,0.027,103.9,spiny_dendrite,0
H0177,90103,domain2,D2,,,56.4,0.568,0.0499,4,0.79,1,10,0.042,81.6,spiny_dendrite,1
H0178,90094,domain2,D2,,,50.3,0.413,0.1027,4,1.787,2,11,0.019,104.6,merged_object,1
H0179,90063,domain2,D2,,,24.3,0.394,0.0717,2,4.682,0,0,0.022,86.1,glia_process,1
H0180,90115,domain2,D2,,,53.4,0.272,0.0272,3,2.213,3,2,0.051,93.1,axon,0
H0181,90131,domain2,D2,,,21.3,0.302,0.0164,2,0.695,3,3,0.063,71.0,axon,0
H0182,90072,domain2,D2,,,22.1,0.47,0.0404,1,3.293,1,9,0.105,101.7,spiny_dendrite,0
H0183,90041,domain2,D2,,,65.7,0.336,0.0553,5,1.736,1,1,0.028,84.5,glia_process,1
H0184,90082,domain2,D2,,,19.3,0.613,0.0364,1,0.916,5,1,0.031,91.7,axon,0
H0185,90102,domain2,D2,,,50.3,0.652,0.0266,2,0.986,1,1,0.032,90.3,axon,0
H0186,90030,domain2,D2,,,43.8,0.483,0.0335,7,0.567,4,3,0.086,94.3,axon,1
H0187,90013,domain2,D2,,,25.9,0.221,0.0395,3,1.005,1,4,0.071,94.8,spiny_dendrite,0
H0188,90099,domain2,D2,,,43.2,0.379,0.0936,8,1.592,0,12,0.07,91.0,spiny_dendrite,0
H0189,90057,domain2,D2,,,17.4,0.291,0.0563,4,1.345,0,3,0.068,92.6,spiny_dendrite,0
H0190,90122,domain2,D2,,,36.3,0.584,0.0465,2,0.739,1,1,0.077,92.3,spiny_dendrite,0
H0191,90064,domain2,D2,,,77.1,2.409,0.035,2,0.756,1,3,0.023,89.2,spiny_dendrite,0
H0192,90109,domain2,D2,,,25.0,0.285,0.0312,1,2.241,1,1,0.076,93.1,smooth_dendrite,0
H0193,90078,domain2,D2,,,32.2,0.703,0.035,4,1.244,0,0,0.025,97.7,glia_process,1
H0194,90008,domain2,D2,,,49.0,0.137,0.1414,4,1.427,0,1,0.04,90.2,smooth_dendrite,0
H0195,90035,domain2,D2,,,24.0,0.893,0.036,4,0.705,1,5,0.043,98.1,spiny_dendrite,0
H0196,90119,domain2,D2,,,19.8,0.204,0.0626,4,1.027,1,7,0.051,96.9,spiny_dendrite,1
H0197,90016,domain2,D2,,,17.2,0.907,0.0101,4,1.332,5,1,0.027,108.4,axon,0
H0198,90091,domain2,D2,,,18.4,0.293,0.0134,2,0.984,2,1,0.06,112.3,axon,0
H0199,90059,domain2,D2,,,24.1,0.233,0.0216,2,1.171,3,1,0.07,103.0,axon,0
H0200,90111,domain2,D2,,,68.3,0.118,0.0818,1,2.364,1,3,0.075,92.9,smooth_dendrite,0
H0201,90142,domain2,D2,,,45.3,0.358,0.1356,2,0.954,0,0,0.01,96.4,glia_process,0
H0202,90029,domain2,D2,,,24.1,0.231,0.0314,11,0.687,1,1,0.045,100.2,smooth_dendrite,0
H0203,90062,domain2,D2,,,53.1,0.655,0.0159,3,1.13,2,1,0.016,109.2,axon,0
H0204,90145,domain2,D2,,,46.7,2.873,0.015,2,1.363,0,21,0.082,103.1,spiny_dendrite,0
H0205,90043,domain2,D2,,,59.2,0.231,0.0146,7,1.894,5,2,0.143,106.8,axon,1
H0206,90005,domain2,D2,,,39.7,0.429,0.0588,3,0.976,3,1,0.04,86.8,axon,0
H0207,90047,domain2,D2,,,23.6,0.425,0.0204,4,1.646,2,1,0.034,89.6,axon,0
H0208,90112,domain2,D2,,,108.1,0.305,0.0075,2,2.418,3,0,0.058,103.1,axon,0
H0209,90011,domain2,D2,,,14.3,0.433,0.0564,1,1.546,1,1,0.138,92.3,smooth_dendrite,0
H0210,90132,domain2,D2,,,46.4,0.207,0.0312,5,0.638,3,1,0.078,106.3,axon,1
H0211,90055,domain2,D2,,,19.2,0.218,0.0337,3,1.393,4,1,0.04,74.0,axon,0
H0212,90113,domain2,D2,,,21.4,0.428,0.0188,4,1.672,2,3,0.012,89.7,axon,0
H0213,90121,domain2,D2,,,30.4,0.276,0.0301,3,1.59,4,1,0.011,88.2,axon,1
H0214,90032,domain2,D2,,,27.1,0.175,0.0307,4,2.189,1,2,0.141,86.3,smooth_dendrite,1
H0215,90130,domain2,D2,,,33.0,1.183,0.0753,4,1.513,1,11,0.045,96.5,spiny_dendrite,0
H0216,90096,domain2,D2,,,48.0,0.417,0.0078,4,0.788,2,2,0.012,99.4,axon,1
H0217,90088,domain2,D2,,,27.5,0.613,0.0172,5,0.958,1,3,0.037,103.4,spiny_dendrite,1
H0218,90045,domain2,D2,,,19.3,0.305,0.0533,2,0.43,4,2,0.066,75.2,axon,0
H0219,90002,domain2,D2,,,109.8,0.394,0.0138,3,2.598,2,1,0.028,98.0,axon,1
H0220,90032,domain2,D2,,,27.0,0.349,0.0169,1,2.656,4,0,0.05,92.2,axon,1
H0221,90026,domain2,D2,,,59.5,0.153,0.0277,2,1.198,1,1,0.101,83.6,smooth_dendrite,1
H0222,90074,domain2,D2,,,51.9,0.77,0.0388,3,0.763,0,4,0.026,96.1,spiny_dendrite,0
H0223,90012,domain2,D2,,,46.5,0.264,0.0096,4,0.818,1,1,0.026,105.1,axon,1
H0224,90142,domain2,D2,,,35.7,0.431,0.0695,2,1.295,1,4,0.028,96.0,spiny_dendrite,0
H0225,90140,domain2,D2,,,33.7,0.038,0.0484,3,0.62,0,1,0.051,90.0,smooth_dendrite,0
H0226,90020,domain2,D2,,,18.0,0.739,0.0574,2,1.334,0,6,0.025,85.5,spiny_dendrite,0
H0227,90101,domain2,D2,,,22.0,0.54,0.0466,2,1.037,0,2,0.103,94.7,spiny_dendrite,0
H0228,90059,domain2,D2,,,23.1,0.2,0.0104,5,2.018,3,1,0.047,85.4,axon,1
H0229,90071,domain2,D2,,,31.6,0.8,0.2191,1,3.759,0,1,0.018,85.5,glia_process,0
H0230,90033,domain2,D2,,,65.3,1.158,0.0232,2,1.292,15,2,0.087,100.1,axon,0
H0231,90068,domain2,D2,,,35.2,0.403,0.0866,3,2.328,0,1,0.016,100.7,glia_process,0
H0232,90135,domain2,D2,,,52.0,1.38,0.0196,2,0.939,2,0,0.041,98.1,axon,0
H0233,90054,domain2,D2,,,31.5,0.39,0.0097,2,1.721,1,2,0.048,83.6,axon,0
H0234,90126,domain2,D2,,,19.2,0.458,0.0311,2,1.873,5,1,0.039,106.0,axon,0
H0235,90127,domain2,D2,,,34.8,0.167,0.0116,2,0.961,2,2,0.018,90.4,axon,0
H0236,90058,domain2,D2,,,39.5,0.319,0.0586,2,0.986,4,1,0.05,94.6,axon,0
H0237,90006,domain2,D2,,,35.2,0.513,0.0349,6,0.678,0,1,0.007,109.4,glia_process,0
H0238,90136,domain2,D2,,,58.8,0.239,0.0524,5,0.819,1,3,0.061,102.0,merged_object,1
H0239,90064,domain2,D2,,,42.5,0.532,0.0166,2,1.334,1,5,0.035,80.8,spiny_dendrite,0
H0240,90100,domain2,D2,,,34.4,0.919,0.0285,4,1.952,1,6,0.044,99.1,spiny_dendrite,0
H0241,90102,domain2,D2,,,97.0,0.277,0.0597,6,0.425,1,1,0.053,103.8,smooth_dendrite,0
H0242,90084,domain2,D2,,,73.5,0.498,0.012,2,1.666,2,1,0.023,105.5,axon,0
H0243,90116,domain2,D2,,,83.7,0.282,0.0411,7,1.217,0,4,0.016,84.9,spiny_dendrite,0
H0244,90047,domain2,D2,,,25.9,0.237,0.0215,3,0.561,3,1,0.034,100.2,axon,1
H0245,90017,domain2,D2,,,48.3,0.606,0.1521,3,1.638,0,9,0.03,101.7,spiny_dendrite,0
H0246,90112,domain2,D2,,,35.3,0.172,0.0734,6,2.163,1,5,0.023,99.3,spiny_dendrite,0
H0247,90120,domain2,D2,,,30.0,0.232,0.0557,6,1.876,1,1,0.068,76.9,smooth_dendrite,0
H0248,90068,domain2,D2,,,20.1,0.498,0.033,1,0.924,0,6,0.037,92.1,spiny_dendrite,0
H0249,90112,domain2,D2,,,33.0,0.229,0.0563,2,1.041,0,0,0.057,88.1,glia_process,0
H0250,90037,domain2,D2,,,36.5,0.416,0.0082,3,1.051,3,2,0.016,101.9,axon,0
H0251,90051,domain2,D2,,,25.1,0.138,0.0123,4,0.834,0,2,0.022,95.1,smooth_dendrite,0
H0252,90076,domain2,D2,,,50.5,0.879,0.0812,7,1.154,3,6,0.041,113.1,merged_object,1
