fragment_id,parent_neuron_id,block_100um,proofread_batch,x_um,y_um,path_length_um,caliber_mean_um,caliber_var,branch_count,tortuosity,pre_synapses,post_synapses,mito_volume_fraction,mean_intensity,label,contains_error
F0053,40453,4-2,B4,461.3,232.3,23.3,0.144,0.0054,2,0.396,2,1,0.07,134.4,axon,0
F0054,40053,7-3,B4,751.4,373.7,29.0,0.647,0.0484,4,2.173,4,2,0.094,123.9,axon,0
F0055,40463,5-5,B3,555.9,530.3,31.5,0.353,0.0182,1,1.728,1,1,0.091,115.5,axon,0
F0056,40040,2-2,B5,296.6,250.2,16.3,0.224,0.1439,2,1.011,1,3,0.051,108.5,spiny_dendrite,0
F0057,40148,6-7,B4,663.6,715.1,34.2,0.586,0.0213,1,0.754,1,1,0.073,132.7,axon,0
F0058,40565,5-4,B4,584.2,436.9,22.4,0.682,0.1214,3,3.995,0,1,0.022,124.0,glia_process,0
F0059,40433,5-6,B6,578.0,693.6,50.9,0.6,0.0406,2,0.936,0,7,0.213,127.6,smooth_dendrite,0
F0060,40526,0-0,B2,63.0,62.0,16.4,0.335,0.023,2,1.015,0,1,0.049,127.0,glia_process,0
F0061,40370,3-3,B3,316.6,361.2,142.4,1.384,0.0507,14,2.207,0,2,0.457,106.0,smooth_dendrite,0
F0062,40319,0-7,B3,95.9,783.8,37.4,0.593,0.0213,1,0.662,0,8,0.314,124.7,spiny_dendrite,0
F0063,40256,3-0,B3,373.7,10.6,70.9,0.944,0.0511,11,4.581,2,1,0.064,116.3,merged_object,1
F0064,40414,2-4,B1,221.6,422.8,74.1,2.691,0.0804,8,0.952,1,3,0.024,134.2,smooth_dendrite,0
F0065,40234,2-6,B4,271.3,614.5,30.8,0.375,0.0423,1,4.992,4,1,0.069,102.6,axon,0
F0066,40135,2-1,B3,262.2,102.1,35.7,0.955,0.0163,6,4.921,1,6,0.037,123.4,spiny_dendrite,0
F0067,40167,3-5,B2,382.6,598.6,24.3,0.675,0.0412,7,0.809,0,4,0.24,135.3,spiny_dendrite,0
F0068,40081,5-1,B3,588.3,180.2,104.5,0.499,0.0899,2,1.201,0,11,0.114,74.1,spiny_dendrite,0
F0069,40168,3-2,B3,357.5,293.0,51.9,0.728,0.0354,7,0.674,2,1,0.019,124.1,spiny_dendrite,0
F0070,40322,5-5,B2,513.1,505.2,21.3,0.302,0.0248,5,2.835,0,35,0.065,114.2,spiny_dendrite,1
F0071,40508,1-2,B1,147.7,292.2,29.5,0.556,0.1314,5,3.359,1,2,0.064,113.1,glia_process,1
F0072,40440,6-3,B2,615.2,310.3,9.7,0.172,0.1131,5,1.314,1,5,0.498,102.8,smooth_dendrite,0
F0073,40097,7-1,B3,706.7,134.7,40.3,0.354,0.0636,2,1.767,0,2,0.052,99.7,spiny_dendrite,0
F0074,40341,1-4,B1,171.2,460.9,42.5,0.122,0.077,1,0.476,3,1,0.038,117.0,axon,0
F0075,40283,3-0,B6,379.8,35.5,12.9,0.677,0.0613,2,13.692,0,5,0.045,121.8,spiny_dendrite,0
F0076,40549,3-4,B6,380.0,434.9,10.5,0.173,0.1091,3,0.342,0,1,0.04,122.2,glia_process,0
F0077,40133,7-2,B5,760.7,250.9,28.7,0.894,0.1475,17,3.52,0,6,0.206,125.2,spiny_dendrite,0
F0078,40377,7-1,B2,795.6,111.5,19.8,0.952,0.0174,2,0.494,1,6,0.048,94.7,smooth_dendrite,0
F0079,40463,5-5,B3,529.7,554.9,71.8,0.396,0.0431,3,1.414,0,3,0.196,112.4,smooth_dendrite,0
F0080,40021,4-3,B3,445.4,375.9,19.7,0.514,0.0291,2,1.213,5,1,0.037,110.6,axon,1
F0081,40220,5-3,B5,526.1,304.3,41.7,0.598,0.0422,3,0.825,3,1,0.04,119.6,axon,1
F0082,40043,2-1,B2,268.3,171.5,61.8,1.45,0.0457,2,1.571,1,14,0.037,122.6,spiny_dendrite,0
F0083,40375,4-7,B6,404.1,749.1,22.2,0.211,0.0089,3,1.704,4,1,0.073,129.2,axon,0
F0084,40286,5-0,B1,559.9,96.7,37.0,2.238,0.0944,5,4.311,2,2,0.087,123.4,merged_object,1
F0085,40563,2-3,B5,294.5,399.5,14.4,0.336,0.0493,2,0.72,1,0,0.02,132.0,glia_process,1
F0086,40579,7-7,B5,756.6,714.9,28.4,0.576,0.1563,1,0.833,1,0,0.012,123.7,glia_process,0
F0087,40008,7-1,B6,723.2,123.8,46.9,3.036,0.08,4,5.395,1,4,0.06,94.7,spiny_dendrite,0
F0088,40513,7-5,B2,775.8,525.8,38.4,0.719,0.0552,3,1.006,0,0,0.033,118.3,glia_process,0
F0089,40158,2-5,B4,263.4,513.4,22.2,0.28,0.0105,2,1.647,6,1,0.07,112.5,axon,0
F0090,40484,0-1,B2,36.4,115.5,15.6,1.029,0.0367,14,3.446,1,7,0.062,149.0,smooth_dendrite,0
F0091,40204,4-3,B5,422.7,301.5,71.7,1.33,0.0134,3,1.277,0,2,0.067,104.2,spiny_dendrite,0
F0092,40470,5-2,B4,538.0,297.0,25.8,0.86,0.015,2,1.54,1,16,0.185,117.5,smooth_dendrite,0
F0093,40162,1-3,B5,181.7,394.2,42.9,0.181,0.0432,8,0.908,3,6,0.056,140.2,axon,0
F0094,40197,4-2,B1,438.1,295.5,29.4,0.454,0.0123,5,1.08,2,1,0.049,128.6,axon,1
F0095,40293,7-2,B2,712.0,214.2,74.7,0.627,0.0275,2,1.012,0,11,0.199,118.1,spiny_dendrite,0
F0096,40299,3-2,B1,343.9,284.5,71.4,0.379,0.0335,5,1.603,4,1,0.063,117.4,axon,0
F0097,40478,5-2,B2,524.2,214.0,129.4,1.902,0.0394,6,1.866,0,5,0.1,118.6,smooth_dendrite,0
F0098,40544,0-2,B3,4.8,226.6,49.6,0.674,0.0653,8,3.559,0,2,0.043,121.8,glia_process,0
F0099,40406,6-6,B5,670.7,686.2,89.1,0.1,0.025,1,1.685,2,0,0.151,127.3,axon,0
F0100,40443,6-0,B6,614.5,98.9,33.6,0.547,0.0049,9,1.608,4,2,0.029,110.7,axon,0
F0101,40143,2-7,B3,236.8,752.4,62.2,0.29,0.0625,2,1.323,0,2,0.131,128.8,spiny_dendrite,0
F0102,40315,3-4,B4,390.6,493.4,15.9,0.422,0.0089,4,1.619,7,1,0.147,128.0,axon,0
F0103,40314,1-4,B3,130.5,484.7,53.7,0.333,0.0094,2,3.936,7,1,0.02,121.4,axon,1
F0104,40229,5-6,B5,567.3,699.8,19.6,0.45,0.0113,5,0.796,0,5,0.113,133.0,spiny_dendrite,0
F0105,40356,3-3,B1,393.6,320.6,14.6,0.581,0.0352,1,3.488,1,1,0.103,112.1,axon,0
F0106,40390,6-1,B4,698.0,141.4,41.9,0.838,0.0099,2,1.289,5,0,0.127,106.6,axon,0
F0107,40302,5-6,B6,530.4,615.8,60.0,0.543,0.0187,1,1.227,2,2,0.097,130.4,axon,0
F0108,40149,1-1,B5,197.4,147.5,22.9,0.259,0.035,3,0.315,2,11,0.185,128.1,spiny_dendrite,1
F0109,40590,4-4,B1,462.9,437.4,19.0,0.48,0.1236,5,1.676,0,0,0.041,136.1,glia_process,0
F0110,40408,4-2,B2,405.3,211.4,27.8,0.439,0.0253,3,0.735,1,1,0.066,135.2,axon,0
F0111,40448,4-0,B4,470.2,43.3,28.4,0.289,0.0396,10,0.672,2,3,0.055,126.0,axon,0
F0112,40260,4-6,B5,411.8,645.9,40.9,0.611,0.1528,6,1.054,0,5,0.079,155.9,spiny_dendrite,0
F0113,40055,4-0,B6,415.7,74.0,37.1,0.13,0.0184,4,2.363,6,2,0.094,120.5,axon,0
F0114,40233,6-7,B3,658.4,793.4,43.7,1.062,0.0796,2,1.463,1,7,0.157,129.3,spiny_dendrite,0
F0115,40009,0-0,B4,22.1,46.2,25.9,0.065,0.0337,2,0.681,6,3,0.048,132.5,axon,0
F0116,40103,1-3,B3,124.1,320.2,16.1,0.215,0.018,7,1.158,2,2,0.048,156.5,axon,0
F0117,40085,5-0,B4,552.6,89.5,44.7,1.021,0.0085,13,1.326,3,1,0.073,120.4,axon,0
F0118,40427,0-1,B6,67.3,181.0,10.5,0.231,0.0147,3,2.178,11,1,0.13,142.7,axon,0
F0119,40424,4-5,B4,452.2,576.4,71.6,0.402,0.059,2,0.774,0,0,0.086,119.9,smooth_dendrite,0
F0120,40347,5-1,B6,507.3,196.5,53.2,0.404,0.0337,2,2.468,1,1,0.173,81.5,axon,0
F0121,40343,4-4,B4,468.4,470.9,26.8,0.17,0.0191,4,2.392,1,1,0.034,130.8,axon,0
F0122,40498,7-5,B3,706.8,582.8,161.0,0.751,0.0239,5,1.453,2,10,0.057,119.9,smooth_dendrite,0
F0123,40165,2-7,B5,213.9,747.0,88.5,0.188,0.0215,1,1.504,3,1,0.045,130.9,axon,0
F0124,40511,3-2,B4,386.5,228.5,21.5,0.459,0.0433,3,0.856,1,1,0.099,123.8,glia_process,0
F0125,40337,1-0,B3,146.2,71.2,51.3,0.715,0.0586,2,1.195,0,5,0.103,123.2,smooth_dendrite,0
F0126,40128,0-0,B2,77.1,26.3,102.9,0.085,0.0267,2,0.832,5,3,0.198,125.5,axon,0
F0127,40575,5-4,B4,533.7,413.4,35.6,2.608,0.0634,4,1.073,3,3,0.035,131.5,merged_object,1
F0128,40382,6-0,B1,638.8,69.1,69.4,1.717,0.0186,1,1.143,1,3,0.196,111.2,smooth_dendrite,0
F0129,40216,0-7,B2,7.7,780.8,20.6,1.149,0.0576,3,1.575,1,4,0.243,126.7,spiny_dendrite,0
F0130,40195,5-3,B1,597.3,318.8,23.7,1.215,0.0815,7,0.672,0,4,0.078,118.7,spiny_dendrite,0
F0131,40466,3-0,B1,372.1,55.5,59.5,1.215,0.1163,3,1.28,0,1,0.107,125.8,smooth_dendrite,1
F0132,40022,1-2,B5,148.4,250.7,30.7,0.252,0.0177,1,1.562,2,1,0.076,121.4,axon,0
F0133,40216,0-7,B2,54.4,713.0,19.5,0.389,0.0188,2,0.948,4,1,0.15,130.8,axon,0
F0134,40291,3-6,B3,351.3,615.7,42.5,0.508,0.0679,4,1.883,2,1,0.094,141.3,axon,0
F0135,40080,3-2,B4,328.0,245.5,45.6,0.376,0.0211,1,0.822,3,1,0.045,117.9,axon,0
F0136,40418,2-4,B3,292.4,480.3,64.6,0.542,0.0588,2,3.02,6,1,0.096,125.3,axon,0
F0137,40454,6-1,B2,623.0,126.7,6.9,1.653,0.0074,6,1.457,2,1,0.194,118.2,axon,0
F0138,40467,3-7,B2,327.0,757.3,82.9,0.496,0.0252,2,0.902,1,2,0.076,147.1,axon,1
F0139,40332,5-4,B2,508.6,434.7,23.0,1.481,0.0411,2,2.026,1,7,0.137,127.8,smooth_dendrite,0
F0140,40253,3-1,B1,352.9,161.0,20.0,0.682,0.0619,4,1.764,0,4,0.231,130.0,spiny_dendrite,0
F0141,40447,2-2,B6,294.6,282.1,35.8,0.665,0.0361,9,1.162,1,3,0.126,112.0,smooth_dendrite,0
F0142,40384,5-4,B4,526.8,435.4,26.8,0.683,0.0433,4,1.113,3,1,0.032,124.6,axon,0
F0143,40433,5-6,B6,576.4,684.9,64.7,0.325,0.0228,4,1.026,1,1,0.09,125.7,axon,0
F0144,40489,4-6,B5,488.6,680.5,11.2,0.169,0.1113,2,4.875,0,11,0.202,144.5,smooth_dendrite,0
F0145,40045,6-4,B6,635.1,423.4,9.2,0.275,0.068,5,2.272,1,7,0.115,118.9,spiny_dendrite,0
F0146,40318,6-7,B1,642.3,719.7,26.0,0.18,0.0561,5,0.291,5,1,0.04,127.5,axon,0
F0147,40244,4-4,B2,432.8,467.9,12.3,0.067,0.0196,1,1.129,7,3,0.053,130.5,axon,0
F0148,40013,6-0,B5,602.4,31.7,23.4,0.601,0.0182,4,0.757,1,2,0.094,103.9,spiny_dendrite,0
F0149,40346,6-1,B4,621.7,193.7,13.4,0.542,0.1173,4,2.058,1,5,0.056,109.9,smooth_dendrite,0
F0150,40026,3-1,B6,352.8,124.2,143.0,0.342,0.0208,3,1.805,0,5,0.066,131.2,spiny_dendrite,0
F0151,40076,7-5,B6,741.2,520.0,90.8,0.465,0.0796,2,0.793,0,15,0.155,116.5,spiny_dendrite,1
F0152,40303,2-7,B2,270.2,777.0,12.4,0.173,0.0114,2,1.07,5,1,0.15,130.6,axon,1
F0153,40377,7-1,B2,704.5,182.4,16.9,0.942,0.0406,3,0.651,0,7,0.037,96.7,smooth_dendrite,0
F0154,40094,2-3,B5,293.9,356.7,37.4,0.136,0.0062,1,1.069,4,2,0.074,125.6,axon,0
F0155,40178,2-2,B6,238.6,242.9,30.6,0.55,0.0171,2,4.001,4,2,0.042,109.3,axon,0
F0156,40380,1-3,B4,162.9,393.2,25.4,0.589,0.1441,3,3.582,1,4,0.143,145.8,smooth_dendrite,0
F0157,40348,0-3,B5,88.4,382.9,9.3,0.122,0.0382,3,7.972,3,1,0.041,112.1,axon,0
F0158,40114,4-0,B2,499.5,89.4,21.6,1.409,0.0892,2,3.054,2,7,0.101,130.6,spiny_dendrite,0
F0159,40447,2-2,B6,260.1,286.0,42.1,1.124,0.0448,3,0.728,1,2,0.148,110.9,smooth_dendrite,0
F0160,40112,0-6,B4,82.4,616.4,47.1,1.115,0.0357,2,1.651,2,0,0.078,124.2,axon,0
F0161,40269,7-0,B4,766.5,61.7,31.9,0.294,0.0225,1,0.502,1,3,0.133,143.6,spiny_dendrite,0
F0162,40138,0-1,B3,86.0,171.1,50.4,0.101,0.0306,2,1.205,2,2,0.16,140.4,axon,0
F0163,40350,6-4,B5,611.4,493.6,21.6,1.399,0.0054,1,2.073,1,0,0.04,128.6,axon,0
F0164,40091,3-2,B6,367.1,264.6,31.6,0.409,0.0484,1,2.334,1,10,0.046,122.6,spiny_dendrite,0
F0165,40460,2-0,B6,234.7,50.6,36.0,0.512,0.0251,12,6.126,1,7,0.235,127.1,smooth_dendrite,0
F0166,40006,7-6,B4,712.4,618.4,23.9,2.255,0.0256,1,1.076,1,4,0.07,110.5,spiny_dendrite,0
F0167,40274,6-4,B6,665.3,423.5,24.4,0.812,0.031,5,2.536,1,1,0.166,113.1,axon,1
F0168,40084,3-3,B6,385.1,329.8,32.9,0.276,0.0268,2,1.136,4,1,0.446,110.2,axon,0
F0169,40379,4-3,B6,412.7,352.4,49.8,0.616,0.0191,3,1.355,1,10,0.035,113.8,smooth_dendrite,0
F0170,40359,2-4,B1,207.0,477.6,15.6,0.54,0.0221,2,1.379,0,2,0.062,124.9,smooth_dendrite,0
F0171,40312,4-2,B5,411.7,210.8,27.8,0.657,0.0043,3,2.267,4,2,0.108,140.1,axon,0
F0172,40031,3-1,B4,322.2,101.9,22.1,1.008,0.1571,9,0.677,1,8,0.175,129.6,merged_object,1
F0173,40218,1-1,B6,150.0,145.9,26.6,0.853,0.052,3,3.956,1,4,0.136,125.6,spiny_dendrite,0
F0174,40211,7-2,B4,760.8,203.6,64.5,1.245,0.0742,16,0.73,1,4,0.1,118.0,spiny_dendrite,0
F0175,40132,1-1,B1,154.6,123.4,20.0,0.533,0.0772,2,1.446,1,5,0.119,137.8,spiny_dendrite,0
F0176,40475,2-5,B5,225.4,545.6,37.1,0.361,0.0226,4,1.62,1,3,0.077,126.4,smooth_dendrite,0
F0177,40399,4-4,B6,438.8,403.1,16.9,0.222,0.0252,4,1.188,0,2,0.098,133.1,smooth_dendrite,0
F0178,40489,4-6,B5,422.1,658.2,22.7,0.184,0.1026,3,1.35,0,8,0.187,145.2,smooth_dendrite,1
F0179,40275,2-2,B6,219.2,241.4,10.2,0.525,0.0952,2,1.15,0,3,0.099,109.2,spiny_dendrite,0
F0180,40197,4-2,B1,487.6,262.8,33.3,0.619,0.0573,6,1.941,0,3,0.079,126.6,spiny_dendrite,0
F0181,40065,1-3,B5,184.4,339.6,42.5,1.506,0.1889,2,3.168,1,13,0.073,146.8,spiny_dendrite,0
F0182,40017,2-4,B3,265.8,414.5,78.7,0.884,0.007,2,0.709,2,1,0.045,115.5,axon,0
F0183,40081,5-1,B3,533.2,137.4,70.9,0.227,0.0898,1,1.675,0,14,0.12,74.8,spiny_dendrite,0
F0184,40351,1-3,B2,125.8,300.7,41.2,0.36,0.0517,5,0.336,1,3,0.096,146.3,smooth_dendrite,0
F0185,40019,5-0,B5,524.4,71.0,85.4,0.522,0.0081,4,2.79,12,1,0.062,125.7,axon,0
F0186,40473,0-1,B2,40.2,183.9,10.5,0.35,0.0503,5,1.221,1,2,0.091,142.2,smooth_dendrite,0
F0187,40104,0-6,B6,75.4,661.3,41.8,0.357,0.0247,5,3.241,1,8,0.049,121.8,spiny_dendrite,1
F0188,40244,4-4,B2,483.8,451.9,7.9,0.131,0.0138,3,1.549,5,3,0.043,129.5,axon,1
F0189,40235,5-5,B6,571.1,592.7,21.3,1.276,0.0513,2,0.392,1,2,0.154,117.4,spiny_dendrite,1
F0190,40403,4-2,B1,410.1,203.9,66.0,0.746,0.0162,2,0.91,2,1,0.701,132.4,axon,0
F0191,40126,4-3,B6,422.4,392.2,26.8,0.426,0.0343,2,0.92,7,1,0.023,111.3,axon,0
F0192,40178,2-2,B6,233.8,222.3,30.8,0.445,0.02,4,3.553,2,1,0.036,106.8,axon,0
F0193,40366,0-3,B4,77.1,392.4,28.8,0.398,0.0411,3,1.443,0,2,0.366,111.6,smooth_dendrite,0
F0194,40161,3-0,B4,317.4,78.7,46.5,0.13,0.0181,1,1.673,0,2,0.084,121.2,spiny_dendrite,0
F0195,40138,0-1,B3,73.7,104.4,58.4,0.296,0.0898,3,1.587,1,9,0.398,141.9,spiny_dendrite,0
F0196,40458,7-3,B3,723.6,306.4,10.7,0.378,0.0354,1,1.478,2,1,0.147,115.1,axon,0
F0197,40268,1-5,B1,137.7,591.0,59.2,0.114,0.0799,10,0.324,0,5,0.105,105.8,spiny_dendrite,0
F0198,40353,6-0,B4,614.9,25.7,24.8,0.495,0.0058,3,0.807,2,1,0.302,107.6,axon,1
F0199,40476,3-3,B3,350.3,340.0,25.7,0.185,0.0241,3,0.642,10,1,0.094,111.0,axon,0
F0200,40207,5-6,B4,536.9,682.7,21.6,0.084,0.0339,3,0.483,1,1,0.07,132.9,axon,1
F0201,40359,2-4,B1,271.0,444.1,18.5,0.556,0.0181,2,1.631,0,3,0.061,122.3,smooth_dendrite,0
F0202,40185,0-1,B1,37.7,170.9,35.5,1.272,0.0257,4,1.845,1,6,0.084,133.8,spiny_dendrite,1
F0203,40137,7-5,B6,771.1,595.3,36.8,0.286,0.1295,5,2.95,2,1,0.051,117.4,merged_object,1
F0204,40146,7-6,B3,781.2,646.6,14.0,1.546,0.0296,3,0.57,1,6,0.135,109.1,spiny_dendrite,0
F0205,40464,6-6,B6,673.7,646.5,33.5,0.198,0.0504,3,0.535,2,1,0.124,128.4,axon,0
F0206,40255,1-2,B3,148.5,267.6,9.5,0.12,0.069,8,1.575,7,0,0.035,121.2,axon,0
F0207,40229,5-6,B5,513.7,675.8,31.0,0.42,0.0128,4,1.361,1,10,0.115,133.4,spiny_dendrite,1
F0208,40152,6-3,B5,689.3,350.1,13.9,0.319,0.1179,2,0.364,0,3,0.113,101.8,spiny_dendrite,0
F0209,40359,2-4,B1,214.7,477.9,23.2,0.714,0.0401,3,2.413,0,3,0.093,125.0,smooth_dendrite,0
F0210,40142,5-2,B4,591.2,224.2,40.9,0.185,0.0122,3,1.006,6,2,0.117,128.8,axon,1
F0211,40270,2-2,B3,280.1,277.6,14.7,0.388,0.0048,3,0.449,3,2,0.09,108.1,axon,0
F0212,40483,5-0,B6,520.7,97.9,15.5,0.698,0.0069,6,0.461,1,4,0.08,111.6,smooth_dendrite,0
F0213,40520,7-1,B5,785.2,175.2,35.2,0.257,0.1122,8,1.923,0,0,0.03,106.1,glia_process,0
F0214,40004,6-1,B5,666.8,107.9,31.2,0.137,0.0119,3,0.773,5,1,0.028,105.6,axon,0
F0215,40377,7-1,B2,731.2,111.2,17.2,0.747,0.0449,2,0.506,1,6,0.06,93.3,smooth_dendrite,1
F0216,40349,1-6,B3,160.6,611.6,43.6,0.499,0.0115,2,1.083,3,2,0.039,124.7,axon,0
F0217,40279,4-7,B6,495.4,752.9,21.7,0.709,0.0295,1,0.907,0,8,0.209,122.0,spiny_dendrite,0
F0218,40085,5-0,B4,550.4,44.5,64.4,1.368,0.0867,26,1.99,3,3,0.106,118.7,merged_object,1
F0219,40473,0-1,B2,25.2,161.8,9.3,0.388,0.0853,4,1.312,1,2,0.087,143.3,smooth_dendrite,0
F0220,40416,6-7,B1,612.9,781.7,41.4,2.34,0.0796,4,0.522,1,1,0.031,132.4,smooth_dendrite,0
F0221,40110,0-5,B1,7.5,500.4,29.0,0.777,0.1007,4,0.808,1,14,0.084,96.1,spiny_dendrite,0
F0222,40212,7-4,B6,745.8,456.2,9.3,0.522,0.1128,3,0.846,1,8,0.111,129.6,spiny_dendrite,0
F0223,40479,4-7,B3,462.1,777.2,12.9,0.712,0.0364,1,1.222,1,7,0.244,123.8,smooth_dendrite,1
F0224,40189,1-0,B3,187.0,69.4,53.3,0.641,0.0227,4,3.341,2,1,0.102,114.9,axon,0
F0225,40434,1-5,B6,113.7,592.5,15.7,0.416,0.0215,1,1.522,1,8,0.049,111.7,smooth_dendrite,0
