synapse_id,pre_root_id,post_root_id,pre_cell_type,post_cell_type,region,x_um,y_um,z_um,size_vx
69,100283,100174,martinotti,L5_pyr,L5,-18.2,683.1,225.7,908
70,100102,100283,L4_exc,martinotti,L5,19.0,471.8,169.6,262
71,100187,100237,L5_pyr,basket,L5,53.1,497.5,93.2,423
72,100134,100092,L4_exc,L4_exc,L4,239.1,346.4,156.8,328
73,100028,100125,L23_pyr,L4_exc,L4,245.4,376.9,14.8,193
74,100261,100184,martinotti,L5_pyr,L5,113.2,570.9,44.0,201
75,100116,100248,L4_exc,basket,L2/3,234.2,341.6,109.1,257
76,100090,100168,L23_pyr,L5_pyr,L5,71.6,483.9,287.0,199
77,100212,100204,L5_pyr,L5_pyr,L5,192.8,584.3,-13.3,136
78,100276,100092,martinotti,L4_exc,L4,255.1,425.3,125.0,237
79,100106,100232,L4_exc,basket,L2/3,302.5,197.8,99.3,219
80,100237,100236,basket,basket,L4,34.6,417.6,254.4,215
81,100197,100201,L5_pyr,L5_pyr,L5,264.1,545.0,268.2,197
82,100187,100103,L5_pyr,L4_exc,L4,118.8,316.0,277.2,691
83,100183,100181,L5_pyr,L5_pyr,L5,7.8,534.1,189.8,186
84,100179,100143,L5_pyr,L4_exc,L4,40.4,388.9,321.0,294
85,100036,100121,L23_pyr,L4_exc,L4,236.2,324.1,221.3,105
86,100016,100076,L23_pyr,L23_pyr,L2/3,86.7,164.4,201.1,121
87,100006,100123,L23_pyr,L4_exc,L4,198.8,335.9,166.9,155
88,100195,100144,L5_pyr,L4_exc,L4,323.0,345.9,216.0,33
89,100235,100201,basket,L5_pyr,L5,286.0,544.3,273.6,395
90,100170,100229,L5_pyr,basket,L2/3,265.2,262.7,170.5,112
91,100281,100179,martinotti,L5_pyr,L5,186.4,555.1,259.3,338
92,100004,100043,L23_pyr,L23_pyr,L2/3,173.2,107.4,163.2,164
93,100279,100170,martinotti,L5_pyr,L5,111.3,630.2,141.0,165
94,100243,100013,basket,L23_pyr,L2/3,162.7,182.4,30.6,296
95,100133,100277,L4_exc,martinotti,L4,33.8,299.9,134.8,92
96,100022,100297,L23_pyr,vip,L5,336.8,492.0,8.0,163
97,100203,100162,L5_pyr,L5_pyr,L5,34.6,642.2,53.7,172
98,100114,100035,L4_exc,L23_pyr,L2/3,280.9,106.6,253.6,109
99,100002,100033,L23_pyr,L23_pyr,L2/3,95.4,265.3,270.3,110
100,100056,100024,L23_pyr,,L2/3,62.6,185.0,54.0,48
101,100125,100166,L4_exc,L5_pyr,L5,211.3,545.0,40.5,114
102,100183,100164,L5_pyr,L5_pyr,L5,88.9,555.5,95.2,153
103,100205,100146,L5_pyr,L4_exc,L4,29.2,452.1,62.1,157
104,100007,100247,L23_pyr,basket,L2/3,4.7,114.5,9.2,275
105,100300,100085,vip,L23_pyr,L2/3,47.3,249.4,61.3,128
106,100192,100249,L5_pyr,,L4,226.6,431.6,70.9,89
107,100011,100082,L23_pyr,L23_pyr,L2/3,39.9,255.4,125.4,584
108,100105,100123,L4_exc,L4_exc,L4,152.4,325.1,157.0,115
109,100257,100270,basket,martinotti,L5,145.3,489.6,259.8,345
110,100155,100157,L4_exc,L4_exc,L4,184.6,315.5,84.7,79
111,100160,100148,L4_exc,L4_exc,L4,226.5,321.5,180.5,227
112,100083,100111,L23_pyr,L4_exc,L4,18.3,308.8,83.0,105
113,100060,100240,L23_pyr,basket,L5,152.7,448.1,156.8,62
114,100209,100285,L5_pyr,martinotti,L5,194.4,717.8,4.5,241
115,100249,100157,basket,L4_exc,L4,162.1,304.3,23.6,573
116,100076,100052,L23_pyr,L23_pyr,L2/3,318.2,246.6,67.0,198
117,100029,100073,L23_pyr,L23_pyr,L2/3,119.0,212.6,224.4,80
118,100046,100268,L23_pyr,martinotti,L4,125.6,325.6,173.8,168
119,100019,100273,L23_pyr,,L2/3,236.4,157.2,290.1,242
120,100295,100022,vip,L23_pyr,L2/3,144.8,311.5,76.4,279
121,100261,100284,martinotti,martinotti,L5,248.0,523.5,169.3,1005
122,100146,100116,L4_exc,L4_exc,L4,59.2,387.4,19.9,82
123,100169,100134,L5_pyr,L4_exc,L4,219.5,454.8,216.3,225
124,100283,100235,martinotti,basket,L5,39.8,483.9,226.0,272
125,100173,100210,L5_pyr,L5_pyr,L5,47.9,479.9,190.1,132
126,100218,100288,L5_pyr,vip,L5,77.9,460.4,202.6,140
127,100069,100046,L23_pyr,L23_pyr,L2/3,225.8,180.9,135.0,243
128,100202,100222,L5_pyr,basket,L4,299.1,403.2,24.5,208
129,100103,100209,L4_exc,L5_pyr,L5,136.6,634.9,145.0,436
130,100102,100002,L4_exc,L23_pyr,L2/3,45.2,215.1,197.3,180
131,100260,100027,basket,L23_pyr,L2/3,-3.5,297.6,151.5,121
132,100139,100270,L4_exc,martinotti,L5,155.5,538.4,240.8,88
133,100254,100047,basket,L23_pyr,L2/3,107.3,179.5,255.8,231
134,100160,100152,L4_exc,L4_exc,L4,-40.9,366.7,101.0,473
135,100123,100013,L4_exc,L23_pyr,L2/3,118.0,210.4,44.1,269
136,100157,100005,L4_exc,L23_pyr,L2/3,227.2,215.3,111.0,239
137,100219,100297,L5_pyr,vip,L5,282.0,484.2,12.4,839
138,100145,100112,L4_exc,L4_exc,L4,0.5,409.0,18.9,167
139,100175,100154,L5_pyr,L4_exc,L4,154.3,382.4,18.4,28
140,100216,100202,L5_pyr,L5_pyr,L5,126.0,448.3,241.1,181
141,100187,100063,L5_pyr,L23_pyr,L2/3,235.4,94.2,287.8,341
142,100097,100018,L4_exc,L23_pyr,L2/3,328.9,120.5,235.3,153
143,100096,100227,L4_exc,basket,L5,150.1,507.2,-10.8,351
144,100186,100212,L5_pyr,L5_pyr,L5,248.0,519.9,206.1,359
145,100167,100293,L5_pyr,vip,L4,291.3,333.7,213.7,217
146,100070,100299,L23_pyr,vip,L4,10.0,250.6,211.9,153
147,100064,100083,L23_pyr,L23_pyr,L2/3,231.5,224.7,91.6,141
148,100115,100287,L4_exc,vip,L4,250.0,304.9,-51.0,310
149,100182,100162,L5_pyr,L5_pyr,L5,19.0,640.5,137.9,298
150,100243,100202,basket,L5_pyr,L5,64.4,472.6,241.7,113
151,100209,100265,L5_pyr,martinotti,L5,181.9,677.2,-23.7,377
152,100067,100134,L23_pyr,L4_exc,L4,183.6,432.3,245.5,127
153,100250,100012,basket,L23_pyr,L2/3,158.7,127.6,159.7,840
154,100073,100094,L23_pyr,L4_exc,L4,84.0,383.8,268.3,112
155,100190,100111,L5_pyr,L4_exc,L4,-10.1,319.0,138.3,149
156,100171,100252,L5_pyr,basket,L4,49.5,345.5,201.6,189
157,100300,100070,vip,L23_pyr,L2/3,285.0,130.1,325.6,351
158,100166,100224,L5_pyr,basket,L5,96.1,544.8,167.0,121
159,100242,100084,basket,L23_pyr,L2/3,158.8,194.7,9.3,184
160,100035,100046,L23_pyr,L23_pyr,L2/3,214.1,181.9,176.2,383
161,100002,100232,L23_pyr,basket,L2/3,247.9,227.6,130.1,81
162,100206,100275,L5_pyr,martinotti,L5,271.4,478.6,238.1,190
163,100222,100140,basket,L4_exc,L4,57.3,403.0,3.3,624
164,100227,100174,basket,L5_pyr,L5,-51.6,706.8,192.9,373
165,100054,100226,L23_pyr,basket,L4,-9.9,333.6,-8.6,224
166,100176,100188,L5_pyr,L5_pyr,L5,321.1,546.5,141.6,323
167,100127,100225,L4_exc,basket,L4,214.2,383.6,260.3,78
168,100186,100224,L5_pyr,basket,L5,53.7,494.5,120.0,161
169,100136,100042,L4_exc,L23_pyr,L2/3,198.5,226.1,266.7,212
170,100139,100054,L4_exc,L23_pyr,L2/3,157.5,75.8,150.6,297
171,100030,100058,L23_pyr,L23_pyr,L2/3,75.1,187.1,106.0,107
172,100271,100012,martinotti,L23_pyr,L2/3,141.5,106.4,127.3,398
173,100003,100267,L23_pyr,martinotti,L2/3,121.1,137.1,-51.9,252
174,100249,100226,basket,basket,L4,-1.5,378.0,10.9,1150
175,100107,100201,L4_exc,L5_pyr,L5,239.9,544.2,269.7,171
176,100276,100139,martinotti,,L4,280.1,440.4,204.8,699
177,100040,100083,L23_pyr,L23_pyr,L2/3,226.8,282.0,151.0,224
178,100264,100300,martinotti,vip,L2/3,164.8,105.8,105.5,265
179,100024,100015,L23_pyr,L23_pyr,L2/3,213.2,141.3,86.6,159
180,100283,100078,martinotti,L23_pyr,L2/3,154.9,227.7,301.8,132
181,100114,100088,L4_exc,L23_pyr,L2/3,45.8,247.8,174.7,266
182,100078,100119,L23_pyr,L4_exc,L4,244.7,348.2,114.3,176
183,100127,100279,L4_exc,martinotti,L5,111.9,661.5,216.2,329
184,100223,100214,basket,L5_pyr,L5,155.8,538.5,223.0,308
185,100259,100106,basket,L4_exc,L4,240.4,305.8,112.9,135
186,100159,100288,L4_exc,vip,L5,100.4,457.3,193.4,124
187,100136,100108,L4_exc,L4_exc,L4,150.1,361.4,57.9,298
188,100093,100155,L4_exc,L4_exc,L4,226.5,361.7,58.9,268
189,100253,100221,basket,basket,L4,159.8,351.4,108.7,265
190,100078,100266,L23_pyr,martinotti,L5,304.4,458.2,130.4,263
191,100009,100090,L23_pyr,L23_pyr,L2/3,-15.4,269.8,284.1,80
192,100131,100227,L4_exc,basket,L5,130.8,519.0,21.9,309
193,100067,100066,L23_pyr,,L2/3,10.8,287.0,72.5,117
194,100296,100155,vip,,L4,215.9,414.1,-13.4,129
195,100212,100110,L5_pyr,L4_exc,L4,188.4,383.2,149.5,256
196,100238,100112,basket,L4_exc,L4,32.5,408.5,66.5,302
197,100047,100007,L23_pyr,L23_pyr,L2/3,226.6,272.5,111.0,123
198,100136,100220,L4_exc,L5_pyr,L5,251.2,570.2,91.6,266
199,100073,100047,L23_pyr,L23_pyr,L2/3,136.0,187.8,261.8,365
200,100081,100007,L23_pyr,L23_pyr,L2/3,219.9,246.8,82.2,181
201,100050,100156,L23_pyr,L4_exc,L4,123.0,367.9,122.0,163
202,100268,100075,martinotti,L23_pyr,L2/3,130.5,298.1,285.8,127
203,100006,100016,L23_pyr,L23_pyr,L2/3,216.9,272.8,127.0,179
204,100135,100164,L4_exc,L5_pyr,L5,145.3,545.1,122.4,151
205,100201,100169,L5_pyr,L5_pyr,L5,23.8,480.4,266.9,134
206,100186,100227,L5_pyr,basket,L5,103.9,506.2,12.9,115
207,100079,100274,L23_pyr,martinotti,L2/3,223.2,204.4,119.0,48
208,100131,100199,L4_exc,L5_pyr,L5,86.0,683.6,63.1,129
209,100239,100165,basket,L5_pyr,L5,183.1,554.0,236.5,308
210,100243,100280,basket,martinotti,L2/3,135.7,112.1,-25.6,112
211,100014,100090,L23_pyr,L23_pyr,L2/3,-8.5,296.1,268.7,183
212,100164,100219,L5_pyr,L5_pyr,L5,142.2,640.0,91.0,231
213,100246,100076,basket,L23_pyr,L2/3,60.2,188.4,249.4,215
214,100155,100239,L4_exc,basket,L2/3,122.6,162.1,255.2,167
215,100195,100259,L5_pyr,basket,L5,306.8,689.2,190.7,262
216,100280,100164,martinotti,L5_pyr,L5,114.4,536.5,109.9,163
217,100182,100170,L5_pyr,L5_pyr,L5,189.6,661.8,148.3,33
218,100094,100293,L4_exc,vip,L4,331.4,379.3,173.1,215
219,100105,100150,L4_exc,L4_exc,L4,102.5,449.7,127.5,244
220,100247,100010,basket,L23_pyr,L2/3,209.7,156.2,172.9,485
221,100105,100271,L4_exc,martinotti,L5,110.1,512.0,264.4,282
222,100117,100190,L4_exc,L5_pyr,L5,255.5,485.0,207.7,403
223,100017,100063,L23_pyr,L23_pyr,L2/3,253.1,128.1,281.4,113
224,100208,100279,L5_pyr,martinotti,L5,139.2,686.1,178.4,141
225,100135,100276,L4_exc,martinotti,L4,208.6,478.0,43.0,92
226,100268,100078,martinotti,L23_pyr,L2/3,194.8,219.0,269.3,210
227,100124,100202,L4_exc,L5_pyr,L5,77.2,477.6,302.3,82
228,100150,100129,L4_exc,,L4,232.5,428.9,116.5,116
229,100222,100005,basket,L23_pyr,L2/3,236.9,206.4,117.1,310
230,100281,100283,martinotti,martinotti,L5,37.9,465.1,190.6,243
231,100108,100099,L4_exc,L4_exc,L4,102.7,461.2,299.4,123
232,100276,100145,martinotti,L4_exc,L4,143.6,282.5,17.2,241
233,100070,100074,L23_pyr,L23_pyr,L2/3,225.0,216.8,288.3,128
234,100254,100082,basket,L23_pyr,L2/3,103.7,228.2,179.1,297
235,100196,100019,L5_pyr,L23_pyr,L2/3,166.9,168.5,320.2,236
236,100016,100291,L23_pyr,vip,L4,301.6,385.6,86.5,644
237,100034,100005,L23_pyr,L23_pyr,L2/3,211.9,256.3,149.9,219
238,100149,100059,L4_exc,L23_pyr,L2/3,45.4,172.5,282.0,457
239,100229,100070,basket,L23_pyr,L2/3,267.9,173.0,250.9,276
240,100206,100268,L5_pyr,martinotti,L4,176.4,333.6,164.5,180
241,100223,100023,basket,L23_pyr,L2/3,307.9,268.4,157.0,145
242,100191,100242,L5_pyr,basket,L4,222.4,357.4,272.3,559
243,100209,100270,L5_pyr,martinotti,L5,167.0,526.9,333.8,326
244,100058,100239,L23_pyr,basket,L2/3,136.8,145.3,302.8,123
245,100287,100264,vip,martinotti,L2/3,184.9,237.0,20.4,187
246,100264,100184,martinotti,L5_pyr,L5,97.9,544.9,30.9,266
247,100124,100076,L4_exc,L23_pyr,L2/3,77.0,173.8,181.8,199
248,100169,100215,L5_pyr,L5_pyr,L5,-14.5,552.0,255.9,231
249,100238,100127,basket,L4_exc,L4,160.3,352.6,-13.5,87
250,100182,100228,L5_pyr,basket,L5,150.1,682.7,68.9,92
251,100123,100035,L4_exc,L23_pyr,L2/3,277.7,131.4,274.1,164
252,100218,100181,L5_pyr,L5_pyr,L5,116.8,523.6,168.6,174
253,100086,100088,L23_pyr,L23_pyr,L2/3,88.1,208.8,188.6,319
254,100071,100086,L23_pyr,L23_pyr,L2/3,159.3,277.3,122.9,165
255,100093,100041,L4_exc,L23_pyr,L2/3,20.6,285.4,246.6,75
256,100120,100254,L4_exc,basket,L4,255.8,402.7,178.4,121
257,100068,100236,L23_pyr,basket,L4,75.1,362.0,250.9,135
258,100102,100154,L4_exc,L4_exc,L4,131.7,379.6,-26.0,215
259,100117,100221,L4_exc,basket,L4,202.5,368.6,96.6,241
260,100036,100008,L23_pyr,L23_pyr,L2/3,155.3,200.4,200.5,140
261,100104,100122,L4_exc,L4_exc,L4,285.1,412.8,46.7,363
262,100084,100157,L23_pyr,L4_exc,L4,187.2,292.0,10.8,519
263,100078,100045,L23_pyr,L23_pyr,L2/3,30.7,120.3,291.5,59
264,100128,100298,L4_exc,vip,L4,259.3,337.4,250.4,267
265,100013,100107,L23_pyr,L4_exc,L4,81.9,315.0,75.6,313
266,100160,100127,L4_exc,L4_exc,L4,178.9,347.7,81.2,136
267,100212,100148,L5_pyr,L4_exc,L4,179.2,323.8,160.2,202
268,100288,100050,vip,L23_pyr,L2/3,33.7,163.8,74.2,231
269,100070,100170,L23_pyr,L5_pyr,L5,215.9,651.2,138.8,170
270,100276,100171,martinotti,L5_pyr,L5,144.4,495.6,248.5,180
271,100269,100101,martinotti,L4_exc,L4,272.8,327.9,91.0,479
272,100119,100113,L4_exc,L4_exc,L4,85.8,415.8,172.5,111
273,100128,100293,L4_exc,vip,L4,298.0,367.5,175.8,171
274,100108,100034,L4_exc,L23_pyr,L2/3,269.0,275.1,180.1,82
275,100299,100268,vip,martinotti,L4,168.8,311.3,187.4,299
276,100194,100250,L5_pyr,basket,L4,280.4,323.4,190.7,297
277,100072,100053,L23_pyr,L23_pyr,L2/3,240.2,275.3,196.5,179
278,100109,100022,L4_exc,L23_pyr,L2/3,113.2,272.0,54.2,171
279,100271,100067,martinotti,L23_pyr,L2/3,63.7,284.6,111.3,419
280,100066,100082,L23_pyr,L23_pyr,L2/3,10.4,257.4,126.6,181
281,100149,100295,L4_exc,vip,L2/3,59.8,300.3,109.3,155
282,100030,100266,L23_pyr,martinotti,L5,288.3,424.6,86.4,55
283,100244,100080,basket,L23_pyr,L2/3,139.0,157.5,213.0,528
284,100104,100186,L4_exc,,L5,98.0,641.4,172.1,277
285,100290,100260,vip,basket,L4,193.5,369.9,324.6,456
286,100169,100125,L5_pyr,L4_exc,L4,148.7,419.0,12.0,125
287,100232,100097,basket,L4_exc,L4,106.9,288.5,70.5,128
288,100045,100206,L23_pyr,L5_pyr,L5,128.1,476.9,113.6,171
289,100170,100207,L5_pyr,L5_pyr,L5,-5.7,608.1,81.8,255
290,100150,100113,L4_exc,L4_exc,L4,69.8,360.1,106.8,325
291,100059,100076,L23_pyr,L23_pyr,L2/3,29.4,223.4,219.5,75
292,100124,100169,L4_exc,L5_pyr,L5,3.6,507.9,200.3,137
293,100216,100284,L5_pyr,martinotti,L5,205.1,561.0,165.0,304
294,100170,100299,L5_pyr,vip,L4,33.8,274.7,194.3,71
295,100284,100200,martinotti,,L5,42.7,604.0,244.1,172
296,100129,100248,L4_exc,basket,L2/3,190.5,347.7,109.9,132
297,100032,100247,L23_pyr,basket,L2/3,-5.1,109.3,-15.9,56
298,100041,100256,L23_pyr,basket,L2/3,-0.8,241.1,284.2,332
299,100082,100234,L23_pyr,basket,L4,170.4,308.6,43.5,235
300,100270,100149,martinotti,L4_exc,L4,-26.6,332.6,36.4,416
301,100033,100153,L23_pyr,L4_exc,L4,76.2,347.6,240.3,215
302,100142,100116,L4_exc,L4_exc,L4,106.1,371.5,23.5,110
303,100267,100112,martinotti,L4_exc,L4,-7.5,409.6,46.9,197
304,100205,100220,L5_pyr,L5_pyr,L5,233.3,587.6,143.3,116
305,100260,100111,basket,L4_exc,L4,42.0,327.9,89.9,121
306,100239,100245,basket,basket,L2/3,81.7,265.9,254.9,324
307,100232,100010,basket,L23_pyr,L2/3,243.4,165.0,180.8,663
308,100088,100143,L23_pyr,L4_exc,L4,33.2,371.6,311.0,78
309,100227,100169,basket,L5_pyr,L5,48.1,485.1,215.1,287
310,100039,100276,L23_pyr,martinotti,L4,229.9,465.0,55.9,178
311,100233,100281,basket,martinotti,L4,6.2,419.4,171.7,356
312,100053,100130,L23_pyr,L4_exc,L4,256.7,341.2,258.4,69
313,100083,100299,L23_pyr,vip,L4,-22.4,309.2,188.7,217
314,100053,100025,L23_pyr,L23_pyr,L2/3,95.3,195.3,133.1,99
315,100137,100202,L4_exc,L5_pyr,L5,81.8,501.7,282.5,49
316,100280,100069,martinotti,L23_pyr,L2/3,195.7,142.4,245.3,1057
317,100098,100238,L4_exc,basket,L4,118.8,427.3,284.9,184
318,100214,100219,L5_pyr,L5_pyr,L5,149.5,626.3,144.8,254
319,100086,100226,L23_pyr,basket,L4,-20.5,344.1,22.0,158
320,100075,100067,L23_pyr,L23_pyr,L2/3,106.0,231.2,124.8,71
321,100120,100269,L4_exc,martinotti,L5,-44.9,461.0,240.8,448
322,100278,100239,martinotti,basket,L2/3,78.6,166.5,288.9,182
323,100043,100126,L23_pyr,L4_exc,L4,47.0,416.3,-3.2,153
324,100044,100043,L23_pyr,L23_pyr,L2/3,213.6,151.0,135.2,50
325,100078,100239,L23_pyr,basket,L2/3,114.9,88.6,261.0,162
326,100271,100200,martinotti,L5_pyr,L5,35.6,621.1,288.7,176
327,100151,100263,L4_exc,martinotti,L4,21.8,382.5,195.3,183
328,100111,100248,L4_exc,basket,L2/3,240.1,294.0,83.1,375
329,100071,100124,L23_pyr,L4_exc,L4,51.7,300.6,124.7,106
330,100131,100232,L4_exc,basket,L2/3,253.8,223.4,76.0,169
331,100219,100210,L5_pyr,L5_pyr,L5,5.0,541.1,216.5,107
332,100063,100066,L23_pyr,L23_pyr,L2/3,46.0,288.8,80.7,313
333,100117,100033,L4_exc,L23_pyr,L2/3,3.1,264.4,240.5,77
334,100049,100155,L23_pyr,L4_exc,L4,249.8,394.4,43.5,139
335,100268,100038,martinotti,L23_pyr,L2/3,44.9,294.2,127.1,243
336,100136,100159,L4_exc,L4_exc,L4,280.9,296.7,316.3,83
337,100296,100166,vip,L5_pyr,L5,143.4,544.1,61.7,462
338,100132,100144,L4_exc,L4_exc,L4,248.7,383.2,265.1,222
339,100282,100050,martinotti,L23_pyr,L2/3,106.5,222.9,127.0,136
340,100287,100229,vip,basket,L2/3,269.9,240.2,211.8,445
341,100135,100140,L4_exc,L4_exc,L4,71.0,381.1,11.8,169
342,100023,100061,L23_pyr,L23_pyr,L2/3,336.3,247.6,166.7,139
343,100170,100294,L5_pyr,vip,L5,233.0,564.1,268.5,112
344,100249,100150,basket,L4_exc,L4,57.7,449.1,149.0,159
345,100092,100168,L4_exc,L5_pyr,L5,18.9,528.2,297.5,244
346,100209,100154,L5_pyr,L4_exc,L4,101.2,360.1,45.7,308
347,100012,100212,L23_pyr,L5_pyr,L5,224.4,539.6,177.8,293
348,100158,100191,L4_exc,L5_pyr,L5,170.4,550.9,318.1,122
349,100185,100212,L5_pyr,L5_pyr,L5,238.4,551.0,217.4,78
350,100001,100185,L23_pyr,L5_pyr,L5,299.6,703.3,247.2,147
351,100020,100132,L23_pyr,L4_exc,L4,287.9,441.9,94.7,63
352,100012,100089,L23_pyr,L23_pyr,L2/3,72.0,70.1,186.5,115
353,100099,100240,L4_exc,basket,L5,170.8,422.4,145.0,359
354,100237,100190,basket,,L5,272.2,446.6,233.7,196
355,100297,100095,vip,L4_exc,L4,175.5,388.5,208.0,888
356,100173,100217,L5_pyr,L5_pyr,L5,88.8,554.4,173.3,187
357,100099,100293,L4_exc,vip,L4,291.7,394.7,163.5,138
358,100180,100125,L5_pyr,L4_exc,L4,189.6,413.2,-2.9,286
359,100234,100094,basket,L4_exc,L4,79.5,341.8,321.0,260
360,100271,100155,martinotti,L4_exc,L4,232.0,340.1,3.1,667
361,100189,100126,L5_pyr,L4_exc,L4,89.8,422.3,-45.8,376
362,100258,100100,basket,L4_exc,L4,306.6,322.1,240.7,241
363,100274,100276,martinotti,martinotti,L4,194.3,435.0,63.9,190
364,100119,100297,L4_exc,vip,L5,258.2,525.5,-7.1,108
365,100110,100230,L4_exc,basket,L5,140.2,643.0,301.1,255
366,100104,100021,L4_exc,L23_pyr,L2/3,111.9,196.2,82.5,213
367,100072,100231,L23_pyr,basket,L2/3,102.5,275.5,84.8,267
368,100173,100279,L5_pyr,martinotti,L5,134.2,678.5,154.7,126
369,100026,100212,L23_pyr,L5_pyr,L5,197.6,583.0,222.3,151
370,100094,100272,L4_exc,martinotti,L2/3,61.3,257.1,170.5,238
371,100137,100114,L4_exc,L4_exc,L4,65.9,353.6,316.6,141
372,100267,100036,martinotti,L23_pyr,L2/3,175.3,188.5,-35.8,520
