error_id,detector_flag,segment_id,other_segment_id,putative_class,in_analysis_roi,synapses_on_segment,detector_score,x_um,y_um,z_um,detector_note
E22,split,8892,,L2/3 pyramidal,yes,20,0.75,88.9,23.6,78.0,distal dendrite branch detached at z=883
E23,split,9398,,unknown fragment,yes,3,0.81,67.1,5.3,46.7,"orphan axon fragment, 20-40 um, no soma in volume, z=318"
E24,merge,7064,9734,L2/3 pyramidal,yes,439,0.65,43.2,26.8,44.3,soma count 2; caliber drops 0.9 to 0.2 um at z=584
E25,merge,8513,8430,glia,yes,0,0.97,85.6,88.1,54.8,glial object wraps a blood vessel and absorbs two axon fragments at z=944
E26,merge,8996,8326,L2/3 pyramidal,yes,204,0.64,72.3,33.4,63.2,smooth branch joins spiny pyramidal arbor at z=472
E27,split,7383,,glia,yes,0,0.91,23.9,58.6,52.3,astrocytic process fragmented into 12+ pieces around z=578
E28,split,7607,,L2/3 pyramidal,yes,34,0.5,5.7,35.3,39.9,distal dendrite branch detached at z=722
E29,split,8089,,glia,yes,0,0.91,33.6,66.4,77.1,astrocytic process fragmented into 12+ pieces around z=242
E30,split,9822,,unknown fragment,yes,3,0.8,85.0,33.1,23.6,"orphan axon fragment, 20-40 um, no soma in volume, z=210"
E31,merge,9772,9431,L2/3 pyramidal,yes,309,0.61,28.0,98.1,34.6,aspiny process attached to basal dendrite at z=549
E32,merge,9723,9582,L2/3 pyramidal,yes,396,0.82,56.0,92.2,2.4,smooth branch joins spiny pyramidal arbor at z=393
E33,split,9525,,glia,yes,0,0.91,17.9,43.9,13.9,astrocytic process fragmented into 12+ pieces around z=792
E34,split,7618,,glia,yes,0,0.93,6.1,78.5,5.0,glial sheet broken into many small objects near z=934
E35,split,7105,,L2/3 pyramidal,yes,118,0.64,61.7,77.3,33.0,main axon dead-ends in a low-contrast stretch at z=504; continuation candidate 3 sections on
E36,merge,9544,7756,L2/3 pyramidal,yes,414,0.66,26.3,22.3,94.2,two somata in one object; thin bridge near z=748
E37,split,7487,,L2/3 pyramidal,yes,77,0.7,83.2,15.0,35.4,main axon dead-ends in a low-contrast stretch at z=593; continuation candidate 3 sections on
E38,merge,9659,7066,L2/3 pyramidal,yes,411,0.74,3.8,58.0,95.9,soma count 2; caliber drops 0.9 to 0.2 um at z=444
E39,split,8614,,L2/3 pyramidal,yes,85,0.73,83.8,45.4,51.1,main axon dead-ends in a low-contrast stretch at z=825; continuation candidate 3 sections on
E40,uncertain,7422,8058,L2/3 pyramidal,yes,187,0.43,74.5,26.0,76.8,caliber change without a visible membrane at z=292; could be a merge
E41,merge,9743,9044,glia,yes,2,0.86,27.6,10.8,76.4,very large irregular mesh; astrocytic sheet fused to several axons near z=399
E42,merge,7268,7133,interneuron,yes,350,0.87,31.8,91.4,10.2,interneuron axon fused with a neighboring interneuron dendrite at z=827
E43,merge,7200,7272,L2/3 pyramidal,yes,377,0.79,73.6,9.8,46.8,two somata in one object; thin bridge near z=968
E44,split,8357,,L2/3 pyramidal,no,114,0.85,67.4,24.6,32.6,"dendrite dead-ends at the volume edge, z=282"
E45,split,8035,,L2/3 pyramidal,yes,127,0.82,38.3,65.4,47.1,axon of an analysis-set cell ends abruptly at missing section z=210
