node_id,cell_type,layer,soma_x_um,soma_y_um,soma_z_um,soma_count
20149,basket,L5,130.1,610.6,369.6,1
20150,L4_exc,L4,65.6,351.9,169.8,1
20151,L23_pyr,L2/3,393.6,268.8,224.8,1
20152,martinotti,L4,201.4,376.8,253.2,1
20153,L4_exc,L4,317.0,438.6,258.6,1
20154,L23_pyr,L2/3,374.7,256.7,208.5,1
20155,L23_pyr,L2/3,168.7,205.4,128.5,1
20156,L23_pyr,L2/3,182.4,139.2,47.2,1
20157,L6_pyr,L6,294.1,769.0,304.3,1
20158,L5_pyr,L5,368.5,709.9,361.3,1
20159,L6_pyr,L6,224.2,921.0,249.9,1
20160,L5_pyr,L5,291.3,504.3,229.7,1
20161,L23_pyr,L2/3,238.5,348.1,349.2,1
20162,L5_pyr,L5,47.1,690.2,368.9,1
20163,basket,L6,124.9,854.2,253.2,1
20164,L6_pyr,L6,121.3,913.5,257.1,1
20165,L6_pyr,L6,311.4,867.5,342.9,1
20166,L5_pyr,L5,35.6,680.0,75.5,1
20167,martinotti,L5,189.5,745.2,164.5,1
20168,vip,L4,321.2,405.7,216.4,1
20169,neurogliaform,L1,6.4,36.1,30.5,1
20170,L23_pyr,L2/3,274.2,117.8,256.0,1
20171,L4_exc,L4,364.8,360.9,126.0,1
20172,basket,L5,142.0,613.0,270.4,1
20173,L23_pyr,L2/3,325.5,222.7,89.9,1
20174,L23_pyr,L2/3,195.0,344.6,21.9,1
20175,L23_pyr,L2/3,257.3,152.8,149.1,1
20176,L4_exc,L4,21.4,490.1,384.9,1
20177,L4_exc,L4,42.2,418.0,134.8,1
20178,L23_pyr,L2/3,265.6,210.5,126.2,1
20179,basket,L2/3,338.2,324.0,78.1,1
20180,L23_pyr,L2/3,215.0,167.6,173.3,1
20181,vip,L6,268.6,829.8,375.8,1
20182,L23_pyr,L2/3,204.7,269.4,214.2,1
20183,L4_exc,L4,71.4,460.9,398.0,1
20184,neurogliaform,L1,359.1,42.1,140.7,1
20185,L4_exc,L4,49.4,475.1,13.8,1
20186,basket,L2/3,137.5,217.8,158.9,1
20187,neurogliaform,L1,8.9,11.8,254.5,1
20188,L6_pyr,L6,20.5,934.9,8.5,1
20189,L4_exc,L4,360.3,404.0,59.1,1
20190,martinotti,L5,296.2,641.9,346.1,1
20191,L4_exc,L4,343.0,453.0,292.0,1
20192,basket,L6,1.3,882.7,204.2,1
20193,L5_pyr,L5,288.4,695.6,395.0,1
20194,L4_exc,L4,393.7,374.2,344.7,1
20195,L23_pyr,L2/3,76.8,200.0,167.2,1
20196,L6_pyr,L6,184.2,793.6,299.7,1
20197,L5_pyr,L5,66.1,651.3,242.6,1
20198,L6_pyr,L6,38.4,874.7,345.9,1
20199,L6_pyr,L6,290.8,887.1,383.4,1
20200,L6_pyr,L6,378.9,862.7,20.9,1
20201,L6_pyr,L6,386.6,865.8,44.6,1
20202,L23_pyr,L2/3,141.2,124.0,279.3,1
20203,L5_pyr,L5,313.1,562.7,280.4,1
20204,L6_pyr,L6,207.4,771.1,243.3,1
20205,L4_exc,L4,132.5,368.9,62.7,1
20206,chandelier,L2/3,321.0,287.1,83.3,1
20207,L6_pyr,L6,76.7,914.8,177.8,1
20208,L6_pyr,L6,390.8,861.6,113.2,1
20209,neurogliaform,L1,50.8,17.5,206.5,1
20210,L4_exc,L4,193.1,490.1,259.4,1
20211,L5_pyr,L5,187.6,529.2,393.7,1
20212,basket,L6,364.4,780.6,67.9,1
20213,neurogliaform,L1,269.3,99.6,152.9,1
20214,L5_pyr,L5,41.4,643.9,346.8,1
20215,basket,L4,200.4,388.8,337.4,1
20216,L5_pyr,L5,267.5,616.3,134.0,1
20217,L5_pyr,L5,109.2,654.4,347.7,1
20218,martinotti,L6,126.7,916.0,162.2,1
20219,L5_pyr,L5,167.9,745.1,36.0,1
20220,L6_pyr,L6,139.0,874.9,86.3,1
20221,L4_exc,L4,250.9,417.7,323.3,1
20222,L4_exc,L4,341.5,456.7,354.4,1
20223,L5_pyr,L5,141.8,705.1,334.1,1
20224,L4_exc,L4,311.6,396.4,323.2,1
20225,basket,L5,2.0,731.0,153.2,1
20226,L6_pyr,L6,238.1,837.3,282.8,1
20227,L6_pyr,L6,85.0,819.0,328.5,1
20228,L6_pyr,L6,77.8,845.3,316.0,1
20229,L5_pyr,L5,349.0,523.0,245.4,1
20230,L5_pyr,L5,195.6,567.1,261.4,1
20231,L4_exc,L4,21.7,434.9,228.4,1
20232,L4_exc,L4,380.9,491.2,37.0,1
20233,L4_exc,L4,229.1,458.4,213.6,1
20234,L23_pyr,L2/3,225.3,155.5,383.3,1
20235,L23_pyr,L2/3,305.0,230.4,164.4,1
20236,L4_exc,L4,38.6,373.4,254.5,1
20237,L5_pyr,L5,258.9,540.5,269.4,1
20238,basket,L2/3,249.3,158.2,274.9,1
20239,L6_pyr,L6,114.5,908.9,129.3,1
20240,L23_pyr,L2/3,235.2,305.6,232.4,1
20241,vip,L2/3,132.4,240.3,303.4,1
20242,neurogliaform,L1,220.5,74.5,21.5,1
20243,L23_pyr,L2/3,353.2,343.6,54.5,1
20244,L23_pyr,L2/3,48.9,204.2,103.1,1
20245,L6_pyr,L6,45.8,890.6,172.6,1
20246,L23_pyr,L2/3,263.4,306.8,211.5,1
20247,L23_pyr,L2/3,330.9,168.0,291.0,1
20248,L23_pyr,L2/3,7.8,128.8,194.7,1
20249,L4_exc,L4,94.8,429.8,43.5,1
20250,basket,L6,308.6,921.5,197.7,1
20251,L6_pyr,L6,322.7,901.0,219.2,1
20252,L23_pyr,L2/3,259.8,320.9,267.4,1
20253,L4_exc,L4,41.7,453.8,86.6,1
20254,L6_pyr,L6,236.6,865.4,384.0,1
20255,basket,L2/3,85.2,117.8,15.7,1
20256,neurogliaform,L1,262.1,84.7,230.3,1
20257,L4_exc,L4,226.1,459.4,120.1,1
20258,L4_exc,L4,342.2,491.3,2.1,1
20259,L4_exc,L4,156.7,413.6,55.3,1
20260,L23_pyr,L2/3,319.6,193.5,86.3,1
20261,L6_pyr,L6,30.6,928.0,111.3,1
20262,L6_pyr,L6,55.8,870.7,272.4,1
20263,L4_exc,L4,141.5,467.0,240.9,1
20264,L23_pyr,L2/3,156.6,348.3,286.7,1
20265,basket,L2/3,70.6,189.8,131.9,1
20266,L5_pyr,L5,14.5,660.5,71.1,1
20267,L4_exc,L4,55.2,354.7,107.9,1
20268,L4_exc,L4,332.8,362.0,314.3,1
20269,vip,L4,282.6,380.5,75.7,1
20270,L4_exc,L4,2.0,419.6,386.4,1
20271,martinotti,L2/3,292.8,310.4,44.1,1
20272,L5_pyr,L5,202.0,657.1,359.9,1
20273,martinotti,L4,237.9,416.2,318.6,1
20274,L23_pyr,L2/3,152.7,243.0,377.1,1
20275,L23_pyr,L2/3,292.8,215.8,11.2,1
20276,basket,L2/3,339.0,257.4,119.7,1
20277,L23_pyr,L2/3,58.6,169.4,361.4,1
20278,L23_pyr,L2/3,122.7,104.9,238.5,1
20279,L6_pyr,L6,223.9,921.0,0.2,1
20280,L6_pyr,L6,390.9,805.8,299.1,1
20281,L5_pyr,L5,253.7,562.9,248.8,1
20282,L23_pyr,L2/3,342.7,123.0,153.5,1
20283,L5_pyr,L5,364.9,532.9,173.0,1
20284,vip,L6,31.8,823.5,393.9,1
20285,vip,L4,295.3,351.2,11.5,1
20286,vip,L2/3,307.1,101.9,387.1,1
20287,L23_pyr,L2/3,367.8,209.8,150.1,1
20289,L4_exc,L4,199.3,481.7,357.3,1
20290,L23_pyr,L2/3,113.5,317.7,193.9,1
20291,L6_pyr,L6,292.3,932.0,283.1,1
20292,L23_pyr,L2/3,307.5,134.3,234.7,1
20293,L6_pyr,L6,118.1,847.5,49.7,1
20294,neurogliaform,L1,17.1,69.0,270.8,1
20295,L23_pyr,L2/3,398.9,342.1,167.3,1
20296,martinotti,L6,59.5,933.0,326.3,1
20297,L4_exc,L4,159.1,382.3,97.0,1
20298,L5_pyr,L5,378.8,736.6,305.2,1
20299,L23_pyr,L2/3,110.5,279.1,326.1,1
20300,vip,L2/3,197.8,244.8,78.1,1
20301,L6_pyr,L6,157.5,921.9,255.1,1
20302,L5_pyr,L5,369.0,679.5,183.0,1
20303,L23_pyr,L2/3,332.0,302.3,357.7,1
20304,L6_pyr,L6,221.5,783.3,99.0,1
20305,L5_pyr,L5,323.9,608.8,74.4,1
20306,chandelier,L2/3,399.0,212.7,172.5,1
20307,L5_pyr,L5,38.1,663.0,98.8,1
20308,L5_pyr,L5,52.0,632.9,31.4,1
20309,L6_pyr,L6,155.8,903.6,253.7,1
20310,basket,L6,122.7,920.4,360.2,1
20311,L5_pyr,L5,51.3,719.0,57.5,1
20312,L23_pyr,L2/3,110.7,214.0,295.1,1
20313,L6_pyr,L6,73.3,800.5,302.3,1
20314,vip,L5,71.2,656.4,100.2,1
20315,L23_pyr,L2/3,15.4,207.4,80.0,1
20316,L6_pyr,L6,327.8,928.8,59.6,1
20317,L23_pyr,L2/3,232.6,106.0,245.4,1
20318,L5_pyr,L5,106.1,700.2,115.1,1
20319,L4_exc,L4,72.0,476.0,265.1,1
20320,L4_exc,L4,226.4,452.1,320.9,1
20321,basket,L5,119.5,569.1,15.6,1
20322,L23_pyr,L2/3,197.7,328.4,203.7,1
20323,L5_pyr,L5,361.6,696.4,172.1,1
20324,basket,L6,321.8,803.2,301.4,1
20325,L23_pyr,L2/3,385.7,260.0,179.7,1
20326,L23_pyr,L2/3,142.6,220.9,340.8,1
20327,martinotti,L6,263.0,778.9,382.5,1
20328,martinotti,L5,43.4,573.5,325.4,1
20329,basket,L6,27.8,841.7,391.6,1
20330,L5_pyr,L5,133.4,549.2,386.7,1
20331,L5_pyr,L5,330.3,539.7,297.1,1
20332,basket,L6,135.1,871.1,218.5,1
20333,basket,L2/3,184.5,256.1,140.5,1
20334,L5_pyr,L5,339.3,639.2,217.9,1
20335,L23_pyr,L2/3,64.6,232.7,128.1,1
20336,vip,L5,198.4,673.5,251.6,1
20337,L23_pyr,L2/3,109.3,137.9,30.6,1
20338,L4_exc,L4,162.2,468.3,121.0,1
20339,martinotti,L5,369.9,616.9,278.7,1
20340,basket,L5,185.3,515.0,87.7,1
20341,L5_pyr,L5,98.1,652.1,286.3,1
20342,basket,L5,67.7,730.3,64.4,1
20343,vip,L6,163.8,918.8,309.2,1
20344,neurogliaform,L1,314.0,87.4,384.6,1
20345,L23_pyr,L2/3,117.1,347.9,31.8,1
20346,L4_exc,L4,341.3,431.5,339.2,1
20347,L4_exc,L4,315.1,375.9,318.9,1
20348,L6_pyr,L6,96.5,767.2,219.3,1
20349,L6_pyr,L6,174.7,755.6,353.4,1
20350,neurogliaform,L1,59.1,11.8,180.8,1
20351,L23_pyr,L2/3,117.5,154.1,3.2,1
20352,L5_pyr,L5,98.5,678.9,42.2,1
20353,L6_pyr,L6,275.9,797.7,322.1,1
20354,L23_pyr,L2/3,379.7,175.8,367.7,1
20355,martinotti,L4,164.5,467.4,104.5,1
20356,L6_pyr,L6,51.0,818.6,178.4,1
20357,L5_pyr,L5,204.1,705.7,91.6,1
20358,L4_exc,L4,31.1,470.8,209.5,1
20359,L4_exc,L4,105.4,391.9,2.7,1
20360,L23_pyr,L2/3,151.9,227.6,25.4,1
20361,L23_pyr,L2/3,265.1,277.7,131.2,1
20362,martinotti,L5,122.1,639.9,298.6,1
20363,basket,L2/3,67.6,333.6,90.0,1
20364,L4_exc,L4,219.3,442.5,114.3,1
20365,L5_pyr,L5,69.8,513.6,315.2,1
20366,martinotti,L2/3,236.0,306.3,388.8,1
20367,L4_exc,L4,247.3,499.7,368.8,1
20368,basket,L5,89.0,647.2,171.4,1
20369,L5_pyr,L5,152.3,501.4,13.5,1
20370,L23_pyr,L2/3,6.2,101.0,374.4,1
20371,basket,L2/3,303.2,158.9,257.6,1
20372,L5_pyr,L5,385.2,742.4,62.7,1
20373,L23_pyr,L2/3,85.3,214.6,30.9,1
20374,basket,L4,26.7,437.4,76.8,1
20375,L23_pyr,L2/3,314.4,318.3,28.2,1
20376,chandelier,L2/3,133.2,233.4,280.1,1
20377,L5_pyr,L5,337.8,646.7,8.9,1
20378,basket,L4,81.0,423.6,14.9,1
20379,L23_pyr,L2/3,225.1,322.7,32.4,1
20380,martinotti,L4,355.0,424.6,98.9,1
20381,basket,L5,242.2,557.2,128.4,1
20382,chandelier,L2/3,303.2,269.2,132.5,1
20383,L23_pyr,L2/3,138.9,342.9,175.8,1
20384,vip,L6,178.2,822.2,367.8,1
20385,L23_pyr,L2/3,56.6,182.6,315.0,1
20386,L6_pyr,L6,284.0,848.2,310.9,1
20387,L4_exc,L4,200.1,443.9,2.6,1
20388,L23_pyr,L2/3,358.9,158.1,281.8,1
20389,L5_pyr,L5,266.6,511.3,94.6,1
20390,L5_pyr,L5,35.6,743.8,4.2,1
20391,L23_pyr,L2/3,297.9,182.4,185.0,1
20392,martinotti,L6,263.7,750.3,188.5,1
20393,L5_pyr,L5,150.9,719.1,272.0,1
20394,L4_exc,L4,313.3,375.9,71.3,1
20395,L4_exc,L4,51.0,464.2,202.3,1
20396,basket,L6,372.0,861.1,24.6,1
20397,L23_pyr,L2/3,189.1,297.4,205.6,1
20398,L23_pyr,L2/3,316.0,115.7,311.4,1
20399,L4_exc,L4,71.6,460.7,302.3,1
20400,vip,L2/3,120.7,221.3,190.1,1
20401,L6_pyr,L6,133.6,901.2,241.2,1
20402,martinotti,L2/3,309.8,114.7,358.4,1
20403,L4_exc,L4,338.6,490.5,130.1,1
20404,martinotti,L2/3,367.7,207.3,272.9,1
20405,vip,L2/3,67.9,204.9,338.6,1
20406,L5_pyr,L5,320.7,539.5,155.4,1
20407,basket,L2/3,349.9,177.6,59.3,1
20408,L23_pyr,L2/3,321.4,111.9,363.4,1
20409,L5_pyr,L5,104.2,648.7,280.7,1
20410,L4_exc,L4,337.6,352.9,261.2,1
20411,L5_pyr,L5,188.7,500.0,173.1,1
20412,L4_exc,L4,276.6,453.4,5.1,1
20413,L23_pyr,L2/3,50.3,202.7,116.7,1
20414,vip,L4,45.3,482.3,50.4,1
20415,L4_exc,L4,67.7,425.9,15.2,1
20416,L6_pyr,L6,58.4,862.3,269.6,1
20417,L4_exc,L4,160.8,403.5,274.4,1
20418,L23_pyr,L2/3,196.5,271.8,11.9,1
20419,neurogliaform,L1,118.3,75.7,258.2,1
20420,L5_pyr,L5,233.1,681.3,241.9,1
20421,L6_pyr,L6,393.2,835.9,75.9,1
20422,L6_pyr,L6,318.1,921.7,254.0,1
20423,L23_pyr,L2/3,132.9,168.3,299.5,1
20424,L23_pyr,L2/3,222.7,255.3,325.8,1
20425,L4_exc,L4,8.8,404.8,291.1,1
20426,L6_pyr,L6,56.6,841.8,99.7,1
20427,L23_pyr,L2/3,106.6,191.3,387.9,1
20428,basket,L6,234.1,934.6,346.8,1
20429,neurogliaform,L1,213.8,10.1,87.4,1
20430,L4_exc,L4,202.8,454.8,116.2,1
20431,L6_pyr,L6,312.1,865.1,94.0,1
20432,basket,L4,205.9,414.0,156.6,2
20433,vip,L4,182.2,436.2,197.2,1
20434,L23_pyr,L2/3,157.7,143.9,29.1,1
20435,L4_exc,L4,147.0,488.2,176.5,1
20436,L5_pyr,L5,380.0,591.3,216.0,1
20437,L23_pyr,L2/3,148.7,312.6,270.6,1
20438,martinotti,L6,341.3,924.3,113.7,1
20439,vip,L4,17.7,378.2,92.2,1
20440,L4_exc,L4,292.9,392.1,350.7,1
20441,basket,L5,381.4,714.6,16.8,1
20442,L23_pyr,L2/3,163.6,317.7,209.2,1
20443,martinotti,L4,39.2,397.8,179.3,1
20444,L4_exc,L4,177.3,363.8,286.7,1
20445,L5_pyr,L5,127.7,563.7,225.5,1
20446,L6_pyr,L6,345.8,886.4,104.5,1
20447,L4_exc,L4,120.9,486.1,36.4,1
20448,L6_pyr,L6,155.4,853.3,275.2,1
20449,L23_pyr,L2/3,105.6,343.9,31.6,1
20450,L23_pyr,L2/3,261.3,140.5,104.1,1
20451,L23_pyr,L2/3,226.9,252.3,293.5,1
20452,chandelier,L2/3,110.3,313.6,300.2,1
20453,L23_pyr,L2/3,152.0,282.7,253.1,1
20454,basket,L4,348.4,398.2,8.9,1
20455,L23_pyr,L2/3,228.3,293.1,207.0,1
20456,L23_pyr,L2/3,9.2,180.2,341.5,1
20457,L4_exc,L4,47.4,382.9,246.8,1
20458,L5_pyr,L5,114.4,606.9,22.9,1
20459,martinotti,L2/3,173.0,276.1,303.5,1
20460,L23_pyr,L2/3,85.5,304.0,107.3,1
20461,L6_pyr,L6,205.8,847.5,10.4,1
20462,L6_pyr,L6,67.4,844.8,320.0,1
20463,L4_exc,L4,266.5,421.2,163.3,1
20464,martinotti,L5,398.6,605.5,285.8,1
20465,L6_pyr,L6,44.3,811.4,119.4,1
20466,L6_pyr,L6,68.6,781.4,368.4,1
20467,vip,L2/3,10.4,241.4,297.1,1
20468,L6_pyr,L6,25.4,882.2,377.3,1
20469,L6_pyr,L6,75.7,865.2,300.2,1
20470,L6_pyr,L6,146.2,948.8,115.5,1
20471,L6_pyr,L6,48.5,949.6,226.9,1
20472,L5_pyr,L5,343.0,648.9,260.7,1
20473,L5_pyr,L5,394.2,670.0,170.6,1
20474,basket,L6,302.2,908.7,220.3,1
20475,L23_pyr,L2/3,185.0,187.9,216.9,1
20476,L4_exc,L4,167.2,475.7,106.4,1
20477,L5_pyr,L5,304.6,602.3,122.0,1
20478,L5_pyr,L5,229.4,556.6,365.8,1
20479,L23_pyr,L2/3,321.3,248.1,379.2,1
20480,neurogliaform,L1,382.8,44.2,311.4,1
20481,L5_pyr,L5,178.7,581.6,63.2,1
20482,L5_pyr,L5,142.1,691.6,154.2,1
20483,L5_pyr,L5,251.8,700.0,72.5,1
20484,L23_pyr,L2/3,307.9,343.5,138.5,1
20485,L23_pyr,L2/3,181.8,256.9,273.5,1
20486,L4_exc,L4,243.8,367.3,346.3,1
20487,L23_pyr,L2/3,66.3,116.6,312.8,1
20488,L5_pyr,L5,390.0,527.4,115.8,1
20489,L4_exc,L4,238.3,381.9,367.6,1
20490,chandelier,L2/3,152.6,190.7,348.8,1
20491,L23_pyr,L2/3,240.4,128.3,18.6,1
20492,L4_exc,L4,340.7,431.1,95.9,1
20493,L5_pyr,L5,338.8,609.9,341.9,1
20494,L5_pyr,L5,12.3,585.1,295.0,1
20495,L4_exc,L4,350.6,497.2,235.4,1
20496,L5_pyr,L5,8.2,581.6,272.3,1
20497,basket,L5,69.1,677.2,178.7,1
20498,L23_pyr,L2/3,230.7,151.8,118.5,1
20499,basket,L6,340.2,949.6,245.1,1
20500,L23_pyr,L2/3,342.4,270.8,288.0,1
20501,L6_pyr,L6,83.6,947.0,0.8,1
