pre_type,L23_01,L23_02,L23_03,L23_04,L23_05,L23_06,L23_07,L23_08,L23_09,L23_10,L4_01,L4_02,L4_03,L4_04,L4_05,L4_06,L4_07,L4_08,L4_09,L4_10,L5_01,L5_02,L5_03,L5_04,L5_05,L5_06,L5_07,L5_08,L5_09,L5_10,L6_01,L6_02,L6_03,L6_04,L6_05,L6_06,L6_07,L6_08,L6_09,L6_10,INH_01,INH_02,INH_03,INH_04,INH_05,INH_06,INH_07,INH_08,INH_09,INH_10
L6_01,4,50,3,63,22,77,4,8,23,10,12,61,20,24,16,20,19,30,15,10,45,46,40,13,5,45,52,4,14,16,19,72,146,102,38,54,76,17,10,154,27,107,46,24,32,66,15,48,58,68
L6_02,11,20,47,52,24,11,2,14,49,36,16,33,6,10,41,14,11,57,14,4,8,21,13,12,116,35,24,9,67,20,83,113,253,94,404,134,88,118,66,55,87,55,59,62,20,52,54,49,55,132
L6_03,30,30,47,24,16,31,26,3,39,7,24,34,14,0,23,14,18,7,46,42,13,32,45,9,29,28,16,50,20,8,66,59,120,59,191,64,172,330,474,234,202,53,51,48,56,91,37,25,102,297
L6_04,20,19,24,19,36,26,30,26,25,14,119,28,14,43,50,10,15,36,36,8,51,15,4,12,33,21,15,63,12,49,74,108,806,31,32,38,60,166,52,25,31,110,104,14,62,27,18,77,32,85
L6_05,18,64,16,16,39,16,29,10,10,13,29,14,11,18,39,15,0,8,6,17,23,37,30,16,24,16,76,11,50,27,316,72,74,127,496,129,35,27,117,85,29,18,60,41,180,66,320,14,147,64
L6_06,28,13,56,2,29,25,46,16,15,25,11,10,24,36,9,24,21,12,24,43,17,5,10,19,31,13,6,32,6,14,95,147,237,54,45,108,106,251,233,208,561,161,72,91,146,73,48,128,39,79
L6_07,10,14,6,34,40,5,53,12,23,15,12,31,34,36,16,17,12,23,0,4,10,22,0,2,9,33,82,19,19,9,50,145,112,100,113,275,90,258,238,395,54,92,51,45,162,92,57,93,66,75
L6_08,36,32,29,23,15,25,20,71,13,161,18,17,50,4,69,35,143,6,20,17,29,18,16,19,17,7,30,44,3,23,112,179,57,82,68,218,46,58,151,77,49,54,72,112,99,161,43,103,94,220
L6_09,25,51,8,34,8,61,8,33,2,12,24,24,12,38,43,24,77,24,2,10,0,6,12,73,6,7,31,20,23,8,157,100,360,66,50,243,126,17,89,71,23,132,50,59,76,128,27,101,118,41
L6_10,15,23,11,23,20,9,41,6,10,12,9,67,31,35,5,19,36,14,25,9,21,49,4,14,45,19,12,3,27,40,158,143,80,138,80,213,77,158,73,209,60,45,82,70,68,31,26,85,56,95
INH_01,23,72,86,103,95,43,156,59,9,68,31,39,35,21,56,68,79,59,65,107,50,107,84,32,50,81,110,267,53,48,316,8,104,14,181,17,50,49,78,95,24,804,65,216,223,353,226,56,249,175
INH_02,20,29,61,47,114,22,27,98,46,50,57,58,77,32,43,61,48,58,76,42,34,35,202,119,29,56,132,18,0,99,28,75,9,43,153,6,40,54,45,40,52,96,218,59,21,344,199,98,255,117
INH_03,102,57,24,37,60,34,96,61,36,156,101,39,22,79,26,94,72,75,181,42,51,89,121,41,86,25,18,55,52,19,105,95,103,90,84,153,23,143,17,49,24,137,73,57,157,24,141,102,456,169
INH_04,87,161,111,69,36,35,33,109,74,43,148,74,17,43,225,96,41,12,66,105,31,61,61,23,19,47,50,51,103,68,65,57,82,58,57,5,27,52,94,197,130,106,117,242,33,219,182,117,247,124
INH_05,9,53,232,24,55,159,6,46,36,115,62,21,183,139,72,151,42,243,17,111,48,79,106,34,185,102,98,90,126,182,31,88,200,9,55,59,99,92,97,28,132,84,82,129,184,281,52,131,55,132
INH_06,82,44,61,70,59,135,71,58,33,32,129,26,135,76,98,34,79,140,102,72,4,23,49,25,83,61,297,82,91,18,37,56,78,15,24,52,102,45,378,29,31,178,63,32,159,413,195,62,54,147
INH_07,158,65,54,53,27,29,323,33,51,33,31,69,37,169,80,8,150,195,111,28,68,40,21,57,98,44,295,93,38,27,44,146,66,20,44,12,51,122,47,75,93,111,53,61,197,62,74,90,87,90
INH_08,27,29,99,94,41,339,19,169,76,35,67,38,108,56,80,61,57,55,230,52,276,74,63,120,47,98,63,107,14,47,52,55,55,65,51,20,25,73,31,163,127,58,56,47,80,108,229,53,125,64
INH_09,34,84,91,14,20,28,265,93,47,35,61,56,99,18,34,47,32,152,256,55,115,17,38,78,66,76,26,31,23,66,91,68,250,42,129,30,124,87,26,79,15,164,75,284,99,233,99,166,69,60
INH_10,121,72,51,14,18,58,26,118,53,28,188,23,198,19,38,110,15,39,27,68,37,62,99,15,100,63,8,88,49,61,24,26,110,62,51,44,148,35,14,116,103,125,19,134,223,57,19,22,104,264
