pre_type,L23_01,L23_02,L23_03,L23_04,L23_05,L23_06,L23_07,L23_08,L23_09,L23_10,L4_01,L4_02,L4_03,L4_04,L4_05,L4_06,L4_07,L4_08,L4_09,L4_10,L5_01,L5_02,L5_03,L5_04,L5_05,L5_06,L5_07,L5_08,L5_09,L5_10,L6_01,L6_02,L6_03,L6_04,L6_05,L6_06,L6_07,L6_08,L6_09,L6_10,INH_01,INH_02,INH_03,INH_04,INH_05,INH_06,INH_07,INH_08,INH_09,INH_10
L5_06,5,13,2,47,8,2,4,3,10,6,6,21,10,3,14,6,39,4,5,10,35,51,44,22,149,60,68,30,66,19,1,3,3,12,28,4,8,2,11,7,22,20,25,19,15,29,25,16,50,14
L5_07,13,8,6,11,15,4,5,6,2,13,11,9,6,10,7,5,17,30,8,2,169,28,7,37,85,14,91,16,37,16,7,8,0,16,3,30,10,14,13,14,19,18,47,2,5,14,31,57,61,55
L5_08,10,5,5,21,12,14,6,6,1,9,6,13,16,7,16,14,13,6,1,5,285,108,76,74,46,32,109,12,33,22,1,2,5,9,2,5,44,11,6,18,33,9,33,48,44,55,29,6,14,10
L5_09,1,3,14,0,4,3,6,9,2,9,6,12,5,17,4,26,3,1,12,14,47,27,78,16,433,33,76,59,14,54,3,22,13,19,3,8,4,2,1,7,141,16,14,42,48,18,83,9,46,32
L5_10,2,9,0,4,13,18,3,8,5,2,8,3,1,25,22,4,11,14,6,6,128,96,25,8,141,38,19,30,21,16,3,11,8,1,7,3,16,2,16,8,20,11,53,28,21,19,20,45,17,10
L6_01,1,17,3,26,11,29,2,3,8,4,6,24,9,10,6,7,6,10,7,4,17,15,18,5,2,17,19,3,6,4,7,27,49,41,16,21,29,8,5,54,10,35,17,10,12,24,8,20,20,26
L6_02,4,7,19,18,11,5,1,5,18,13,3,13,3,3,14,6,4,20,5,2,3,9,5,4,40,13,10,5,29,8,35,44,104,39,153,58,34,49,26,21,36,20,23,28,8,24,22,13,19,51
L6_03,10,13,20,10,7,15,10,2,14,3,9,13,4,0,8,5,6,4,17,17,5,13,17,3,14,11,6,18,8,3,24,21,41,24,78,28,62,126,192,88,78,22,20,20,20,36,14,6,39,109
L6_04,5,7,11,8,16,12,10,9,10,4,53,14,6,19,21,4,3,15,14,4,21,5,2,5,14,12,6,24,6,19,28,43,335,12,12,13,26,63,20,10,13,40,38,6,25,8,8,30,10,32
L6_05,9,20,8,7,13,6,12,3,4,6,11,5,4,10,13,5,0,3,3,6,9,14,10,7,10,7,33,4,16,10,131,27,34,48,201,48,12,10,44,35,10,8,21,15,66,24,115,5,52,27
L6_06,12,5,23,2,12,11,16,6,5,7,4,4,8,13,4,8,7,6,11,18,6,2,5,8,14,5,1,11,3,5,40,58,88,22,17,36,46,87,87,84,215,57,28,35,62,25,19,50,18,35
L6_07,4,7,3,12,13,3,20,4,9,7,4,11,15,13,7,6,6,8,0,2,4,8,0,1,3,13,26,9,8,5,20,54,43,44,44,108,36,98,87,153,24,41,19,19,69,34,20,36,25,30
L6_08,16,9,11,9,6,10,7,30,7,62,5,8,16,2,26,12,54,2,8,8,10,6,7,7,8,4,11,18,1,10,49,67,22,30,27,79,17,21,58,27,21,21,27,42,35,63,16,40,32,81
L6_09,9,19,2,10,3,25,2,18,1,8,9,10,4,15,17,9,30,8,2,4,0,3,4,32,3,3,14,7,10,3,59,39,150,24,21,90,50,8,38,29,8,47,19,24,27,51,11,38,46,19
L6_10,5,11,4,9,9,3,12,3,3,5,5,23,13,16,3,7,14,6,10,4,8,20,2,5,17,6,4,1,9,15,65,52,30,50,31,82,32,61,29,76,17,18,30,30,24,11,11,37,25,39
INH_01,8,25,27,40,36,16,66,23,7,25,12,18,16,9,19,23,33,19,22,41,18,38,28,12,20,31,39,106,19,19,118,4,43,4,69,7,19,20,29,35,9,300,28,79,77,149,86,21,88,65
INH_02,9,12,24,17,45,8,9,33,16,19,17,24,27,16,14,22,20,21,27,17,12,14,73,47,11,18,53,5,0,38,12,30,3,17,60,2,21,24,22,17,26,33,84,22,9,117,70,40,90,43
INH_03,33,20,13,16,24,14,38,22,15,55,38,16,9,31,12,38,23,30,77,19,19,34,49,17,34,12,6,22,21,8,45,40,41,33,27,62,10,52,5,17,9,61,26,21,60,12,56,37,174,63
INH_04,34,60,42,34,14,13,14,43,29,16,54,26,8,18,84,41,18,6,29,37,14,21,23,7,10,15,21,15,35,22,26,21,33,20,20,3,9,18,34,78,44,43,45,96,17,94,70,41,88,46
INH_05,4,22,88,10,19,54,3,21,15,42,22,9,73,50,26,54,15,95,8,43,19,35,37,14,77,39,36,33,52,64,12,35,75,5,22,20,34,40,31,13,50,34,29,53,65,111,22,49,24,55
INH_06,34,16,25,24,23,51,30,20,11,9,53,8,52,30,39,11,29,54,38,30,4,8,16,10,32,23,108,34,34,9,14,17,30,5,12,18,40,21,146,15,11,70,24,14,64,160,70,25,21,58
INH_07,63,23,24,27,11,12,123,13,19,13,11,25,15,61,28,2,54,71,42,10,25,16,7,18,34,14,114,35,14,11,19,54,27,12,16,6,21,48,20,28,37,42,17,24,77,22,28,39,35,38
INH_08,10,10,37,37,15,123,7,61,28,14,24,13,41,24,28,26,26,19,82,20,106,25,24,45,19,35,25,38,5,18,20,23,23,28,20,10,7,32,10,63,48,22,22,16,36,41,93,22,52,25
INH_09,12,30,32,5,11,12,98,38,15,10,22,22,39,8,15,19,14,52,98,18,41,5,14,32,26,32,10,10,10,26,38,31,93,17,46,13,46,40,10,27,5,58,31,120,39,94,33,65,23,21
INH_10,45,30,19,5,9,24,11,45,22,11,80,11,68,7,13,37,6,16,9,24,14,26,40,7,40,21,5,33,17,25,11,9,39,25,17,17,50,16,6,46,44,49,8,53,85,18,8,9,41,113
