10.1007/s00138-020-01060-x	Deep learning in medical image registration: a survey	Machine Vision and Applications	The establishment of image correspondence through robust image registration is critical to many clinical tasks such as image fusion, organ atlas creation, and tumor growth monitoring and is a very challenging problem. Since the beginning of the recent deep lea
10.1002/cne.1373	Morphology and physiology of the polyaxonal amacrine cells in the rabbit retina	The Journal of comparative neurology	Abstract We examined the morphology and physiological response properties of the axon‐bearing, long‐range amacrine cells in the rabbit retina. These so‐called polyaxonal amacrine cells all displayed two distinct systems of processes: (1) a dendritic field comp
10.1101/2023.10.16.562590	Data-driven motif discovery in biological neural networks	bioRxiv	Data from a variety of domains are represented as graphs, including social networks, transportation networks, computer networks, and biological networks. A key question spans these domains: are there meaningful repeated subgraphs, or motifs, within the structu
10.1016/j.expneurol.2009.05.020	Heterogeneity of nervous system mitochondria: location, location, location!	Experimental Neurology	Mitochondrial impairments have been associated with many neurological disorders, from inborn errors of metabolism or genetic disorders to age and environmentally linked diseases of aging (DiMauro S., Schon E.A. 2008. Mitochondrial disorders in the nervous syst
10.1101/2020.03.25.007252	Temporal transcription factors determine circuit membership by permanently altering motor neuron-to-muscle synaptic partnerships	bioRxiv	Previously, using the Drosophila motor system as a model, we found the classic temporal transcription factor, Hunchback acts in NB7-1 neuronal stem cells as a molecular switch to control which circuits are populated by NB7-1 neuronal progeny (Meng et al., 2019
10.1155/2016/7607924	Modulation of Synaptic Plasticity by Glutamatergic Gliotransmission: A Modeling Study	Journal of Neural Transplantation and Pl	Glutamatergic gliotransmission, that is, the release of glutamate from perisynaptic astrocyte processes in an activity-dependent manner, has emerged as a potentially crucial signaling pathway for regulation of synaptic plasticity, yet its modes of expression a
10.1002/cne.25624	Extensive Soma-Soma Plate-Like Contact Sites (Ephapses) Connect Suprachiasmatic Nucleus Neurons	The Journal of comparative neurology	The hypothalamic suprachiasmatic nucleus (SCN) is the central pacemaker for mammalian circadian rhythms. As such, this ensemble of cell‐autonomous neuronal oscillators with divergent periods must maintain coordinated oscillations. To investigate ultrastructura
10.1007/s12154-015-0132-6	Advances in molecular probe-based labeling tools and their application to multiscale multimodal correlated microscopies	Journal of chemical biology	The need to determine the precise subcellular distribution of specific proteins and macromolecular complexes in cells and tissues has been the major driving force behind the development of new molecular-genetic and chemical-labeling approaches applicable to hi
10.1007/978-3-030-87193-2_16	NucMM Dataset: 3D Neuronal Nuclei Instance Segmentation at Sub-Cubic Millimeter Scale	Lecture Notes in Computer Science	
10.1113/jp286537	Junctional conductance of retinal AII amacrine cell electrical synapses is decreased by NMDA receptors	Journal of Physiology	Retinal AII amacrine cells are extensively coupled together by electrical synapses. Changes to the strength of these synapses affect how signals are routed through rod and cone retinal pathways during scotopic and photopic vision. Plasticity at these electrica
10.1016/j.crmeth.2025.101292	Fluorescent indicators for visualizing dynamic contact between cells and between processes originating from a single cell	Cell Reports Methods	Summary Cells continuously communicate through dynamic cell-cell contacts. Tools for visualizing these dynamic interactions in living cells are essential to the study of fundamental biological processes in multicellular organisms. Here, we present two fluoresc
10.1016/j.neuron.2018.10.045	Whole-Brain Neuronal Activity Displays Crackling Noise Dynamics	Neuron	Summary Previous studies suggest that the brain operates at a critical point in which phases of order and disorder coexist, producing emergent patterned dynamics at all scales and optimizing several brain functions. Here, we combined light-sheet microscopy wit
10.1038/nn.2894	Hippocampal CA1 pyramidal cells form functionally distinct sublayers	Nature Neuroscience	Hippocampal CA1 pyramidal neurons have frequently been regarded as a homogeneous cell population in biophysical, pharmacological and modeling studies. We found robust differences between pyramidal neurons residing in the deep and superficial CA1 sublayers in r
10.1007/bf01261503	Synaptic connections of the interplexiform cell in the retina of the cat	Journal of Neurocytology	Electron microscopy of Golgi-impregnated material and of well fixed, ultrathin serial sections has revealed the synaptic connections of interplexiform cells in cat retina. In the inner plexiform layer these cells are postsynaptic to amacrine cells and probably
10.1016/j.neuron.2015.07.016	Synaptic vesicle exocytosis at the dendritic lobules of an inhibitory interneuron in the mammalian retina	Neuron	Summary Ribbon synapses convey sustained and phasic excitatory drive within retinal microcircuits. However, the properties of retinal inhibitory synapses are less well known. AII-amacrine cells are interneurons in the retina that exhibit large glycinergic syna
10.1016/j.isci.2018.07.012	Label-free 3D-CLEM Using Endogenous Tissue Landmarks	iScience	Summary Emerging 3D correlative light and electron microscopy approaches enable studying neuronal structure-function relations at unprecedented depth and precision. However, established protocols for the correlation of light and electron micrographs rely on th
10.1038/nature12654	Cortical connectivity and sensory coding	Nature	The sensory cortex contains a wide array of neuronal types, which are connected together into complex but partially stereotyped circuits. Sensory stimuli trigger cascades of electrical activity through these circuits, causing specific features of sensory scene
10.1111/ede.12271	DAF‐19/RFX controls ciliogenesis and influences oxygen‐induced social behaviors in Pristionchus pacificus	Evolution & Development	Cilia are complex organelles involved in sensory perception and motility with intraflagellar transport (IFT) proteins being essential for cilia assembly and function, but little is known about cilia in an evo‐devo context. For example, recent comparisons revea
10.1016/j.celrep.2022.111319	The spatial scale of somatostatin subnetworks increases from sensory to association cortex	Cell Reports	Summary Incoming signals interact with rich, ongoing population activity dynamics in cortical circuits. These intrinsic dynamics are the consequence of interactions among local excitatory and inhibitory neurons and affect inter-region communication and informa
10.1016/j.cell.2015.07.031	Electron Microscopy at Scale.	Cell	The essential details of cellular interactions at synaptic level in the brain are still largely unknown. In this issue, Kasthuri et al. report new experimental and computational technologies for large-scale electron microscopy data collection and analysis, and
10.7554/elife.54441	Effects of fluorescent glutamate indicators on neurotransmitter diffusion and uptake	bioRxiv	Genetically encoded fluorescent glutamate indicators (iGluSnFRs) enable neurotransmitter release and diffusion to be visualized in intact tissue. Synaptic iGluSnFR signal time courses vary widely depending on experimental conditions and often last 10-100 times
10.7554/elife.06250	General features of the retinal connectome determine the computation of motion anticipation	eLife	Motion anticipation allows the visual system to compensate for the slow speed of phototransduction so that a moving object can be accurately located. This correction is already present in the signal that ganglion cells send from the retina but the biophysical 
10.1007/978-1-4939-9077-1_3	Considerations for Imaging and Analyzing Neural Structures by STED Microscopy.	Methods in molecular biology	STED microscopy images of live or fixed brain tissue contain a wealth of geometric information about cellular structures down to the scale of individual dendritic spines and axonal structures. To extract such morphological data in a credible way, several consi
10.1016/j.neuron.2016.10.027	The Impact of Structural Heterogeneity on Excitation-Inhibition Balance in Cortical Networks	Neuron	Summary Models of cortical dynamics often assume a homogeneous connectivity structure. However, we show that heterogeneous input connectivity can prevent the dynamic balance between excitation and inhibition, a hallmark of cortical dynamics, and yield unrealis
10.1038/s41592-023-01866-3	High-contrast en bloc staining of mouse whole-brain and human brain samples for EM-based connectomics	Nature Methods	Connectomes of human cortical gray matter require high-contrast homogeneously stained samples sized at least 2 mm on a side, and a mouse whole-brain connectome requires samples sized at least 5–10 mm on a side. Here we report en bloc staining and embedding pro
10.1126/science.aau9952	Branch-restricted localization of phosphatase Prl-1 specifies axonal synaptogenesis domains	Science	Compartmentalization of axons Neurons can spread branches far and wide across the central nervous system. One neuron can simultaneously contact several other neurons, amplifying network complexity. Studying the Drosophila brain, Urwyler et al. found that not a
10.1016/j.brainresbull.2016.07.014	Insights into age-old questions of new dendritic spines: From form to function.	Brain Research Bulletin	Principal neurons in multiple brain regions receive a vast majority of excitatory synaptic contacts on the tiny dendritic appendages called dendritic spines. These structures are believed to be the locus of memory storage in the brain. Indeed, neurological dis
10.1038/s41551-025-01352-5	Synaptic connectivity mapping among thousands of neurons via parallelized intracellular recording with a microhole electrode array	Nature Biomedical Engineering	The massive parallelization of neuronal intracellular recording, which enables the measurement of synaptic signals across a neuronal network, and thus the mapping and characterization of synaptic connections, is an open challenge, with the state of the art bei
10.1101/2023.08.11.552933	Linking spontaneous and stimulated spine dynamics	bioRxiv	Our brains continuously acquire and store memories through synaptic plasticity. However, spontaneous synaptic changes can also occur and pose a challenge for maintaining stable memories. Despite fluctuations in synapse size, recent studies have shown that key 
10.1116/1.4966216	Transmission electron imaging in the Delft multibeam scanning electron microscope 1	Journal of Vacuum Science &amp; Technolo	Our group is developing a multibeam scanning electron microscope (SEM) with 196 beams in order to increase the throughput of SEM. Three imaging systems using, respectively, transmission electron detection, secondary electron detection, and backscatter electron
10.1016/j.cois.2025.101409	Recent advances on hormones and behavior in vertebrates: inspiration for and from invertebrate science.	Current Opinion in Insect Science	This review, as part of an introduction to the special issue, has two goals: First, I consider the inspiration that vertebrate neuroendocrinologists continue to draw from foundational discoveries in invertebrate species for understanding neuro-hormone signalin
10.7554/elife.62875	Three-dimensional reconstruction of a whole insect reveals its phloem sap-sucking mechanism at nano-resolution	eLife	Using serial block-face scanning electron microscopy, we report on the internal 3D structures of the brown planthopper, Nilaparvata lugens (Hemiptera: Delphacidae) at nanometer resolution for the first time. Within the reconstructed organs and tissues, we foun
10.1016/j.neuron.2019.05.019	Open Source Brain: A Collaborative Resource for Visualizing, Analyzing, Simulating, and Developing Standardized Models of Neurons and Circuits	bioRxiv	Computational models are powerful tools for investigating brain function in health and disease. However, biologically detailed neuronal and circuit models are complex and implemented in a range of specialized languages, making them inaccessible and opaque to m
10.1109/tmi.2017.2712360	Neuron Segmentation With High-Level Biological Priors	IEEE Transactions on Medical Imaging	We present a novel approach to the problem of neuron segmentation in image volumes acquired by an electron microscopy. Existing methods, such as agglomerative or correlation clustering, rely solely on boundary evidence and have problems where such an evidence 
10.1007/s10827-007-0038-6	Simulation of networks of spiking neurons: A review of tools and strategies	Journal of Computational Neuroscience	We review different aspects of the simulation of spiking neural networks. We start by reviewing the different types of simulation strategies and algorithms that are currently implemented. We next review the precision of those simulation strategies, in particul
10.3389/fncel.2018.00248	Astrocytic Coverage of Dendritic Spines, Dendritic Shafts, and Axonal Boutons in Hippocampal Neuropil	Frontiers in Cellular Neuroscience	Distal astrocytic processes have a complex morphology, reminiscent of branchlets and leaflets. Astrocytic branchlets are rod-like processes containing mitochondria and endoplasmic reticulum, capable of generating inositol-3-phosphate (IP3)-dependent Ca2+ signa
10.1186/s12915-022-01425-w	Pheromone sensing in Drosophila requires support cell-expressed Osiris 8	BMC Biology	Background The nose of most animals comprises multiple sensory subsystems, which are defined by the expression of different olfactory receptor families. Drosophila melanogaster antennae contain two morphologically and functionally distinct subsystems that expr
10.1038/nn.2232	Stimulus contrast modulates functional connectivity in visual cortex	Nature Neuroscience	Neurons in visual cortex are linked by an extensive network of lateral connections. To study the effect of these connections on neural responses, we recorded spikes and local field potentials (LFPs) from multi-electrode arrays that were implanted in monkey and
10.1002/hipo.22404	The Organization of AMPA Receptor Subunits at the Postsynaptic Membrane	Hippocampus	AMPA receptors are the principal mediators of excitatory synaptic transmission in the mammalian central nervous system. The subunit composition of these tetrameric receptors helps to define their functional properties, and may also influence the synaptic traff
10.1038/s41598-018-33513-9	Dendritic processing of spontaneous neuronal sequences for single-trial learning	Scientific Reports	Spontaneous firing sequences are ubiquitous in cortical networks, but their roles in cellular and network-level computations remain unexplored. In the hippocampus, such sequences, conventionally called preplay, have been hypothesized to participate in learning
10.1038/s41593-025-02188-7	Base barrier cells provide compartmentalization of choroid plexus, brain and CSF	Nature Neuroscience	The choroid plexus (ChP), located in the brain ventricles, is largely composed of ChP epithelial cells that produce the cerebrospinal fluid (CSF) and form the blood–CSF barrier. At the ChP–brain attachment sites, we have discovered unique fibroblasts referred 
10.1523/jneurosci.08-02-00623.1988	Architecture of rod and cone circuits to the on-beta ganglion cell	Journal of Neuroscience	Photoreceptors connect to the on-beta ganglion cell through parallel circuits involving rod bipolar (RB) and cone bipolar (CB) neurons. We estimated for a small patch in the area centralis of one retina the 3- dimensional architecture of both circuits. This wa
10.1002/cne.25478	A brain flatmap data visualization tool for mouse, rat, and human	The Journal of comparative neurology	Here we provide open‐access brain data flatmap visualization and analysis tools for the mouse, rat, and human. The present work stems from a previous JCN Toolbox article that introduced a novel flatmap of the mouse brain and substantially enhanced flatmaps of 
10.1093/jmicro/dfac024	Whole-cell observation of ZIO-stained Golgi apparatus in rat hepatocytes with serial block-face scanning electron microscope, SBF-SEM	Microscopy	Abstract The Golgi apparatus, which plays a role in various biosynthetic pathways, is usually identified in electron microscopy by the morphological criteria of lamellae. A 3-dimensional analyses with serial block-face scanning electron microscope (SBF-SEM), a
10.1007/978-1-0716-0428-1_3	Three-Dimensional Atlases of Insect Brains	Neuromethods	
10.1152/jn.00083.2009	Postnatal development of dendritic synaptic integration in rat neocortical pyramidal neurons.	Journal of Neurophysiology	The dendritic tree of layer 5 (L5) pyramidal neurons spans the neocortical layers, allowing the integration of intra- and extracortical synaptic inputs. Here we investigate the postnatal development of the integrative properties of rat L5 pyramidal neurons usi
10.1002/cne.21600	Ultrastructure and synaptic differences of the boutons of the projection neurons between the lip and collar regions of the mushroom bodies in the ant,	The Journal of comparative neurology	Abstract The mushroom bodies of insects are viewed as key neuropils for sensory integration and perhaps learning and memory. In Hymenoptera, particularly ants, the calyx of the mushroom bodies is divided into two main regions, the lip and the collar. Although 
10.7554/elife.44898	Computational 3D histological phenotyping of whole zebrafish by X-ray histotomography	eLife	Organismal phenotypes frequently involve multiple organ systems. Histology is a powerful way to detect cellular and tissue phenotypes, but is largely descriptive and subjective. To determine how synchrotron-based X-ray micro-tomography (micro-CT) can yield 3-d
10.1371/journal.pbio.1001121	Opposing Activities of LIT-1/NLK and DAF-6/Patched-Related Direct Sensory Compartment Morphogenesis in C. elegans	PLoS Biology	Glial cells surround neuronal endings to create enclosed compartments required for neuronal function. This architecture is seen at excitatory synapses and at sensory neuron receptive endings. Despite the prevalence and importance of these compartments, how the
10.1126/science.1112070	Patterning and Plasticity of the Cerebral Cortex	Science	The cerebral cortex of the human brain is a sheet of about 10 billion neurons divided into discrete subdivisions or areas that process particular aspects of sensation, movement, and cognition. Recent evidence has begun to transform our understanding of how cor
10.1038/s41598-023-49503-5	Communities in C. elegans connectome through the prism of non-backtracking walks	Scientific Reports	The fundamental relationship between the mesoscopic structure of neuronal circuits and organismic functions they subserve is one of the major challenges in contemporary neuroscience. Formation of structurally connected modules of neurons enacts the conversion 
10.1242/jeb.242740	A connectome is not enough - what is still needed to understand the brain of Drosophila?	Journal of Experimental Biology	Understanding the structure and operation of any nervous system has been a subject of research for well over a century. A near-term opportunity in this quest is to understand the brain of a model species, the fruit fly Drosophila melanogaster. This is an entic
10.1016/j.cell.2018.02.007	Super-Resolution Imaging of the Extracellular Space in Living Brain Tissue.	Cell	The extracellular space (ECS) of the brain has an extremely complex spatial organization, which has defied conventional light microscopy. Consequently, despite a marked interest in the physiological roles of brain ECS, its structure and dynamics remain largely
10.1016/b978-0-12-801075-4.00011-2	Immuno correlative light and electron microscopy on Tokuyasu cryosections.	Methods in Cell Biology	Finding a rare structure by electron microscopy is the equivalent of finding a "needle in a haystack." Correlative light- and immunoelectron microscopy (CLEM) on Tokuyasu cryosections is a sophisticated technique to address this challenge. Hereby, fluorescentl
10.1101/2024.12.11.628056	Data-driven synapse classification reveals a logic of glutamate receptor diversity		Abstract The rich diversity of synapses facilitates the capacity of neural circuits to transmit, process and store information. We used multiplex super-resolution proteometric imaging through array tomography to define features of single synapses in mouse neoc
10.7554/elife.86172	Finding the right type of cell	eLife	A new method allows researchers to automatically assign cells into different cell types and tissues, a step which is critical for understanding complex organisms.
10.1098/rstb.2016.0161	Variance and invariance of neuronal long-term representations	Philosophical Transactions of the Royal 	The brain extracts behaviourally relevant sensory input to produce appropriate motor output. On the one hand, our constantly changing environment requires this transformation to be plastic. On the other hand, plasticity is thought to be balanced by mechanisms 
10.1016/0006-8993(84)90895-3	Action of iontophoretically applied dopamine on cat retinal ganglion cells.	Brain Research	Iontophoretically applied dopamine reversibly altered both the spontaneous firing rates and the light evoked responses of retinal ganglion cells in the intact eye of the cat. The effects of dopamine were the same for all cell classes encountered: on brisk-tran
10.1523/jneurosci.23-32-10388.2003	Barrages of Synaptic Activity Control the Gain and Sensitivity of Cortical Neurons	Journal of Neuroscience	Ongoing synaptic activity, ever present in cortical neurons, may vary widely in its amplitude and characteristics, potentially having a strong influence on neuronal processing. Intracellular recordings in layer 5 pyramidal cells in prefrontal and visual cortic
10.1038/nmeth.3476	Continuous volumetric imaging via an optical phase-locked ultrasound lens	Nature Methods	In vivo imaging at high spatiotemporal resolution is key to the understanding of complex biological systems. We integrated an optical phase-locked ultrasound lens into a two-photon fluorescence microscope and achieved microsecond-scale axial scanning, thus ena
10.1101/2025.10.28.684868	Ascending nociceptive pathways drive rapid escape and sustained avoidance in adult Drosophila	bioRxiv	Nociception — the detection of harmful stimuli by the nervous system — contributes to both rapid escape and long-term avoidance behaviors. Drosophila larvae detect damaging heat, mechanical, and chemical stimuli with specialized multidendritic (md) neurons, an
10.1007/s00359-014-0891-5	Neuroethology of male courtship in Drosophila: from the gene to behavior	Journal of Comparative Physiology	Neurogenetic analyses in the fruit fly Drosophila melanogaster revealed that gendered behaviors, including courtship, are underpinned by sexually dimorphic neural circuitries, whose development is directed in a sex-specific manner by transcription factor genes
10.1038/s41592-025-02895-w	Jaxley: differentiable simulation enables large-scale training of detailed biophysical models of neural dynamics	bioRxiv	Biophysiscal neuron models provide insights into cellular mechanisms underlying neural computations. However, a central challenge has been the question of how to identify the parameters of detailed biophysical models such that they match physiological measurem
10.1002/hipo.20861	Layer‐specific alterations to CA1 dendritic spines in a mouse model of Alzheimer's disease	Hippocampus	Abstract Why memory is a particular target for the pathological changes in Alzheimer's Disease (AD) has long been a fundamental question when considering the mechanisms underlying this disease. It has been established from numerous biochemical and morphologica
10.1039/d0nr00052c	Real-time nanoscale organization of amyloid precursor protein.	Nanoscale	Despite an intuitive understanding of the role of APP in health and disease, there exist few attempts to dissect its molecular localization at excitatory synapses. Though the biochemistry involved in the enzymatic processing of APP is well understood, there is
10.1016/j.celrep.2022.111229	Motor learning-induced new dendritic spines are preferentially involved in the learned task than existing spines.	Cell Reports	Learning induces the formation of new synapses in addition to changes of existing synapse strength. However, it remains unclear whether new synapses serve different functions from existing synapses. By performing two-photon structural and Ca2+ imaging of posts
10.2976/1.2919545	Fixing the location and dimensions of functional neocortical columns	HFSP Journal	The quest to understand the way in which neurons interconnect to form circuits that function as a unit began when Ramon y Cajal concluded that axo-dendritic apposition were too conspicuous to be incidental and proposed that two neurons must be communicating th
10.3389/fnana.2014.00125	Slicing, sampling, and distance-dependent effects affect network measures in simulated cortical circuit structures	Frontiers in Neuroanatomy	The neuroanatomical connectivity of cortical circuits is believed to follow certain rules, the exact origins of which are still poorly understood. In particular, numerous nonrandom features, such as common neighbor clustering, overrepresentation of reciprocal 
10.1109/tuffc.2023.3322963	A Miniature Ultrasound Source for Neural Modulation	IEEE Transactions on Ultrasonics, Ferroe	This work describes a unique ultrasound (US) exposure system designed to create very localized ( $\sim 100 ~\mu \text{m}$ ) sound fields at operating frequencies that are currently being used for preclinical US neuromodulation. This system can expose small clu
10.1038/nn867	Facilitation at single synapses probed with optical quantal analysis	Nature Neuroscience	Many synapses can change their strength rapidly in a use-dependent manner, but the mechanisms of such short-term plasticity remain unknown. To understand these mechanisms, measurements of neurotransmitter release at single synapses are required. We probed tran
10.1523/jneurosci.1921-08.2008	Firing-Pattern-Dependent Specificity of Cortical Excitatory Feed-Forward Subnetworks	Journal of Neuroscience	The cortical circuit includes networks of highly interconnected pyramidal neurons. Here, we investigated whether pyramidal cells form subnetworks depending on pyramidal subtypes. We classified layer V (L5) pyramidal cells in rat frontal cortex into three physi
10.1093/icb/icab101	Internal State: Dynamic, Interconnected Communication Loops Distributed Across Body, Brain, and Time	Integrative and Comparative Biology	Synopsis Internal state profoundly alters perception and behavior. For example, a starved fly may approach and consume foods that it would otherwise find undesirable. A socially engaged newt may remain engaged in the presence of a predator, whereas a solitary 
10.1101/2023.07.19.549681	Evolutionarily conserved fMRI network dynamics in the mouse, macaque, and human brain		ABSTRACT Evolutionarily relevant networks have been previously described in several mammalian species using time-averaged analyses of fMRI time-series. However, fMRI network activity is highly dynamic and continually evolves over timescales of seconds. Whether
10.1006/nlme.1998.3841	Information processing with frequency-dependent synaptic connections.	Neurobiology of Learning and Memory	The efficacy of synaptic transmission between two neurons changes as a function of the history of previous activations of the synaptic connection. This history dependence can be characterized by examining the dependence of transmission on the frequency of stim
10.1523/eneuro.0280-23.2023	Synaptic Origins of the Complex Receptive Field Structure in Primate Smooth Monostratified Retinal Ganglion Cells	eNeuro	Considerable progress has been made in studying the receptive fields of the most common primate retinal ganglion cell (RGC) types, such as parasol RGCs. Much less is known about the rarer primate RGC types and the circuitry that gives rise to noncanonical rece
10.1523/jneurosci.5139-09.2010	Dynamics of Synaptic Transmission between Fast-Spiking Interneurons and Striatal Projection Neurons of the Direct and Indirect Pathways	Journal of Neuroscience	The intrastriatal microcircuit is a predominantly inhibitory GABAergic network comprised of a majority of projection neurons [medium spiny neurons (MSNs)] and a minority of interneurons. The connectivity within this microcircuit is divided into two main catego
10.1007/s12021-014-9255-0	From Curves to Trees: A Tree-like Shapes Distance Using the Elastic Shape Analysis Framework	Neuroinformatics	Trees are a special type of graph that can be found in various disciplines. In the field of biomedical imaging, trees have been widely studied as they can be used to describe structures such as neurons, blood vessels and lung airways. It has been shown that th
10.1038/s42003-024-06491-0	Tracing nerve fibers with volume electron microscopy to quantitatively analyze brain connectivity	Communications Biology	The highly complex structure of the brain requires an approach that can unravel its connectivity. Using volume electron microscopy and a dedicated software we can trace and measure all nerve fibers present within different samples of brain tissue. With this so
10.1007/s10827-025-00914-5	Differential temporal filtering in the fly optic lobe	Journal of Computational Neuroscience	Visual interneurons come in many different flavors, representing luminance changes at one location as ON or OFF signals with different dynamics, ranging from purely sustained to sharply transient responses. While the functional relevance of this representation
10.1113/jp290088	Cellular and synaptic mechanisms of retinal processing	Journal of Physiology	Human behaviour relies heavily on vision, and it is no surprise that scientists have long been interested in understanding the organization and function of the visual system. Indeed, there has been intense focus on understanding the first stage of vision, whic
10.1109/icip.2018.8451280	Morphology-Retained Non-Linear Image Registration of Serial Electron Microscopy Sections	International Conference on Information 	Image registration of serial electron microscopy (EM) sections is a feasible way to reveal 3D structure of the biological tissue. However, the image registration proves difficult, as it is hard to find reliable correspondences between the adjacent sections and
10.1101/2025.11.17.688806	An inhibitory feedback circuit mediating sleep need and sensory gating in Drosophila	bioRxiv	Many animals integrate sensory information during the day and sleep at night. How sensory processing during wakefulness contributes to making an organism tired at night, however, remains elusive. Here, we investigate the role of excitatory helicon cells in Dro
10.1016/j.neuroscience.2021.11.033	GABAergic Interneurons with nonlinear dendrites: from neuronal computations to memory engrams.	Neuroscience	GABAergic interneurons are a highly diverse class of neurons in the mammalian brain with a critical role in orchestrating multiple cognitive functions and maintaining the balance of excitation/ inhibition across neuronal circuitries. In this perspective, we di
10.1146/annurev-neuro-070815-013824	Ten Years of Grid Cells.	Annual Review of Neuroscience	The medial entorhinal cortex (MEC) creates a neural representation of space through a set of functionally dedicated cell types: grid cells, border cells, head direction cells, and speed cells. Grid cells, the most abundant functional cell type in the MEC, have
10.1002/hipo.20551	Synaptic potentiation induces increased glial coverage of excitatory synapses in CA1 hippocampus	Hippocampus	Abstract Patterns of activity that induce synaptic plasticity at excitatory synapses, such as long‐term potentiation, result in structural remodeling of the postsynaptic spine, comprising an enlargement of the spine head and reorganization of the postsynaptic 
10.1109/isbi.2018.8363597	Deep contextual residual network for electron microscopy image segmentation in connectomics	IEEE International Symposium on Biomedic	The goal of connectomics research is to manifest the mechanisms and functions of neural system by using electron microscopy (EM). One of the biggest challenges in connectomic reconstruction is developing reliable neuronal membranes segmentation method to reduc
