10.1016/j.media.2023.102768	Unpaired mesh-to-image translation for 3D fluorescent microscopy images of neurons	Medical Image Anal.	While Generative Adversarial Networks (GANs) can now reliably produce realistic images in a multitude of imaging domains, they are ill-equipped to model thin, stochastic textures present in many large 3D fluorescent microscopy (FM) images acquired in biologica
10.3389/fnsyn.2018.00024	Structural Properties of Synaptic Transmission and Temporal Dynamics at Excitatory Layer 5B Synapses in the Adult Rat Somatosensory Cortex	Frontiers in Synaptic Neuroscience	Cortical computations rely on functionally diverse and highly dynamic synapses. How their structural composition affects synaptic transmission and plasticity and whether they support functional diversity remains rather unclear. Here, synaptic boutons on layer 
10.1073/pnas.1921294117	Mechanisms underlying homeostatic plasticity in the Drosophila mushroom body in vivo	Proceedings of the National Academy of S	Significance When a neuron fires, it excites or inhibits other neurons. These two opposing forces—excitation and inhibition—need to be carefully balanced in the brain for neural networks to function properly. Maintaining this balance requires homeostatic plast
10.1093/brain/awaa406	Three-dimensional analysis of synaptic organization in the hippocampal CA1 field in Alzheimer’s disease	Brain : a journal of neurology	Abstract Alzheimer’s disease is the most common form of dementia, characterized by a persistent and progressive impairment of cognitive functions. Alzheimer’s disease is typically associated with extracellular deposits of amyloid-β peptide and accumulation of 
10.1080/01677063.2018.1464568	Glia: from ‘just glue’ to essential players in complex nervous systems: a comparative view from flies to mammals	Journal of neurogenetics	In the last years, glial cells have emerged as central players in the development and function of complex nervous systems. Therefore, the concept of glial cells has evolved from simple supporting cells to essential actors. The molecular mechanisms that govern 
10.1073/pnas.2209531119	A novel post-developmental role of the Hox genes underlies normal adult behavior	Proceedings of the National Academy of S	Significance At the end of development, cells must deactivate the genetic programs that guided their differentiation and switch on the molecular code script that ensures cellular stability and physiology. Within the nervous system, while there is a substantial
10.1038/s41467-021-21735-x	Whole-brain tissue mapping toolkit using large-scale highly multiplexed immunofluorescence imaging and deep neural networks	Nature Communications	Mapping biological processes in brain tissues requires piecing together numerous histological observations of multiple tissue samples. We present a direct method that generates readouts for a comprehensive panel of biomarkers from serial whole-brain slices, ch
10.1007/s12021-022-09569-4	Petabyte-Scale Multi-Morphometry of Single Neurons for Whole Brains	Neuroinformatics	Recent advances in brain imaging allow producing large amounts of 3-D volumetric data from which morphometry data is reconstructed and measured. Fine detailed structural morphometry of individual neurons, including somata, dendrites, axons, and synaptic connec
10.1016/j.jsb.2013.08.012	Three-dimensional network of Drosophila brain hemisphere.	Journal of Structural Biology	The first step to understanding brain function is to determine the brain's network structure. We report a three-dimensional analysis of the brain network of the fruit fly Drosophila melanogaster by synchrotron-radiation tomographic microscopy. A skeletonized w
10.1016/j.jbiotec.2010.03.004	Automated detection and quantification of fluorescently labeled synapses in murine brain tissue sections for high throughput applications.	Journal of Biotechnology	The automated detection and quantification of fluorescently labeled synapses in the brain is a fundamental challenge in neurobiology. Here we have applied a framework, based on machine learning, to detect and quantify synapses in murine hippocampus tissue sect
10.1007/s11571-021-09687-w	Identifying super-feminine, super-masculine and sex-defining connections in the human braingraph	Cognitive Neurodynamics	For more than a decade now, we can discover and study thousands of cerebral connections with the application of diffusion magnetic resonance imaging (dMRI) techniques and the accompanying algorithmic workflow. While numerous connectomical results were publishe
10.1016/j.crmeth.2023.100520	Preserving extracellular space for high-quality optical and ultrastructural studies of whole mammalian brains	Cell Reports Methods	Summary Analysis of brain structure, connectivity, and molecular diversity relies on effective tissue fixation. Conventional tissue fixation causes extracellular space (ECS) loss, complicating the segmentation of cellular objects from electron microscopy datas
10.1093/cercor/bhm131	A larynx area in the human motor cortex.	Cerebral Cortex	The map of the human motor cortex has lacked a representation for the intrinsic musculature of the larynx ever since the electrical stimulation studies of Penfield. In addition, there has been no attempt to localize this area using neuroimaging techniques. Bec
10.3390/molecules25245897	Fluorescent and Electron-Dense Green Color Emitting Nanodiamonds for Single-Cell Correlative Microscopy	Molecules	Correlative light and electron microscopy (CLEM) is revolutionizing how cell samples are studied. CLEM provides a combination of the molecular and ultrastructural information about a cell. For the execution of CLEM experiments, multimodal fiducial landmarks ar
10.1101/2023.07.27.550815	The effective number of shared dimensions: A simple method for revealing shared structure between datasets	bioRxiv	A number of recent studies have sought to understand the behavior of artificial and biological neural networks by comparing representations across layers, networks and brain areas. Simultaneously, there has been growing interest in using dimensionality of a da
10.1523/jneurosci.20-05-01791.2000	NMDA Receptor-Mediated Subthreshold Ca2+ Signals in Spines of Hippocampal Neurons	Journal of Neuroscience	We have used rapid confocal microscopy to investigate the mechanism of Ca 2+ signals in individual dendritic spines of hippocampal CA1 pyramidal cells. The experiments focused on the signals that occur during single weak synaptic responses that were subthresho
10.1016/j.cell.2010.01.026	The Angelman Syndrome-associated ubiquitin ligase Ube3A regulates synapse development by ubiquitinating Arc	Cell	Angelman Syndrome is a debilitating neurological disorder caused by mutation of the E3 ubiquitin ligase Ube3A, a gene whose mutation has also recently been associated with autism spectrum disorders (ASDs). The function of Ube3A during nervous system developmen
10.1016/j.jneumeth.2013.10.021	Monitoring synaptic and neuronal activity in 3D with synthetic and genetic indicators using a compact acousto-optic lens two-photon microscope	Journal of Neuroscience Methods	Graphical abstract
10.1016/j.conb.2010.12.006	Molecular signals of plasticity at the tetrapartite synapse	Current Opinion in Neurobiology	The emergence of astroglia as an important participant of the synaptic machinery has led to the ‘tripartite synapse’ hypothesis. Recent findings suggest that synaptic signaling also involves the surrounding extracellular matrix (ECM). The ECM can incorporate a
10.1371/journal.pone.0146581	Neurokernel: An Open Source Platform for Emulating the Fruit Fly Brain	PLoS ONE	We have developed an open software platform called Neurokernel for collaborative development of comprehensive models of the brain of the fruit fly Drosophila melanogaster and their execution and testing on multiple Graphics Processing Units (GPUs). Neurokernel
10.1023/a:1014292023605	Soluble guanylate cyclases in the retina	Molecular and Cellular Biochemistry	Soluble guanylate cyclase catalyzes the formation of cyclic GMP using GTP as substrate. It is now well established that soluble guanylate cyclase is highly activated by nitric oxide, and that many of the effects of nitric oxide on various cells and tissues are
10.1002/cne.901530203	Observations on the synaptic organization of the retina of the albino rat: A light and electron microscopic study	The Journal of comparative neurology	Abstract An electron microscopic study of the retina of the albino rat, with particular emphasis on the synaptic organization of the inner and outer plexiform layers, has been correlated with specimens impregnated with a modified Golgi technique. The central e
10.1371/journal.pcbi.1002658	High-throughput Computer Method for 3D Neuronal Structure Reconstruction from the Image Stack of the Drosophila Brain and Its Applications	PLoS Comput. Biol.	Drosophila melanogaster is a well-studied model organism, especially in the field of neurophysiology and neural circuits. The brain of the Drosophila is small but complex, and the image of a single neuron in the brain can be acquired using confocal microscopy.
10.1523/eneuro.0208-19.2021	Characterization of the Brain Functional Architecture of Psychostimulant Withdrawal Using Single-Cell Whole-Brain Imaging	eNeuro	Abstract Numerous brain regions have been identified as contributing to withdrawal behaviors, but it is unclear the way in which these brain regions as a whole lead to withdrawal. The search for a final common brain pathway that is involved in withdrawal remai
10.1098/rstb.2014.0211	Light, heat, action: neural control of fruit fly behaviour	Philosophical Transactions of the Royal 	The fruit fly Drosophila melanogaster has emerged as a popular model to investigate fundamental principles of neural circuit operation. The sophisticated genetics and small brain permit a cellular resolution understanding of innate and learned behavioural proc
10.1101/2021.08.02.454613	Deploying photons for communication within neuronal networks		Deficiencies in neurotransmission lead to neurological disorders or misinterpretation of perceived threats. To restore defects in cellular communication, we developed a synthetic, photon-assisted synaptic transmission (PhAST) system. PhAST is based on lucifera
10.1038/nrn3567	Genes and circuits of courtship behaviour in Drosophila males	Nature Reviews Neuroscience	In Drosophila melanogaster, the causal links among a complex behaviour, single neurons and single genes can be demonstrated through experimental manipulations. A key player in establishing the male courtship circuitry is the fruitless (fru) gene, the expressio
10.1101/2021.12.23.474014	An extended toolkit for production and use of RVdG-CVS-N2c rabies viral vectors uncovers hidden hippocampal connections		From the large collection of molecular tools used to investigate neuronal connectivity, envA-pseudotyped rabies viral vectors (RVdGenvA) uniquely enable cell-type specific, trans-synaptic retrograde labeling. However, widespread use of the powerful and flexibl
10.1073/pnas.2310841121	Long-term neuropeptide modulation of female sexual drive via the TRP channel in Drosophila melanogaster	Proceedings of the National Academy of S	Significance Animals experience the mating-related “ticking of a biological clock” as their mating motivation or sexual drive changes over their lifespan. In the fruit fly, a female develops sexual drive over a couple of days after emergence, which is almost c
10.1016/j.celrep.2022.110382	Input rate encoding and gain control in dendrites of neocortical pyramidal neurons	Cell Reports	SUMMARY Elucidating how neurons encode network activity is essential to understanding how the brain processes information. Neocortical pyramidal cells receive excitatory input onto spines distributed along dendritic branches. Local dendritic branch nonlinearit
10.1038/nn736	Dendritic spine geometry is critical for AMPA receptor expression in hippocampal CA1 pyramidal neurons	Nature Neuroscience	Dendritic spines serve as preferential sites of excitatory synaptic connections and are pleomorphic. To address the structure-function relationship of the dendritic spines, we used two-photon uncaging of glutamate to allow mapping of functional glutamate recep
10.1093/bioinformatics/bty435	TomoEED: fast edge‐enhancing denoising of tomographic volumes	Bioinform.	Summary: TomoEED is an optimized software tool for fast feature‐preserving noise filtering of large 3D tomographic volumes on CPUs and GPUs. The tool is based on the anisotropic nonlinear diffusion method. It has been developed with special emphasis in the red
10.1016/j.ymeth.2014.12.013	Neuroinformatics of the Allen Mouse Brain Connectivity Atlas.	Methods	The Allen Mouse Brain Connectivity Atlas is a mesoscale whole brain axonal projection atlas of the C57Bl/6J mouse brain. Anatomical trajectories throughout the brain were mapped into a common 3D space using a standardized platform to generate a comprehensive a
10.1126/science.aaw5202	Cortical layer–specific critical dynamics triggering perception	Science	Brain circuit visualization and manipulation How are behaviorally relevant representations of the outside world initiated and manifested in the mammalian brain? Marshel et al. combined a channelrhodopsin with an improved holographic stimulation technique to ex
10.1016/j.neuron.2015.02.035	Specific wiring of distinct amacrine cells in the directionally selective retinal circuit permits independent coding of direction and size.	Neuron	Local and global forms of inhibition controlling directionally selective ganglion cells (DSGCs) in the mammalian retina are well documented. It is established that local inhibition arising from GABAergic starburst amacrine cells (SACs) strongly contributes to 
10.1515/revneuro.1995.6.3.177	An Analysis of Contemporary Morphological Concepts of Synaptic Remodelling in the CNS: Perforated Synapses Revisited	Reviews in the Neurosciences	Perforated synapses refer to a synaptic type found in the central nervous system. They are characterized by their large size and by a discontinuity of the postsynaptic density when viewed in transverse sections, and by a doughnut or horseshoe shape when viewed
10.1016/j.cell.2011.11.001	Computer vision in cell biology.	Cell	Computer vision refers to the theory and implementation of artificial systems that extract information from images to understand their content. Although computers are widely used by cell biologists for visualization and measurement, interpretation of image con
10.1371/journal.pone.0040844	Cranial Irradiation Alters Dendritic Spine Density and Morphology in the Hippocampus	PLoS ONE	Therapeutic irradiation of the brain is a common treatment modality for brain tumors, but can lead to impairment of cognitive function. Dendritic spines are sites of excitatory synaptic transmission and changes in spine structure and number are thought to repr
10.24963/ijcai.2023/68	Self-Supervised Neuron Segmentation with Multi-Agent Reinforcement Learning	International Joint Conference on Artifi	The performance of existing supervised neuron segmentation methods is highly dependent on the number of accurate annotations, especially when applied to large scale electron microscopy (EM) data. By extracting semantic information from unlabeled data, self-sup
10.1364/boe.544383	In vivo dual-plane 3-photon microscopy: spanning the depth of the mouse neocortex	Biomedical Optics Express	Cortical computations arise from patterns of neuronal activity that span across all cortical layers and cell types. Three-photon excitation has extended the depth limit of in vivo imaging within the mouse brain to encompass all cortical layers. However, simult
10.7554/elife.43194	Accelerated redevelopment of vocal skills is preceded by lasting reorganization of the song motor circuitry	eLife	Complex motor skills take considerable time and practice to learn. Without continued practice the level of skill performance quickly degrades, posing a problem for the timely utilization of skilled motor behaviors. Here we quantified the recurring development 
10.1016/j.cub.2023.07.041	Anatomical restructuring of a lateralized neural circuit during associative learning by asymmetric insulin signaling	Current Biology	SUMMARY Studies of neuronal connectivity in model organisms, i.e., of their connectomes, have been instrumental in dissecting the structure-function relationship of nervous systems. However, the limited sample size of these studies has impeded analyses into ho
10.1016/j.neubiorev.2022.104570	Dopaminergic muhsroom body neurons in Drosophila: flexibility of neuron identity in a model organism?	Neuroscience and Biobehavioral Reviews	In classical neuroscience, Dale´s principle postulates that neuronal identity is conferred by the specific neurotransmitter that it releases. However, the brain might be more tractable to specific situations regardless of specific specialisation which may cont
10.1093/jmicro/dfs069	Serial block-face scanning electron microscopy combined with double-axis electron beam tomography provides new insight into cellular relationships.	Microscopy	To evaluate the advantages of combination of two advanced electron microscopic technologies such as serial block-face scanning electron microscopy and double-axis electron beam tomography, we analyzed the three-dimensional morphology of cellular relationships 
10.7554/elife.13367	Whole-brain imaging reaches new heights (and lengths)	eLife	Advances in microscopy and sample preparation have led to the first ever mapping of individual neurons in the whole mouse brain.
10.1016/j.cub.2022.10.017	Transient active zone remodeling in the Drosophila mushroom body supports memory.	Current Biology	Elucidating how the distinct components of synaptic plasticity dynamically orchestrate the distinct stages of memory acquisition and maintenance within neuronal networks remains a major challenge. Specifically, plasticity processes tuning the functional and al
10.3389/fnana.2015.00076	The effects of neuron morphology on graph theoretic measures of network connectivity: the analysis of a two-level statistical model	Frontiers in Neuroanatomy	We developed a two-level statistical model that addresses the question of how properties of neurite morphology shape the large-scale network connectivity. We adopted a low-dimensional statistical description of neurites. From the neurite model description we d
10.1093/oxfordjournals.jmicro.a050414	Separation of synaptic vesicles from bovine cerebral cortex.	Journal of Electron Microscopy	Ken Kadota, Akira Takahashi, Mihoko Usami, Naoji Toyota, Noriyuki Miyazaki, Tomoko Kadota; Separation of Synaptic Vesicles from Bovine Cerebral Cortex, Jou
10.1016/j.celrep.2017.04.060	Inhibitory control of feature selectivity in an object motion sensitive circuit of the retina	Cell Reports	SUMMARY Object motion sensitive (OMS) W3-retinal ganglion cells (W3-RGCs) in mice respond to local movements in a visual scene, but remain silent during self-generated global image motion. The excitatory inputs that drive responses of W3-RGCs to local motion w
10.1016/j.neuron.2018.01.036	α-Actinin Anchors PSD-95 at Postsynaptic Sites	Neuron	SUMMARY Despite the central role PSD-95 plays in anchoring postsynaptic AMPARs, how PSD-95 itself is tethered to postsynaptic sites is not well understood. Here we show that the F-actin binding protein α-actinin binds to the very N-terminus of PSD-95. Knock-do
10.1016/j.jphysparis.2007.10.003	Effects of Hebbian learning on the dynamics and structure of random networks with inhibitory and excitatory neurons.	Journal of Physiology - Paris	The aim of the present paper is to study the effects of Hebbian learning in random recurrent neural networks with biological connectivity, i.e. sparse connections and separate populations of excitatory and inhibitory neurons. We furthermore consider that the n
10.1117/1.nph.11.s1.s11507	Fiber-based in vivo imaging: unveiling avenues for exploring mechanisms of synaptic plasticity and neuronal adaptations underlying behavior	Neurophotonics	Abstract. In recent decades, various subfields within neuroscience, spanning molecular, cellular, and systemic dimensions, have significantly advanced our understanding of the elaborate molecular and cellular mechanisms that underpin learning, memory, and adap
10.1016/j.conb.2021.03.015	Cell adhesion molecules regulating astrocyte-neuron interactions	Current Opinion in Neurobiology	A tripartite synapse is comprised of a neuronal presynaptic axon and a postsynaptic dendrite, which are closely ensheathed by a perisynaptic astrocyte process. Through their structural and functional association with thousands of neuronal synapses, astrocytes 
10.1038/s41592-025-02887-w	Universal consensus 3D segmentation of cells from 2D segmented stacks	Nature Methods	Cell segmentation is the foundation of a wide range of microscopy-based biological studies. Deep learning has revolutionized two-dimensional (2D) cell segmentation, enabling generalized solutions across cell types and imaging modalities. This has been driven b
10.1016/j.neuron.2023.12.002	Developmental transformation of Ca2+ channel-vesicle nanotopography at a central GABAergic synapse.	Neuron	The coupling between Ca2+ channels and release sensors is a key factor defining the signaling properties of a synapse. However, the coupling nanotopography at many synapses remains unknown, and it is unclear how it changes during development. To address these 
10.1146/annurev-vision-102016-061331	Higher-Order Areas of the Mouse Visual Cortex.	Annual Review of Vision Science	The brain has evolved to transform sensory information in the environment into neural representations that can be used for perception and action. Higher-order sensory cortical areas, with their increasingly complex receptive fields and integrative properties, 
10.1146/annurev-physiol-031220-095215	Temperature Sensation: From Molecular Thermosensors to Neural Circuits and Coding Principles	Annual Review of Physiology	Temperature is a universal cue and regulates many essential processes ranging from enzymatic reactions to species migration. Due to the profound impact of temperature on physiology and behavior, animals and humans have evolved sophisticated mechanisms to detec
10.1109/prmvai70103.2026.11605713	Topology, Time, and Spikes: A Systematic Investigation of Structural and Temporal Interactions in Neural Architectures	2026 IEEE International Conference on Pa	Neural network performance is influenced not only by parameter optimization but also by the underlying structural topology and temporal dynamics. In this work, we systematically investigate the interaction between network topology, temporal unfolding length, a
