segment_id,cell_type
500622,L5_pyr
500627,
500633,martinotti
500637,vip
500639,
500655,L23_pyr
500661,L23_pyr
500676,basket
500679,L4_exc
500680,L4_exc
500683,vip
500690,L4_exc
500704,L5_pyr
500706,L4_exc
500710,L23_pyr
500711,basket
500712,
500716,L4_exc
500718,basket
500725,L5_pyr
500729,L23_pyr
500730,
500733,
500734,
500735,
500737,basket
500738,L23_pyr
500743,basket
500746,L23_pyr
500754,martinotti
500765,basket
500771,
500777,L23_pyr
500779,
500780,L5_pyr
500783,
500786,L4_exc
500800,martinotti
500812,L23_pyr
500817,L4_exc
500824,L23_pyr
500831,
500833,
500835,L4_exc
500839,basket
500840,L4_exc
500844,L5_pyr
500847,martinotti
500857,martinotti
500868,L23_pyr
500880,L4_exc
500882,L5_pyr
500884,L5_pyr
500885,
500890,L23_pyr
500900,L23_pyr
500909,L4_exc
500916,L5_pyr
500919,
500920,basket
500925,L23_pyr
500930,L4_exc
500935,L4_exc
500947,martinotti
500949,L23_pyr
500953,L4_exc
500954,
500962,L4_exc
500968,L4_exc
500969,L4_exc
500972,L4_exc
500974,L23_pyr
500986,martinotti
500993,L23_pyr
500996,L5_pyr
501002,basket
501011,L4_exc
501014,
501020,
501023,vip
501025,basket
501032,L23_pyr
501033,L4_exc
501041,L23_pyr
501043,L4_exc
501045,L23_pyr
501051,martinotti
501055,L5_pyr
501060,L23_pyr
501063,L4_exc
501066,L4_exc
501075,
501078,L23_pyr
501079,vip
501082,L4_exc
501084,martinotti
501087,vip
501098,L4_exc
501103,
501105,martinotti
501106,L4_exc
501108,basket
501109,
501110,
501118,
501120,L23_pyr
501122,basket
501127,L23_pyr
501130,L23_pyr
501131,
501132,vip
501134,L4_exc
501136,
501143,basket
501144,
501157,basket
501158,L23_pyr
501160,L23_pyr
501162,basket
501166,L5_pyr
501168,L5_pyr
501171,L23_pyr
501173,basket
501198,L23_pyr
501206,martinotti
501214,L5_pyr
501225,vip
501226,
501227,L5_pyr
501228,L4_exc
501231,L4_exc
501244,L4_exc
501249,martinotti
501251,L23_pyr
501261,
501266,L5_pyr
501277,martinotti
501282,L23_pyr
501285,L5_pyr
501288,L4_exc
501299,L5_pyr
501300,L23_pyr
501302,L5_pyr
501304,L4_exc
501306,
501309,
501313,vip
501314,L4_exc
501320,L5_pyr
501323,
501332,L5_pyr
501336,
501338,L23_pyr
501341,vip
501344,basket
501349,L5_pyr
501353,L5_pyr
501356,L4_exc
501364,L5_pyr
501372,L23_pyr
501375,L5_pyr
501379,L4_exc
501390,L23_pyr
501398,L5_pyr
501400,L23_pyr
501404,martinotti
501409,L23_pyr
501421,L5_pyr
501426,L4_exc
501431,basket
501432,L23_pyr
501436,L4_exc
501439,L4_exc
501440,basket
501450,L5_pyr
501452,martinotti
501457,martinotti
501463,L4_exc
501465,martinotti
501468,L5_pyr
501469,L4_exc
501482,L4_exc
501487,
501488,L23_pyr
501491,L5_pyr
501492,L23_pyr
501497,L23_pyr
501503,L23_pyr
501512,L5_pyr
501524,L5_pyr
501526,martinotti
501530,L5_pyr
501535,L5_pyr
501537,L5_pyr
501547,L4_exc
501564,L23_pyr
501567,
501571,L5_pyr
501576,L5_pyr
501577,L5_pyr
501584,L23_pyr
501585,basket
501587,L23_pyr
501591,L4_exc
501601,L5_pyr
501605,martinotti
501612,L5_pyr
501617,L23_pyr
501628,L23_pyr
501635,
501643,L23_pyr
501646,L5_pyr
501654,L5_pyr
501657,L23_pyr
501660,L23_pyr
501662,
501663,
501668,
501675,basket
501682,L23_pyr
501690,L23_pyr
501696,basket
501701,martinotti
501715,basket
501719,martinotti
501723,L4_exc
501728,vip
501729,vip
501736,
501740,L4_exc
501745,martinotti
501747,L4_exc
501748,L4_exc
501751,L23_pyr
501753,L5_pyr
501755,basket
501762,
501764,L4_exc
501768,basket
501780,L23_pyr
501782,L4_exc
501786,L23_pyr
501787,L23_pyr
501792,L5_pyr
501802,L5_pyr
501814,
501816,L23_pyr
501819,basket
501820,L4_exc
501825,martinotti
501843,L4_exc
501853,L5_pyr
501862,L4_exc
501864,
501865,L4_exc
501869,basket
501870,L23_pyr
501872,L23_pyr
501875,L5_pyr
501878,L23_pyr
501884,L23_pyr
501890,L5_pyr
501894,L5_pyr
501901,L4_exc
501904,
501907,L23_pyr
501911,
501912,
501916,L4_exc
501917,L23_pyr
501925,martinotti
501932,basket
501942,
501943,L23_pyr
501944,L5_pyr
501945,L23_pyr
501963,martinotti
501967,L5_pyr
501970,L23_pyr
501980,L23_pyr
501990,martinotti
501995,basket
501996,
501999,L4_exc
