synapse_id,pre_segment_id,post_segment_id,cleft_score,size_vx
7251,501750,501237,169,314
29851,500978,500506,141,327
28719,501645,501425,100,373
13370,500462,500472,98,269
5886,501045,500502,95,533
18433,500133,500570,37,113
4550,500749,500473,181,587
14688,501600,501398,109,533
577,501946,501700,121,364
24582,501843,501103,104,216
22384,501028,500696,161,326
27465,501448,500795,163,113
9730,501080,500722,90,168
11053,501320,501076,124,558
7609,500249,501430,216,544
14203,500639,500953,110,652
2574,500181,500734,96,613
329,501157,500654,121,691
23962,500721,501825,187,280
9837,500304,500491,165,507
20881,501044,501043,35,105
12025,500149,501743,103,526
14107,501271,501764,142,669
17253,500732,501816,98,384
11573,501436,501893,11,51
19827,501517,501074,37,125
28050,501869,501761,183,155
12589,500295,501285,104,306
18614,500915,500149,160,356
399,501907,500721,123,422
7787,500300,500678,94,384
16528,501704,501550,169,236
23307,501925,501106,169,369
11527,500607,501511,125,174
23690,500484,500605,132,180
27301,501611,501418,114,297
7224,500913,500885,22,88
3461,501507,500117,110,343
23092,501159,501725,142,428
2020,501440,501020,149,794
6664,500540,501263,115,166
27431,501993,501259,117,478
9402,501888,500655,173,670
5320,500185,501489,170,492
20485,501890,500333,187,283
23759,500977,501835,34,89
20914,500426,500230,0,267
655,500435,500814,113,288
6667,500930,500970,150,853
2665,501745,500952,154,671
26264,501668,501390,140,732
8722,501905,500207,129,203
4985,500503,501830,132,542
7035,501944,500593,173,667
26670,501912,500910,99,460
15659,501998,500845,163,289
21164,500502,500201,196,463
3369,501781,501925,104,262
11866,501468,500848,137,693
22907,500572,500650,106,203
29049,500228,500804,157,521
3115,501536,500927,121,247
3975,501046,501777,120,808
10138,500857,501587,92,432
23773,500322,500241,167,531
18272,501206,500471,102,232
8520,501109,500371,188,592
17926,501658,501223,6,75
22345,501132,501705,29,58
21177,501692,501285,31,143
12454,501474,501473,97,70
8346,500206,500019,167,309
16801,500029,501201,122,254
22925,500558,501964,20,126
16021,501324,500324,150,596
5451,501441,500479,114,430
4523,501645,501266,181,482
11122,500854,500204,118,346
23739,501127,501171,143,362
19240,501158,501170,130,623
29099,500627,501924,141,303
21435,500265,500584,104,461
8280,501221,500259,129,371
2110,501554,501928,49,76
21273,501764,501739,115,304
21067,500387,501775,73,110
6604,500018,501526,129,474
13005,500123,500464,137,301
16446,501892,500750,0,153
4276,501568,500159,68,464
24967,500293,500804,116,478
11734,501214,500758,187,699
3940,500697,501575,33,58
19628,903020,500210,133,333
16983,500139,501723,40,95
23197,501410,500931,117,459
8083,500303,501082,59,59
6793,500716,501806,120,242
5161,501304,500943,181,631
26235,501034,500496,176,1646
23183,501667,500119,151,900
6417,500804,501082,107,556
21295,500355,501458,25,197
20857,500930,501868,230,666
27765,501028,500487,161,368
8067,501282,500968,118,975
25073,501376,501376,102,244
20631,501162,501127,134,440
1277,501096,501678,173,384
21264,501725,500427,82,188
1925,500008,500433,131,123
16344,500312,500176,120,369
309,500931,500892,43,103
19343,500942,500005,165,623
16685,500553,501397,114,399
25542,501946,501765,183,639
3686,501382,501051,154,796
29147,500056,500036,117,501
19299,501443,500132,41,143
3529,500484,500653,138,963
29878,500399,500063,193,373
6271,501981,501215,170,280
19050,501934,501400,138,397
25711,500797,501668,127,424
19265,501814,501767,199,337
17199,501191,500842,102,303
21441,501308,500100,253,599
3627,501032,501946,144,306
25304,500238,501859,175,334
27472,500211,501398,160,312
2422,501135,500883,14,55
13606,500898,501051,133,593
26140,500342,501215,136,94
2539,500619,500043,54,352
19119,501303,500705,121,746
7321,501063,500233,73,186
10470,501582,501723,116,596
10166,501075,500478,102,142
11912,501168,501338,87,882
27147,501285,501645,148,341
5730,500370,501631,128,305
15136,500990,500232,223,397
19699,501691,501691,29,127
23313,501237,500022,170,307
21593,500127,501798,146,307
6087,501403,501466,114,332
13321,501553,500610,130,125
27654,500236,501885,40,96
12522,500094,500914,80,517
1287,501325,501125,152,685
10822,500892,500943,24,74
3392,500343,500487,147,202
22739,501517,500960,166,198
16213,500739,500105,131,361
26737,500051,501158,84,1210
17805,500978,501652,221,486
6586,501509,501202,135,648
14156,500647,501134,136,603
27453,900690,501142,139,92
13705,500885,500087,198,407
27850,500181,500908,120,135
10272,500189,501384,92,520
15653,500608,500601,118,869
22220,501505,500494,54,112
2867,500978,501750,102,283
605,501399,501428,94,384
17928,500720,500813,125,427
29112,500800,500442,158,657
23144,501147,501155,36,508
27169,500806,501526,103,565
18922,500318,501290,14,110
17152,500581,500314,32,192
29716,500190,501093,110,546
8716,500109,500503,175,389
2415,500720,501436,216,558
29162,501440,501006,195,219
27952,501592,501622,122,173
6428,501198,501683,115,68
11963,501884,501375,116,253
9068,500986,501847,110,423
8202,500180,501417,6,108
25498,501707,501819,65,114
16978,500346,500138,91,700
22966,501815,501486,152,430
5443,500212,500487,97,666
29563,501792,501892,198,614
26477,903664,500512,44,92
2011,500559,500995,85,487
29081,500417,501158,39,74
7149,500687,500710,135,402
19353,500119,500516,132,263
23441,500627,500895,110,657
29922,500280,500816,122,431
2285,501287,500405,220,639
27939,501122,501563,119,403
12909,501952,500685,172,359
4516,500747,501625,190,484
25316,501736,500009,136,377
19317,501127,500816,128,154
25731,501606,500629,161,280
19363,501727,500387,129,355
19976,501938,500625,156,471
23438,501825,500068,115,817
902,501507,501152,166,316
10892,501768,501645,170,322
20492,501577,501144,198,311
3607,501364,501233,166,475
26782,500979,500943,131,387
8108,500022,501587,132,280
8130,501768,501443,135,354
4652,500989,500987,172,324
18906,500023,501755,113,637
1878,902688,500138,128,699
8412,501568,501948,115,449
17394,501986,500201,100,299
11363,501529,500647,9,159
28180,501173,501426,109,659
23086,501139,501712,150,309
28484,501968,500294,186,475
5500,500495,500844,115,545
2149,501462,500040,40,263
18336,500879,500495,52,124
2835,500472,500897,180,293
9554,500797,500986,121,427
924,501925,500911,159,356
25131,501839,500022,192,389
16104,501414,501084,121,258
7437,501393,501041,179,483
14965,500266,500922,172,335
16643,500739,501534,119,557
15497,500336,500172,153,506
478,500029,501024,83,394
11450,501113,500531,131,300
19425,500886,500910,104,341
18495,500712,501888,98,478
27046,500119,500489,0,101
20397,501866,501179,95,519
7987,501578,501094,28,102
600,501170,501159,144,566
20233,500714,501663,141,546
2839,500282,501325,163,367
13847,501618,500702,142,744
2853,501400,500248,162,402
19252,500001,500004,183,494
18993,500330,501993,123,278
4354,500081,500651,153,985
24648,501511,501993,203,1014
21337,501869,501094,138,468
1649,501815,501238,129,282
5012,500871,501636,129,318
6704,501105,500813,145,601
21938,500733,500518,152,193
11940,501662,501925,103,636
26195,501952,501679,126,209
14840,501819,501011,204,957
9092,500816,501174,162,467
29054,501929,500468,163,900
21425,500214,501308,54,399
5622,500004,500786,32,103
6530,500079,501130,191,173
10226,501119,501573,89,202
15802,501890,501577,108,657
11233,501703,500178,158,328
19828,500703,500127,12,72
14955,500198,500190,74,341
16586,902369,501607,165,332
2790,501915,501272,36,138
11014,501598,500492,120,519
23805,501080,501796,70,363
1442,501785,501857,96,248
11627,500844,501433,113,763
18537,500678,500197,75,262
3256,500776,501660,135,413
28918,501266,500400,126,251
6154,501080,501998,140,224
9714,501788,500966,154,615
21638,501149,501377,60,166
25836,500261,501618,140,349
12866,500464,500453,102,269
19805,500846,501144,192,328
3487,501300,501762,110,162
16854,501514,500540,58,217
20252,500670,500267,167,449
16059,501864,500173,157,823
22665,500451,501424,178,189
29562,501754,501340,156,291
12760,500071,501127,115,424
16516,500945,501014,17,202
19730,501749,500159,134,322
21892,501817,501870,162,508
1478,500886,501255,255,124
10441,501474,501910,22,100
24052,501214,501713,145,491
8152,500645,500769,164,814
2706,500158,501031,181,602
7509,501180,500386,124,675
21682,501916,500291,115,250
84,500958,500999,49,131
7564,501868,501499,144,273
16886,500904,501128,4,124
28827,501166,501518,133,241
2815,501166,501587,235,431
2463,501354,501496,28,154
12536,500477,501490,35,101
2007,500342,501398,80,279
15200,501606,500139,135,279
23625,501087,500658,154,364
25819,500867,501956,183,178
5991,501173,501743,145,440
26156,500466,501313,131,322
2491,500021,501368,132,373
14888,500272,500022,86,403
12810,501878,501143,180,391
11603,500110,500561,159,284
6529,501311,500179,122,249
9484,500342,500084,161,412
6453,500813,501834,139,145
6504,501800,501011,24,331
26741,501992,500969,119,767
8111,500392,500451,84,316
1331,501112,501919,125,582
18244,501919,500991,128,591
14138,501308,500767,130,763
10611,500557,501416,28,149
9281,501927,501422,31,196
18121,501612,501657,121,416
6134,900369,501513,140,463
29060,500856,500064,26,83
12248,501831,501404,178,608
21631,500529,501773,127,388
11075,500776,501162,131,412
14019,500138,501633,121,259
22094,500041,501592,162,395
7893,501078,500248,89,680
17872,501850,500203,130,753
28134,500002,500159,106,237
28717,500971,501327,186,174
11389,501430,501668,85,594
3587,500764,501894,93,243
19506,501862,500628,134,252
1458,501270,500319,174,545
7199,501162,501943,153,256
10496,500476,501636,95,264
12168,501917,501789,27,94
11345,500180,501227,155,546
15823,501930,500052,47,278
6642,501358,501133,84,635
29831,501014,500797,81,134
14380,500936,501220,139,848
1549,500584,501137,56,95
14658,500907,501817,159,318
17708,501993,500455,137,364
6975,501034,501083,57,144
17340,500968,501525,9,167
17223,501149,501545,148,248
23240,501486,500299,26,215
27545,500922,501103,89,182
9034,500410,500021,89,805
18597,501106,501231,142,678
22486,500847,500764,163,580
16024,500445,500221,69,94
7390,501338,501130,139,364
26954,501901,501777,106,1368
22077,500915,501574,186,393
16661,500745,500099,123,322
330,501760,500373,127,112
3181,901782,501215,118,386
788,500750,500162,167,428
20750,500237,501933,62,161
586,500400,500442,186,251
15245,501998,501466,150,432
8443,501533,501308,170,419
25350,500427,500619,64,284
6610,501964,500491,80,411
24493,500499,500297,0,238
11245,501719,500309,14,89
1546,500734,501819,162,666
18997,501040,501646,128,386
16869,501400,500567,131,706
7726,501179,501177,142,447
8174,500757,501520,155,247
21954,501595,501127,147,593
12935,501814,501691,172,718
19943,500899,501178,97,299
19888,501421,500442,136,336
9359,501492,501626,40,106
8167,500320,501975,30,109
9234,501204,500613,162,826
16139,501430,501270,165,416
20830,501869,501233,70,605
27600,500044,500207,59,109
18765,500696,500934,135,584
23591,501695,501695,174,298
28792,500236,500382,75,487
15627,501592,501615,177,426
13754,500468,501747,177,394
2584,501333,501010,138,224
14940,501506,500909,162,306
9509,500503,501212,164,576
12975,501888,500970,120,263
17317,501293,501351,31,264
11909,501670,500159,167,355
20420,500203,500117,143,260
336,500274,501161,127,178
25306,501905,501275,126,388
60,500281,501677,158,410
16964,501031,501527,208,212
23002,501830,501469,142,585
7411,501976,500277,42,34
18022,501687,501391,86,304
23272,501410,500020,144,266
13996,500966,500870,120,425
16103,501452,501429,124,437
787,501707,500066,137,1190
27957,501929,501627,129,196
5325,500280,500805,140,595
5649,500282,500082,197,661
4755,500731,501873,163,194
524,501810,500091,102,427
3918,501361,500281,199,1945
26278,500628,501968,125,282
13904,500680,501929,158,744
17768,500602,501595,80,50
8866,500280,500733,112,219
4339,500729,500376,125,596
22303,501469,501316,156,323
6829,500742,501610,38,77
21787,500862,501618,102,753
18529,500272,501293,60,98
16425,500506,500076,129,595
29159,501849,501291,3,92
17716,500144,501346,165,1603
23906,500042,501970,144,394
7615,501670,500980,11,193
12148,500923,500200,143,835
19030,501690,501875,61,223
22747,501868,500242,29,101
14440,501173,500095,117,503
15540,501587,501748,142,319
8148,500414,500691,83,240
1285,501757,500447,135,932
29280,500420,500487,121,282
29945,501851,501173,26,140
20993,500222,500342,109,679
